YouTube link,id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/aik2doJ1qEk"", ""Link"")",aik2doJ1qEk,Episode,0:22:26,AMC,02/04/1970,A,,1,1,iheartallmychildren
"=HYPERLINK(""https://youtu.be/Bo6ifUpcxhU"", ""Link"")",Bo6ifUpcxhU,Episode,0:22:23,AMC,02/27/1970,A,,1,1,iheartallmychildren
"=HYPERLINK(""https://youtu.be/WalfGVR1_sQ"", ""Link"")",WalfGVR1_sQ,Episode - Erica Is A Force To Be Reckoned With,0:30:06,AMC,03/15/1970,A,,1,1,ilovesoaps
"=HYPERLINK(""https://youtu.be/Ac2t4YZuOmM"", ""Link"")",Ac2t4YZuOmM,Episode,0:21:58,AMC,04/20/1970,A,,1,1,iheartallmychildren
"=HYPERLINK(""https://youtu.be/XI3rnkABaNg"", ""Link"")",XI3rnkABaNg,Episode - Erica Plans To Be Famous!,0:30:00,AMC,04/20/1970,A,,1,1,ilovesoaps
"=HYPERLINK(""https://youtu.be/AqQORDkqTGk"", ""Link"")",AqQORDkqTGk,Promo,0:00:30,AMC,05/28/1970,B,,1,1,retronewfoundland
"=HYPERLINK(""https://youtu.be/MHkeMCDR8mg"", ""Link"")",MHkeMCDR8mg,I Love Lucci,0:07:15,AMC,06/01/1970,A,P_f834ae95,1,3,donna515
"=HYPERLINK(""https://youtu.be/Yu_Wn-JgNwo"", ""Link"")",Yu_Wn-JgNwo,I Love Lucci,0:07:09,AMC,06/01/1970,A,P_f834ae95,2,3,donna515
"=HYPERLINK(""https://youtu.be/moOGoj1cSbM"", ""Link"")",moOGoj1cSbM,I Love Lucci,0:07:12,AMC,06/01/1970,A,P_f834ae95,3,3,donna515
"=HYPERLINK(""https://youtu.be/1U4QE5Cl_Os"", ""Link"")",1U4QE5Cl_Os,A Daytime to Remember,0:07:47,AMC,06/01/1970,A,P_ff26e95e,1,2,donna515
"=HYPERLINK(""https://youtu.be/7yudhEGV5rw"", ""Link"")",7yudhEGV5rw,A Daytime to Remember,0:09:45,AMC,06/01/1970,A,P_ff26e95e,2,2,donna515
"=HYPERLINK(""https://youtu.be/CDbEtLVijEo"", ""Link"")",CDbEtLVijEo,Episode,0:16:39,AMC,08/12/1970,A,,1,1,iheartallmychildren
"=HYPERLINK(""https://youtu.be/G9_QFqGv3W8"", ""Link"")",G9_QFqGv3W8,"Mona, Nick, and Erica",0:00:48,AMC,01/01/1971,A,,1,1,ackgh73994
"=HYPERLINK(""https://youtu.be/LViT1mwkpSc"", ""Link"")",LViT1mwkpSc,I Love Lucci,0:08:17,AMC,06/01/1971,A,P_a29d5254,1,2,donna515
"=HYPERLINK(""https://youtu.be/lNeShyM5PuQ"", ""Link"")",lNeShyM5PuQ,I Love Lucci,0:08:16,AMC,06/01/1971,A,P_a29d5254,2,2,donna515
"=HYPERLINK(""https://youtu.be/h4CB1FeDt-s"", ""Link"")",h4CB1FeDt-s,Opening segment,0:04:40,AMC,06/25/1971,A,,1,1,retronewfoundland
"=HYPERLINK(""https://youtu.be/Wf8hyL0bOn8"", ""Link"")",Wf8hyL0bOn8,The Martins make cookies,0:00:51,AMC,01/01/1973,A,,1,1,ackgh73994
"=HYPERLINK(""https://youtu.be/dyh4sQCUrcg"", ""Link"")",dyh4sQCUrcg,Episode content,0:08:02,AMC,06/30/1975,A,P_0949d69d,1,3,rhsharp
"=HYPERLINK(""https://youtu.be/T-az8BOIUU0"", ""Link"")",T-az8BOIUU0,Episode content,0:17:18,AMC,06/30/1975,A,P_0949d69d,2,3,rhsharp
"=HYPERLINK(""https://youtu.be/hjxYOesgIG4"", ""Link"")",hjxYOesgIG4,Episode content,0:19:03,AMC,06/30/1975,A,P_0949d69d,3,3,rhsharp
"=HYPERLINK(""https://youtu.be/ljCr3I3-OxU"", ""Link"")",ljCr3I3-OxU,Julie Benz,0:02:27,AMC,01/01/1976,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/Y_HFQw-gUPM"", ""Link"")",Y_HFQw-gUPM,Closing theme,0:02:16,AMC,01/01/1976,B,,1,1,edwynnsanchez
"=HYPERLINK(""https://youtu.be/B61b5nsisdw"", ""Link"")",B61b5nsisdw,Constance McCashin On All My Children,0:00:14,AMC,01/01/1977,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/ekKABhuma4E"", ""Link"")",ekKABhuma4E,Episode (audio only),0:20:46,AMC,8/1/1978,A,,1,1,iheartallmychildren
"=HYPERLINK(""https://youtu.be/lqsIcide5gI"", ""Link"")",lqsIcide5gI,Episode recording - audio only,0:07:41,AMC,8/24/1978,A,,1,1,artax84z
"=HYPERLINK(""https://youtu.be/8jo5MSNJHhI"", ""Link"")",8jo5MSNJHhI,Joe and Tara,0:00:46,AMC,08/30/1978,A,,1,1,ackgh73994
"=HYPERLINK(""https://youtu.be/LMvpMnsoZ2E"", ""Link"")",LMvpMnsoZ2E,Episode,0:44:01,AMC,09/06/1978,A,,1,1,iheartallmychildren
"=HYPERLINK(""https://youtu.be/3trPoYzF_ng"", ""Link"")",3trPoYzF_ng,Erica and Tom's Wedding,0:09:59,AMC,09/06/1978,A,P_fa34a921,1,5,carmaker1
"=HYPERLINK(""https://youtu.be/dYapA5AQvZA"", ""Link"")",dYapA5AQvZA,Erica and Tom's Wedding,0:10:01,AMC,09/06/1978,A,P_fa34a921,2,5,carmaker1
"=HYPERLINK(""https://youtu.be/uZ43Mt3cZTg"", ""Link"")",uZ43Mt3cZTg,Erica and Tom's Wedding,0:10:00,AMC,09/06/1978,A,P_fa34a921,3,5,carmaker1
"=HYPERLINK(""https://youtu.be/n6g51R0Gsqc"", ""Link"")",n6g51R0Gsqc,Erica and Tom's Wedding,0:10:01,AMC,09/06/1978,A,P_fa34a921,4,5,carmaker1
"=HYPERLINK(""https://youtu.be/UMnuly5DO0I"", ""Link"")",UMnuly5DO0I,Erica and Tom's Wedding,0:03:12,AMC,09/06/1978,A,P_fa34a921,5,5,carmaker1
"=HYPERLINK(""https://youtu.be/5yL0CMwfBuM"", ""Link"")",5yL0CMwfBuM,Episode recording (and OLTL) - audio only,0:11:39,AMC,12/27/1978,A,,1,1,artax84z
"=HYPERLINK(""https://youtu.be/srlD4kqRss4"", ""Link"")",srlD4kqRss4,Eddie Dorrance and Kelly Cole,0:02:43,AMC,01/01/1979,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/41Hpl-ozJys"", ""Link"")",41Hpl-ozJys,Promo,0:00:18,AMC,1/1/1979,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/HECF-70yscg"", ""Link"")",HECF-70yscg,A Daytime to Remember,0:09:07,AMC,01/01/1979,A,P_fb1a4773,1,3,donna515
"=HYPERLINK(""https://youtu.be/dGXwuqf6RcI"", ""Link"")",dGXwuqf6RcI,A Daytime to Remember,0:03:35,AMC,01/01/1979,A,P_fb1a4773,2,3,donna515
"=HYPERLINK(""https://youtu.be/8ppisFERDRo"", ""Link"")",8ppisFERDRo,A Daytime to Remember,0:05:29,AMC,01/01/1979,A,P_fb1a4773,3,3,donna515
"=HYPERLINK(""https://youtu.be/icq-iTpfBTc"", ""Link"")",icq-iTpfBTc,A Daytime to Remember,0:09:29,AMC,06/01/1979,A,P_1e4cbd5a,1,2,donna515
"=HYPERLINK(""https://youtu.be/4hXLCqdzEmY"", ""Link"")",4hXLCqdzEmY,A Daytime to Remember,0:09:26,AMC,06/01/1979,A,P_1e4cbd5a,2,2,donna515
"=HYPERLINK(""https://youtu.be/QkurLPa6xic"", ""Link"")",QkurLPa6xic,Episode,0:40:13,AMC,11/27/1979,A,,1,1,iheartallmychildren
"=HYPERLINK(""https://youtu.be/irqUDA5gm4E"", ""Link"")",irqUDA5gm4E,Episode - Erica Confronted For Taking Birth Control,0:59:53,AMC,11/27/1979,A,,1,1,ilovesoaps
