YouTube link,id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/P9pbGVlEkz4"", ""Link"")",P9pbGVlEkz4,Promo,0:00:31,AMC,1/1/1980,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/k9OufFIs64E"", ""Link"")",k9OufFIs64E,A Daytime to Remember,0:09:31,AMC,01/01/1980,A,P_b039167a,1,2,donna515
"=HYPERLINK(""https://youtu.be/10-OdGxoMfI"", ""Link"")",10-OdGxoMfI,A Daytime to Remember,0:09:28,AMC,01/01/1980,A,P_b039167a,2,2,donna515
"=HYPERLINK(""https://youtu.be/37vI7QqNwv8"", ""Link"")",37vI7QqNwv8,Episode,0:56:38,AMC,02/15/1980,A,,1,1,erichenwoodgreer
"=HYPERLINK(""https://youtu.be/Z9QfLGyXFMI"", ""Link"")",Z9QfLGyXFMI,Episode,0:55:08,AMC,02/18/1980,A,,1,1,erichenwoodgreer
"=HYPERLINK(""https://youtu.be/I5FEjKlDwxM"", ""Link"")",I5FEjKlDwxM,Episode,0:45:36,AMC,02/19/1980,A,,1,1,erichenwoodgreer
"=HYPERLINK(""https://youtu.be/okrezNBsNDE"", ""Link"")",okrezNBsNDE,Episode,0:45:33,AMC,05/28/1980,A,,1,1,erichenwoodgreer
"=HYPERLINK(""https://youtu.be/3zXIjaoX-RU"", ""Link"")",3zXIjaoX-RU,Episode,0:56:53,AMC,05/28/1980,A,,1,1,iheartallmychildren
"=HYPERLINK(""https://youtu.be/EcgaT3Z4am4"", ""Link"")",EcgaT3Z4am4,Episode,0:57:31,AMC,05/29/1980,A,,1,1,iheartallmychildren
"=HYPERLINK(""https://youtu.be/h1vaEL6P5ts"", ""Link"")",h1vaEL6P5ts,Episode,0:36:17,AMC,09/30/1980,A,,1,1,iheartallmychildren
"=HYPERLINK(""https://youtu.be/J2-bsb7l0ic"", ""Link"")",J2-bsb7l0ic,AMC and GH Promos,0:06:25,AMC,01/01/1981,B,,1,1,hamiltonbernique
"=HYPERLINK(""https://youtu.be/EhIMyH0nGfo"", ""Link"")",EhIMyH0nGfo,Cliff and Nina's Wedding,0:02:16,AMC,01/01/1981,A,,1,1,ackgh73994
"=HYPERLINK(""https://youtu.be/nGcEfKRBZow"", ""Link"")",nGcEfKRBZow,Promo,0:00:31,AMC,1/1/1981,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/_lHbH2pU8No"", ""Link"")",_lHbH2pU8No,Episode,0:42:49,AMC,08/18/1981,A,,1,1,iheartallmychildren
"=HYPERLINK(""https://youtu.be/skcpxEKUST0"", ""Link"")",skcpxEKUST0,Episode,0:57:51,AMC,08/19/1981,A,,1,1,iheartallmychildren
"=HYPERLINK(""https://youtu.be/fh3i2kWv5vM"", ""Link"")",fh3i2kWv5vM,Episode,0:43:29,AMC,08/20/1981,A,,1,1,iheartallmychildren
"=HYPERLINK(""https://youtu.be/K_QzGLwT1l8"", ""Link"")",K_QzGLwT1l8,Episode,0:56:37,AMC,08/21/1981,A,,1,1,iheartallmychildren
"=HYPERLINK(""https://youtu.be/gGklnzTzmuw"", ""Link"")",gGklnzTzmuw,Episode,0:43:30,AMC,08/24/1981,A,,1,1,iheartallmychildren
"=HYPERLINK(""https://youtu.be/B24p5pQoJrY"", ""Link"")",B24p5pQoJrY,Episode,0:43:00,AMC,08/25/1981,A,,1,1,iheartallmychildren
"=HYPERLINK(""https://youtu.be/qyG4xnyE5iM"", ""Link"")",qyG4xnyE5iM,Episode,0:42:38,AMC,08/26/1981,A,,1,1,iheartallmychildren
"=HYPERLINK(""https://youtu.be/lfmgTQnZ8I4"", ""Link"")",lfmgTQnZ8I4,Episode,0:59:50,AMC,08/27/1981,A,,1,1,iheartallmychildren
"=HYPERLINK(""https://youtu.be/5XZwUrNGADg"", ""Link"")",5XZwUrNGADg,Episode,0:32:00,AMC,08/28/1981,A,,1,1,iheartallmychildren
"=HYPERLINK(""https://youtu.be/O2tFsXNTbtM"", ""Link"")",O2tFsXNTbtM,Episode,0:14:15,AMC,12/03/1981,A,,1,1,iheartallmychildren
"=HYPERLINK(""https://youtu.be/QLGC4GxO9D8"", ""Link"")",QLGC4GxO9D8,Erica is Brandon's New Favorite,0:01:17,AMC,01/01/1982,A,,1,1,amcrewind
"=HYPERLINK(""https://youtu.be/d9CPiWTRVFo"", ""Link"")",d9CPiWTRVFo,Sybil is Having Cliff's Baby,0:01:55,AMC,01/01/1982,A,,1,1,amcrewind
"=HYPERLINK(""https://youtu.be/fCJCuLLy2Yw"", ""Link"")",fCJCuLLy2Yw,A Series of Promos,0:03:57,AMC,01/01/1982,B,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/LHdUX1LV_7I"", ""Link"")",LHdUX1LV_7I,Promo - Erica Kane Supermodel,0:00:19,AMC,1/1/1982,B,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/RLO47KTcz8k"", ""Link"")",RLO47KTcz8k,Promo - When Liza BEAT Jenny in Junior Miss Pageant,0:00:31,AMC,1/1/1982,B,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/HqdHemQdvQU"", ""Link"")",HqdHemQdvQU,Erica Kane and Silver (aka Connie Wilkes),0:00:41,AMC,1/1/1982,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/yZ3OSX4KhdQ"", ""Link"")",yZ3OSX4KhdQ,Promo,0:00:31,AMC,1/1/1982,B,,1,1,rhsharp
"=HYPERLINK(""https://youtu.be/rjqOHVesioc"", ""Link"")",rjqOHVesioc,Episode,0:42:49,AMC,02/22/1982,A,,1,1,iheartallmychildren
"=HYPERLINK(""https://youtu.be/B66l8RbYQqY"", ""Link"")",B66l8RbYQqY,Episode content,0:15:23,AMC,04/01/1982,A,P_366b06bb,1,3,rhsharp
"=HYPERLINK(""https://youtu.be/pGQs-LVOYqs"", ""Link"")",pGQs-LVOYqs,Episode content,0:14:45,AMC,04/01/1982,A,P_366b06bb,2,3,rhsharp
"=HYPERLINK(""https://youtu.be/_CqHIRro1M4"", ""Link"")",_CqHIRro1M4,Episode content,0:13:09,AMC,04/01/1982,A,P_366b06bb,3,3,rhsharp
"=HYPERLINK(""https://youtu.be/tocA_muMmaA"", ""Link"")",tocA_muMmaA,Episode,0:40:53,AMC,04/06/1982,A,,1,1,iheartallmychildren
"=HYPERLINK(""https://youtu.be/y2HjGAnYYT8"", ""Link"")",y2HjGAnYYT8,Angie Hubbard doesn't believe,0:02:18,AMC,06/01/1982,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/pk6X5OwniWY"", ""Link"")",pk6X5OwniWY,Episode,0:43:20,AMC,07/01/1982,A,,1,1,iheartallmychildren
"=HYPERLINK(""https://youtu.be/o9dyHW8RZQI"", ""Link"")",o9dyHW8RZQI,Episode,0:44:18,AMC,08/02/1982,A,,1,1,iheartallmychildren
"=HYPERLINK(""https://youtu.be/K9JldMOOSYc"", ""Link"")",K9JldMOOSYc,Episode,0:41:42,AMC,10/04/1982,A,,1,1,iheartallmychildren
"=HYPERLINK(""https://youtu.be/PGf7inpxP8g"", ""Link"")",PGf7inpxP8g,Episode,0:57:37,AMC,12/1/1982,A,,1,1,iheartallmychildren
"=HYPERLINK(""https://youtu.be/x6wk3ZKVepc"", ""Link"")",x6wk3ZKVepc,Episode,0:42:44,AMC,12/24/1982,A,,1,1,iheartallmychildren
"=HYPERLINK(""https://youtu.be/mH_Lm-KaSUc"", ""Link"")",mH_Lm-KaSUc,Jenny Does the Big Apple,0:03:12,AMC,01/01/1983,A,,1,1,hamiltonbernique
"=HYPERLINK(""https://youtu.be/Rj0J5O-E_eo"", ""Link"")",Rj0J5O-E_eo,Opal Gets Revenge on Sam,0:06:22,AMC,01/01/1983,A,,1,1,hamiltonbernique
