link,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/_VLOr1e2tzY"", ""Link"")",Bianca Names Greenlee as Laura's Attacker,0:13:41,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/b4E9WVYN9Vo"", ""Link"")",ooke Orders Dimitri to Get Edmund Out of Oak Haven,0:14:04,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/v-ZMPJSq8CQ"", ""Link"")",Who Pushed Laura? Dimitri Pushes Edmund!,0:23:58,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/i0exIyzsiSg"", ""Link"")",Trading One Life for Another,0:05:35,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/WKoErkCv63M"", ""Link"")",A Broken Light Switch,0:06:15,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/bVAV-JBcrog"", ""Link"")",Like a Light Switch,0:07:59,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/qznFUZ7WpUU"", ""Link"")",Mommy,0:21:48,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/xtC49GSxQvU"", ""Link"")",Church Confrontation,0:09:09,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/rLUXzQG9cOE"", ""Link"")",Just Another Hit and Run,0:27:57,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/K43ersIi6zo"", ""Link"")",Elliot Freeman is Josh Waleski,0:27:36,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/LFZOxdWzyYI"", ""Link"")",Stuart Saves Adam,0:22:40,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/heqZ7wr1Y08"", ""Link"")",Edmund Wishes Dimitri Stay Dead,0:03:30,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/R-w9Luy1CpI"", ""Link"")",Dimitri Returns to Pine Valley,0:10:29,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/6MZ2IxJbzz8"", ""Link"")",The Past Bombards the Present,0:21:32,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/fumV-DPDgKk"", ""Link"")",Alex Returns to Dimitri,0:06:14,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/aDNeyyKJ9q0"", ""Link"")",Running Scared,0:17:57,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/myDU79YRxck"", ""Link"")",Moral Dilemmas,0:17:28,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/W2EB7PaRRXk"", ""Link"")",Tell the Truth or Tell Brooke Good-bye,0:09:51,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/amhf7YAdDYM"", ""Link"")",Throwing Stones,0:21:47,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/aoeKJ-CJSn4"", ""Link"")",Picnic and Poetry,0:23:20,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/GNKgZSBUwsI"", ""Link"")",The Unconfession,0:25:31,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/c6ZY9NLzl9A"", ""Link"")",Secrets,0:03:46,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/fKHjbPPHqd4"", ""Link"")",Broken Breakfast,0:05:29,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/48v7DWXy5zU"", ""Link"")",Potluck,0:10:29,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/4iQMPs_pxH0"", ""Link"")",A Heavenly Workout,0:05:37,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/NUMShcX7AkM"", ""Link"")",Camp and Co-parenting Dilemma,0:08:27,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/yYpP8PRlAqU"", ""Link"")",No Photographs Please,0:17:15,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/297YYEQeVTw"", ""Link"")",Mateo and Hayley Wed,0:21:26,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/G9zlWdNzvm8"", ""Link"")",Mateo's Unusual Bachelor Party,0:05:27,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/v5L2wtAG9hA"", ""Link"")",Wave Wedding Shower,0:12:02,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/0Tm4qnDWBQY"", ""Link"")",Pluck You,0:06:05,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/DzukVDJQ9gM"", ""Link"")",Box Dinner and Disappearance,0:07:28,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/x6T6m8QG0bw"", ""Link"")",Boy with Knife,0:08:19,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/PykmhWpwn2U"", ""Link"")",Brooke Smacks Arlene,0:04:39,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/bd3OR19q6no"", ""Link"")",Brooke Meets Reverend Freeman,0:15:45,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/lyg31HeTyXQ"", ""Link"")",The Dillons Say Good-bye,0:14:06,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/un5DkgLhLAQ"", ""Link"")",What if Arlene hit Stuart?,0:11:08,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/3kJ6CWTQ-_Y"", ""Link"")",Arlene Crashes into the Shelter,0:07:07,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/P4oURQZ_YGA"", ""Link"")",Brooke Back from China,0:02:04,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/f-rqoOXJW7A"", ""Link"")",Who is Fannie Battle?,0:10:32,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/gtXF6lj-ME4"", ""Link"")",Reporter at the Door,0:11:25,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/CGgPjRhBJDk"", ""Link"")",Chinese Take Out or Beef Stew,0:07:09,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/KQYi71QmPak"", ""Link"")","Trevor on the Run, Janet's Confession",0:17:32,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/oUmqbAdKcso"", ""Link"")",Trevor Confides in Brooke about Janet,0:02:06,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/NM0HXBNAwaA"", ""Link"")",More BG on Alex Devane Marick,0:00:51,AMC,01/01/2000,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/cDKrSHWBhqU"", ""Link"")",Skye's Been Arrested,0:01:48,AMC,01/01/2000,A,,1,1,ackgh73994
"=HYPERLINK(""https://youtu.be/syPfI1gdrtg"", ""Link"")","Brooke, Phoebe, and Laura",0:00:43,AMC,01/01/2000,A,,1,1,ackgh73994
"=HYPERLINK(""https://youtu.be/amk2uA6NA8c"", ""Link"")",Josh Duhamel and Abigail Spencer,0:02:02,AMC,01/01/2000,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/o0IotS_4xzY"", ""Link"")",Brooke Confronts The Man Who Killed Her Daughter,0:18:19,AMC,1/1/2000,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/e5FHuk4L__k"", ""Link"")",The Libidizone Boat,0:18:18,AMC,01/01/2000,A,P_0743c813,1,3,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/idcIaJfc8j4"", ""Link"")",The Libidizone Boat,0:16:25,AMC,01/01/2000,A,P_0743c813,2,3,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/N7o6h6qj1x0"", ""Link"")",The Libidizone Boat,0:11:07,AMC,01/01/2000,A,P_0743c813,3,3,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/8TzSMJXXd98"", ""Link"")",The Crystal Ball,0:03:29,AMC,01/01/2000,A,P_ccdab1be,1,4,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/OB9aqUf1dqo"", ""Link"")",The Crystal Ball,0:14:52,AMC,01/01/2000,A,P_ccdab1be,2,4,amcthroughtheyears
