YouTube link,id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/W1XVGPRsftI"", ""Link"")",W1XVGPRsftI,Time and Tide,0:07:56,AMC,01/01/2010,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/DLoXVIBR1oU"", ""Link"")",DLoXVIBR1oU,Annie Grows More Insecure,0:07:38,AMC,01/01/2010,A,,1,1,jackieo1600
"=HYPERLINK(""https://youtu.be/GPTed4CqH3w"", ""Link"")",GPTed4CqH3w,Mona's Funeral,0:10:28,AMC,01/01/2010,A,P_2c1d0f74,1,6,ackgh73994
"=HYPERLINK(""https://youtu.be/yx32o9XBjxo"", ""Link"")",yx32o9XBjxo,Mona's Funeral,0:07:34,AMC,01/01/2010,A,P_2c1d0f74,2,6,ackgh73994
"=HYPERLINK(""https://youtu.be/YaVbiahXoAA"", ""Link"")",YaVbiahXoAA,Mona's Funeral,0:10:32,AMC,01/01/2010,A,P_2c1d0f74,3,6,ackgh73994
"=HYPERLINK(""https://youtu.be/tW7-qGByUh4"", ""Link"")",tW7-qGByUh4,Mona's Funeral,0:08:16,AMC,01/01/2010,A,P_2c1d0f74,4,6,ackgh73994
"=HYPERLINK(""https://youtu.be/2QGwuSmHNb8"", ""Link"")",2QGwuSmHNb8,Mona's Funeral,0:09:50,AMC,01/01/2010,A,P_2c1d0f74,5,6,ackgh73994
"=HYPERLINK(""https://youtu.be/IGAGeUWyPJA"", ""Link"")",IGAGeUWyPJA,Mona's Funeral,0:08:03,AMC,01/01/2010,A,P_2c1d0f74,6,6,ackgh73994
"=HYPERLINK(""https://youtu.be/BuWaYxd5MVI"", ""Link"")",BuWaYxd5MVI,Brooke and Adam - Reunion,0:21:46,AMC,01/01/2010,A,P_65eae92c,1,7,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/fXCEmlQdu4Y"", ""Link"")",fXCEmlQdu4Y,Brooke and Adam - Reunion,1:02:44,AMC,01/01/2010,A,P_65eae92c,2,7,amcthroughtheyears
