YouTube link,id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/668TI7pV8qA"", ""Link"")",668TI7pV8qA,Episode,0:27:53,ATWT,04/10/1957,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/GAJ4Q5LFfxw"", ""Link"")",GAJ4Q5LFfxw,Episode,0:27:53,ATWT,04/10/1957,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/yNsN2gP5fCc"", ""Link"")",yNsN2gP5fCc,Episode,0:27:54,ATWT,04/10/1957,A,,1,1,edwynnsanchez
"=HYPERLINK(""https://youtu.be/bhKswZGSmNg"", ""Link"")",bhKswZGSmNg,Episode,0:22:32,ATWT,04/18/1957,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/9J0QTJSnLpU"", ""Link"")",9J0QTJSnLpU,Eplisode,0:28:45,ATWT,01/01/1960,A,,1,1,thez58
"=HYPERLINK(""https://youtu.be/1BivKdAIeKo"", ""Link"")",1BivKdAIeKo,Penny and Jeff,0:03:49,ATWT,01/01/1960,A,,1,1,wedge8874
"=HYPERLINK(""https://youtu.be/D7hf3s0nm-k"", ""Link"")",D7hf3s0nm-k,Episode,0:28:43,ATWT,08/22/1960,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/Ab5KH_gfZMM"", ""Link"")",Ab5KH_gfZMM,Bob and Lisa Hobby,0:05:20,ATWT,01/09/1961,A,,1,1,cbs
"=HYPERLINK(""https://youtu.be/r5nTWlHxABw"", ""Link"")",r5nTWlHxABw,Episode,0:27:37,ATWT,03/31/1961,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/qNme3m9bopc"", ""Link"")",qNme3m9bopc,Episode,0:27:39,ATWT,3/31/1961,A,,1,1,sweetvintagetvandmovies2925
"=HYPERLINK(""https://youtu.be/xQa3lKCJ2-Y"", ""Link"")",xQa3lKCJ2-Y,Episode,0:23:19,ATWT,04/21/1961,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/2xaK5SuuVd4"", ""Link"")",2xaK5SuuVd4,Episode,0:23:19,ATWT,4/21/1961,A,,1,1,sweetvintagetvandmovies2925
"=HYPERLINK(""https://youtu.be/H4UFNmNGN5s"", ""Link"")",H4UFNmNGN5s,Episode,0:27:54,ATWT,01/01/1962,A,,1,1,obsinternational
"=HYPERLINK(""https://youtu.be/ASfYyVmIxNg"", ""Link"")",ASfYyVmIxNg,Episode,0:27:54,ATWT,03/29/1962,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/QS2T1fhl350"", ""Link"")",QS2T1fhl350,Episode,0:27:54,ATWT,3/29/1962,A,,1,1,sweetvintagetvandmovies2925
"=HYPERLINK(""https://youtu.be/5kkY8JPKyuw"", ""Link"")",5kkY8JPKyuw,Episode content,0:12:18,ATWT,12/01/1962,A,P_4acb46c4,1,2,soapsnthings4182
"=HYPERLINK(""https://youtu.be/kfph6tCs2oI"", ""Link"")",kfph6tCs2oI,Episode content,0:09:24,ATWT,12/01/1962,A,P_4acb46c4,2,2,soapsnthings4182
"=HYPERLINK(""https://youtu.be/zb2gOelkyis"", ""Link"")",zb2gOelkyis,Episode content,0:13:49,ATWT,01/01/1963,A,P_bdec65dc,1,2,soapsnthings4182
"=HYPERLINK(""https://youtu.be/b4rgwi43fos"", ""Link"")",b4rgwi43fos,Episode content,0:09:22,ATWT,01/01/1963,A,P_bdec65dc,2,2,soapsnthings4182
"=HYPERLINK(""https://youtu.be/1_RbHWp3V2k"", ""Link"")",1_RbHWp3V2k,Episode content,0:11:31,ATWT,11/22/1963,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/E1H7hTcJDjI"", ""Link"")",E1H7hTcJDjI,Episode - Newsbreak of JFK shot in Dallas at 10:00,0:29:38,ATWT,11/23/1963,A,,1,1,sweetvintagetvandmovies2925
"=HYPERLINK(""https://youtu.be/Bwb67_8FiYE"", ""Link"")",Bwb67_8FiYE,Classic Dr. Bob scene,0:05:35,ATWT,08/01/1965,A,,1,1,cbs
"=HYPERLINK(""https://youtu.be/l3lJrHpVUU8"", ""Link"")",l3lJrHpVUU8,Episode content,0:10:58,ATWT,02/22/1966,A,P_a61d32f9,1,2,soapsnthings4182
"=HYPERLINK(""https://youtu.be/blsfz2vmX4w"", ""Link"")",blsfz2vmX4w,Episode content,0:08:46,ATWT,02/22/1966,A,P_a61d32f9,2,2,soapsnthings4182
"=HYPERLINK(""https://youtu.be/ssQyx5V-60M"", ""Link"")",ssQyx5V-60M,Eplisode,0:29:08,ATWT,05/18/1967,A,,1,1,edwynnsanchez
"=HYPERLINK(""https://youtu.be/eflQQJGXvQk"", ""Link"")",eflQQJGXvQk,Episode Act 3,0:02:53,ATWT,05/18/1967,A,,1,1,lancejacksonorgnplyr
"=HYPERLINK(""https://youtu.be/Xa3XSocuEWo"", ""Link"")",Xa3XSocuEWo,Episode Act 5,0:05:14,ATWT,05/18/1967,A,,1,1,lancejacksonorgnplyr
"=HYPERLINK(""https://youtu.be/ZtK05FbMQrs"", ""Link"")",ZtK05FbMQrs,Episode Act 1,0:05:40,ATWT,05/18/1967,A,,1,1,lancejacksonorgnplyr
"=HYPERLINK(""https://youtu.be/g2vRffDhwxQ"", ""Link"")",g2vRffDhwxQ,Episode,0:28:15,ATWT,03/15/1968,A,,1,1,robwargo
"=HYPERLINK(""https://youtu.be/Z7kC44vuLlc"", ""Link"")",Z7kC44vuLlc,Eplisode,0:26:49,ATWT,11/01/1972,A,,1,1,edwynnsanchez
"=HYPERLINK(""https://youtu.be/y93_Ff-jAd8"", ""Link"")",y93_Ff-jAd8,Episode,0:27:35,ATWT,01/01/1973,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/YCQ5xIdxWGA"", ""Link"")",YCQ5xIdxWGA,Promo,0:00:21,ATWT,11/1/1975,B,,1,1,retronewfoundland
"=HYPERLINK(""https://youtu.be/C3-FjcUbo6E"", ""Link"")",C3-FjcUbo6E,Nancy throws a dinner party from HELL,0:08:59,ATWT,01/01/1977,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/sn2Z0mSFVbQ"", ""Link"")",sn2Z0mSFVbQ,Episode,0:25:18,ATWT,5/28/1978,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/ELqxLJppDGc"", ""Link"")",ELqxLJppDGc,Georgann Johnson on As The World Turns,0:05:52,ATWT,6/1/1978,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/roaMCEyXIL0"", ""Link"")",roaMCEyXIL0,Opening,0:00:15,ATWT,1/1/1979,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/F3MnMgvXyCU"", ""Link"")",F3MnMgvXyCU,Episode clip,0:02:14,ATWT,01/01/1979,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/vH6ibuj6-FM"", ""Link"")",vH6ibuj6-FM,Episode,0:56:00,ATWT,05/8/1979,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/geR3U4WHcpM"", ""Link"")",geR3U4WHcpM,Promo,0:00:24,ATWT,07/01/1979,B,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/8WShQGwh0UI"", ""Link"")",8WShQGwh0UI,Episode,0:43:26,ATWT,09/28/1979,A,,1,1,edwynnsanchez
