YouTube link,id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/x6uZ_oX9f28"", ""Link"")",x6uZ_oX9f28,Mary McDonnell,0:06:55,ATWT,01/01/1980,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/GDDHcN75HnU"", ""Link"")",GDDHcN75HnU,Opening Theme,0:03:11,ATWT,01/01/1980,B,,1,1,wedge8874
"=HYPERLINK(""https://youtu.be/oWR4qet4hcU"", ""Link"")",oWR4qet4hcU,Marcie's Fantasy,0:02:58,ATWT,01/01/1980,A,,1,1,wedge8874
"=HYPERLINK(""https://youtu.be/gMyaMt2Rs-g"", ""Link"")",gMyaMt2Rs-g,Kevin and Frannie,0:02:43,ATWT,01/01/1980,A,,1,1,wedge8874
"=HYPERLINK(""https://youtu.be/G3I_a0yG1nQ"", ""Link"")",G3I_a0yG1nQ,Episode,0:37:24,ATWT,3/27/1980,A,,1,1,patriciabruderdebrovner4497
"=HYPERLINK(""https://youtu.be/v9iI8nOqRW0"", ""Link"")",v9iI8nOqRW0,Episode,0:57:55,ATWT,03/31/1980,A,,1,1,patriciabruderdebrovner4497
"=HYPERLINK(""https://youtu.be/LfH3EIS43eQ"", ""Link"")",LfH3EIS43eQ,Episode,0:58:20,ATWT,07/11/1980,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/eGLo2XaQ3T4"", ""Link"")",eGLo2XaQ3T4,Closing theme,0:03:11,ATWT,01/01/1981,B,,1,1,edwynnsanchez
"=HYPERLINK(""https://youtu.be/e6W-2IcCSX0"", ""Link"")",e6W-2IcCSX0,Closing,0:00:14,ATWT,1/1/1981,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/32VNi4wCgTo"", ""Link"")",32VNi4wCgTo,Episode,0:58:40,ATWT,12/01/1981,A,,1,1,patriciabruderdebrovner4497
"=HYPERLINK(""https://youtu.be/36BBbBSGcyQ"", ""Link"")",36BBbBSGcyQ,Meg Ryan,0:04:14,ATWT,01/01/1982,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/RIDzJVvCwdI"", ""Link"")",RIDzJVvCwdI,Dana Delaney and Margaret Colin,0:01:35,ATWT,01/01/1982,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/NQXlaRZKeNc"", ""Link"")",NQXlaRZKeNc,1982 crew credits,0:02:08,ATWT,01/01/1982,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/uzjk5rUJQkc"", ""Link"")",uzjk5rUJQkc,1982 close,0:01:18,ATWT,01/01/1982,B,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/Y4XCYPy8Kf8"", ""Link"")",Y4XCYPy8Kf8,Partial Episode,0:22:12,ATWT,1/1/1982,A,,1,1,patriciabruderdebrovner4497
"=HYPERLINK(""https://youtu.be/p71Clgs9wdA"", ""Link"")",p71Clgs9wdA,Promo - Who killed John Dixon,0:00:23,ATWT,01/15/1982,B,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/ZBCBUwrenww"", ""Link"")",ZBCBUwrenww,Wedding scene Ep 6665,0:02:57,ATWT,02/01/1982,A,,1,1,patriciabruderdebrovner4497
"=HYPERLINK(""https://youtu.be/hr9TVqatPO8"", ""Link"")",hr9TVqatPO8,Episode,0:49:53,ATWT,02/02/1982,A,,1,1,patriciabruderdebrovner4497
"=HYPERLINK(""https://youtu.be/IFTteoVpsBE"", ""Link"")",IFTteoVpsBE,Episode 6669,0:56:53,ATWT,2/5/1982,A,,1,1,patriciabruderdebrovner4497
"=HYPERLINK(""https://youtu.be/OTPfD6aU8SQ"", ""Link"")",OTPfD6aU8SQ,Promo,0:00:21,ATWT,1/1/1983,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/7oSFNNnAebI"", ""Link"")",7oSFNNnAebI,Promo,0:00:21,ATWT,1/1/1983,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/_MAFADnvfBc"", ""Link"")",_MAFADnvfBc,Marisa Tomei Pays Tribute To Betty Rae,0:00:32,ATWT,6/1/1983,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/bVQZu2OIl70"", ""Link"")",bVQZu2OIl70,Episode clip,0:02:29,ATWT,9/2/1983,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/xI5-j_k-oSQ"", ""Link"")",xI5-j_k-oSQ,Dann Florek,0:01:08,ATWT,01/01/1984,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/2qzoQUgoHAI"", ""Link"")",2qzoQUgoHAI,Whitney Houston Promo,0:00:21,ATWT,01/01/1984,B,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/yuzr8UrVBYY"", ""Link"")",yuzr8UrVBYY,Promo - Steve - Betsy - Craig - Diana Quadrangle,0:00:21,ATWT,1/1/1984,B,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/elmAVzFMc3Q"", ""Link"")",elmAVzFMc3Q,Promo,0:00:21,ATWT,1/1/1984,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/_JimqzmL8nw"", ""Link"")",_JimqzmL8nw,Opening,0:00:41,ATWT,1/1/1984,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/h8azDAub-h8"", ""Link"")",h8azDAub-h8,Promo,0:00:21,ATWT,1/1/1984,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/b-Xy_jnloLg"", ""Link"")",b-Xy_jnloLg,Promo,0:00:21,ATWT,03/01/1984,B,,1,1,bluerose8508
