link,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/YcTl9fC241Y"", ""Link"")",Bob and John,1:51,ATWT,01/01/2000,A,,1,1,bartko80
"=HYPERLINK(""https://youtu.be/4ITLiN0_zjM"", ""Link"")",Amanda Seyfried on As The World Turns,2:08,ATWT,6/1/2000,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/VjU2txS4z1Q"", ""Link"")",Eplisode,56:04,ATWT,09/06/2000,A,,1,1,edwynnsanchez
"=HYPERLINK(""https://youtu.be/GoqhKTlDvWc"", ""Link"")",Carly helps Molly solve her haunting,08:08,ATWT,10/23/2000,A,,1,1,dragonweaver
"=HYPERLINK(""https://youtu.be/5YkWg--2nf8"", ""Link"")",Halloween: Craigs Costume Galla Bonus,6:30,ATWT,10/31/2000,A,,1,1,dragonweaver
"=HYPERLINK(""https://youtu.be/BXSkrisMF8w"", ""Link"")",Halloween: Craigs Costume Galla Bonus,8:06,ATWT,10/31/2000,A,,1,1,dragonweaver
"=HYPERLINK(""https://youtu.be/ReJSlez8P3w"", ""Link"")",Halloween: Craigs Costume Galla,08:59,ATWT,10/31/2000,A,P_cea52be1,1,6,dragonweaver
"=HYPERLINK(""https://youtu.be/cq9ApFZid5s"", ""Link"")",Halloween: Craigs Costume Galla,09:44,ATWT,10/31/2000,A,P_cea52be1,2,6,dragonweaver
"=HYPERLINK(""https://youtu.be/HwFxHp1PrVU"", ""Link"")",Halloween: Craigs Costume Galla,08:31,ATWT,10/31/2000,A,P_cea52be1,3,6,dragonweaver
"=HYPERLINK(""https://youtu.be/ck7XAQWgcXQ"", ""Link"")",Halloween: Craigs Costume Galla,07:37,ATWT,10/31/2000,A,P_cea52be1,4,6,dragonweaver
"=HYPERLINK(""https://youtu.be/QUYwTrNjaSc"", ""Link"")",Halloween: Craigs Costume Galla,8:49,ATWT,10/31/2000,A,P_cea52be1,5,6,dragonweaver
"=HYPERLINK(""https://youtu.be/4FSxqx8R7j8"", ""Link"")",Halloween: Craigs Costume Galla,07:47,ATWT,10/31/2000,A,P_cea52be1,6,6,dragonweaver
