link,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/lvIEqqZuxP4"", ""Link"")",Episodes (and November),31:42,AW,5/22/1964,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/5dpJC2htVtk"", ""Link"")",Promos,1:45,AW,01/12/1965,B,,1,1,robwargo
"=HYPERLINK(""https://youtu.be/0NPIlN3tQHQ"", ""Link"")",Episode recording (audio only),2:44,AW,06/01/1965,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/YCfZjKVQC4M"", ""Link"")",Ann Wedgworth on Another World,16:32,AW,12/22/1967,A,,1,1,annwedgeworthfangroup
"=HYPERLINK(""https://youtu.be/S_j-rT9i1OU"", ""Link"")",Episode,56:45,AW,07/01/1968,A,,1,1,edwynsanchez
"=HYPERLINK(""https://youtu.be/ZiIZ3xnU0VQ"", ""Link"")",Episode recording (audio only),11:42,AW,07/16/1968,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/sJJTAnsOrzM"", ""Link"")",Episode recording (audio only),25:43,AW,08/01/1968,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/7fopZEHVt9k"", ""Link"")",Episode recording (audio only),22:00,AW,08/01/1968,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/kLsdMqiqS2M"", ""Link"")",Episode recording (audio only),18:02,AW,09/30/1968,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/lYRRwNBxfJI"", ""Link"")",Episode recording (audio only),28:16,AW,10/01/1968,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/iOur6QPnLqk"", ""Link"")",Episode recording (audio only),24:35,AW,10/01/1968,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/k2alyLMtGmc"", ""Link"")",Episode recording (audio only),22:59,AW,10/04/1968,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/A5RIe8_JFpE"", ""Link"")",Episode recording (audio only),9:27,AW,11/01/1968,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/Wb7cD195ARU"", ""Link"")",Episode recording (audio only),16:59,AW,11/29/1968,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/aDm_Yu4QeCA"", ""Link"")",Episode recording (audio only),24:39,AW,12/01/1968,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/RK2BRffbRac"", ""Link"")",Episode recording (audio only),15:57,AW,12/02/1968,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/cdNR5P53R8s"", ""Link"")",Episode recording (audio only),29:57,AW,12/25/1968,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/fZmyJ0FTeno"", ""Link"")",Episode recording (audio only),30:53,AW,12/26/1968,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/exBsmzHpIX0"", ""Link"")",Episode recording (audio only),27:18,AW,01/06/1969,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/VDP2kZB4O2Y"", ""Link"")",Episode recording (audio only),29:06,AW,01/07/1969,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/kLXfFb74Obk"", ""Link"")",Episode recording (audio only),29:56,AW,07/01/1969,A,,1,1,eddiedrueding
