YouTube link,id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/FPvcFDva6Yo"", ""Link"")",FPvcFDva6Yo,Outdoors - The 1980s,0:03:57,AW,01/01/1980,A,,1,1,pimlicocalico
"=HYPERLINK(""https://youtu.be/_2qeVfnwbnE"", ""Link"")",_2qeVfnwbnE,Promos - 1980s and 1990s,0:07:20,AW,01/01/1980,B,,1,1,pimlicocalico
"=HYPERLINK(""https://youtu.be/dSSUW3GJfX0"", ""Link"")",dSSUW3GJfX0,Promo,0:00:21,AW,1/1/1980,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/FYkzQSn-4oQ"", ""Link"")",FYkzQSn-4oQ,January 1980,0:13:33,AW,01/01/1980,A,P_31e633c0,1,4,pimlicocalico
"=HYPERLINK(""https://youtu.be/uOZyDXdCwvw"", ""Link"")",uOZyDXdCwvw,January 1980,0:06:30,AW,01/01/1980,A,P_31e633c0,2,4,pimlicocalico
"=HYPERLINK(""https://youtu.be/vjpGcXf--ag"", ""Link"")",vjpGcXf--ag,January 1980,0:05:02,AW,01/01/1980,A,P_31e633c0,3,4,pimlicocalico
"=HYPERLINK(""https://youtu.be/-UYt947Tq3k"", ""Link"")",-UYt947Tq3k,January 1980,0:13:17,AW,01/01/1980,A,P_31e633c0,4,4,pimlicocalico
"=HYPERLINK(""https://youtu.be/tGyWa59g9Qk"", ""Link"")",tGyWa59g9Qk,March 1980,0:18:18,AW,03/01/1980,A,P_5528a708,1,4,pimlicocalico
"=HYPERLINK(""https://youtu.be/nErBv7oBi-4"", ""Link"")",nErBv7oBi-4,March 1980,0:24:31,AW,03/01/1980,A,P_5528a708,2,4,pimlicocalico
"=HYPERLINK(""https://youtu.be/t6JcI8n2n8g"", ""Link"")",t6JcI8n2n8g,March 1980,0:46:34,AW,03/01/1980,A,P_5528a708,3,4,pimlicocalico
"=HYPERLINK(""https://youtu.be/pGUd-_GETj4"", ""Link"")",pGUd-_GETj4,March 1980,0:19:17,AW,03/01/1980,A,P_5528a708,4,4,pimlicocalico
"=HYPERLINK(""https://youtu.be/VoxvkEXVaFI"", ""Link"")",VoxvkEXVaFI,Eplisode clip,0:08:19,AW,03/14/1980,A,,1,1,pimlicocalico
"=HYPERLINK(""https://youtu.be/tir00P3JWXo"", ""Link"")",tir00P3JWXo,Episode,0:24:39,AW,03/17/1980,A,,1,1,pimlicocalico
"=HYPERLINK(""https://youtu.be/t49ZiZ5CUj4"", ""Link"")",t49ZiZ5CUj4,April 1980,0:12:46,AW,04/01/1980,A,P_263edfcf,1,3,pimlicocalico
"=HYPERLINK(""https://youtu.be/UkCON3jiOLE"", ""Link"")",UkCON3jiOLE,April 1980,0:07:03,AW,04/01/1980,A,P_263edfcf,2,3,pimlicocalico
"=HYPERLINK(""https://youtu.be/zqAjWgBeBQ8"", ""Link"")",zqAjWgBeBQ8,April 1980,0:34:20,AW,04/01/1980,A,P_263edfcf,3,3,pimlicocalico
