link,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/_y26bWuFoSo"", ""Link"")",The Power of Love,3:56,AW,01/01/1990,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/yQhQAaQGHWY"", ""Link"")",Waking Up Sharly,7:05,AW,01/01/1990,A,,1,1,veggieburgermeister
"=HYPERLINK(""https://youtu.be/irorKSyDYPQ"", ""Link"")",Felicia and Cass :: I need a hug.,04:04,AW,01/01/1990,A,,1,1,veggieburgermeister
"=HYPERLINK(""https://youtu.be/shh55uBe7zc"", ""Link"")",Nightmare On Dream Street,8:54,AW,01/01/1990,A,,1,1,veggieburgermeister
"=HYPERLINK(""https://youtu.be/JQEsnfo6k1M"", ""Link"")",Sharlene Keeps John Waiting,04:53,AW,01/01/1990,A,,1,1,veggieburgermeister
"=HYPERLINK(""https://youtu.be/taS6TCiSf-Q"", ""Link"")",Dealing With Lucas,13:19,AW,01/01/1990,A,,1,1,veggieburgermeister
"=HYPERLINK(""https://youtu.be/r7osffAR5is"", ""Link"")",Eliminating Michael Hudson,17:25,AW,01/01/1990,A,,1,1,veggieburgermeister
"=HYPERLINK(""https://youtu.be/RNDBQbYaJSc"", ""Link"")",Sharly Snaps at John,05:46,AW,01/01/1990,A,,1,1,veggieburgermeister
"=HYPERLINK(""https://youtu.be/ncAC020IDQs"", ""Link"")",Leslie Hendrix On Another World,0:21,AW,01/01/1990,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/wLGdTi0YZlI"", ""Link"")",Eugene Byrd On Another World,2:17,AW,01/01/1990,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/yZQa-QyaoW4"", ""Link"")",Jake McKinnon Out Of Body Experience Playing 5-Card,13:28,AW,1/1/1990,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/Fn8PrpjKW1Y"", ""Link"")",Another World snippets,17:26,AW,1/1/1990,A,,1,1,chase4everchase
"=HYPERLINK(""https://youtu.be/SmCyyNV6rrQ"", ""Link"")",Another World snippets,12:22,AW,1/1/1990,A,,1,1,chase4everchase
"=HYPERLINK(""https://youtu.be/dTeRbLZ25ok"", ""Link"")",Dream Street,8:35,AW,01/01/1990,A,P_0af5a0d2,1,3,veggieburgermeister
"=HYPERLINK(""https://youtu.be/gYs5EhbLiU8"", ""Link"")",Dream Street,17:47,AW,01/01/1990,A,P_0af5a0d2,2,3,veggieburgermeister
"=HYPERLINK(""https://youtu.be/RnK7g2C13xI"", ""Link"")",Dream Street,14:37,AW,01/01/1990,A,P_0af5a0d2,3,3,veggieburgermeister
