link,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/tx0ziaNjzjM"", ""Link"")",Promo,0:21,BB,1/1/1987,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/gzdLaydKuc8"", ""Link"")",Sally Spectra seduces Jack to get pregnant.,6:37,BB,3/23/1987,A,,1,1,brookelover9948
"=HYPERLINK(""https://youtu.be/TdP-UHCwxh4"", ""Link"")",Promo,0:24,BB,1/1/1988,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/GZHTqrvEjGw"", ""Link"")",Stephanie's magic pill,7:42,BB,1/1/1988,A,,1,1,darlaforrester
"=HYPERLINK(""https://youtu.be/anHmwKUqQSE"", ""Link"")",Stephanie Forrester's biggest secret starts to come out,8:58,BB,7/21/1988,A,,1,1,darlaforrester
"=HYPERLINK(""https://youtu.be/-BRTjPiGi_Q"", ""Link"")",Stephanie and Ridge visit Santa Monica house,4:59,BB,8/1/1988,A,,1,1,darlaforrester
"=HYPERLINK(""https://youtu.be/zJBvqyb4FPY"", ""Link"")","Eric, Stephanie, Angela - Miracles happend",7:22,BB,11/25/1988,A,,1,1,darlaforrester
"=HYPERLINK(""https://youtu.be/98QosPvWrCI"", ""Link"")",Jeff Conaway The Bold and The Beautiful,00:21,BB,01/01/1989,B,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/tdjbmFRAZpc"", ""Link"")",Promo,0:31,BB,1/1/1989,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/ZJ3X7POjlB8"", ""Link"")","Ridge, Caroline, Stephanie scene. Sally visits Stephanie",9:09,BB,01/01/1989,A,,1,1,brookelover9948
"=HYPERLINK(""https://youtu.be/eSZkHWhYLSI"", ""Link"")",Stephanie Forrester meets and exchanges words with Sally Spectra,9:57,BB,1/17/1989,A,,1,1,brookelover9948
"=HYPERLINK(""https://youtu.be/XnCEqVLD7t8"", ""Link"")",Angela Forrester violent spell,8:31,BB,4/17/1989,A,,1,1,darlaforrester
"=HYPERLINK(""https://youtu.be/aNqK7ZzrVW0"", ""Link"")",Episode content,0:32,BB,8/10/1989,A,,1,1,snarkweighsin
"=HYPERLINK(""https://youtu.be/0Mn2QIlVyX0"", ""Link"")",Episode content,5:35,BB,8/10/1989,A,,1,1,snarkweighsin
"=HYPERLINK(""https://youtu.be/w7bp8N2DMSY"", ""Link"")",Episode content,4:12,BB,8/10/1989,A,,1,1,snarkweighsin
"=HYPERLINK(""https://youtu.be/QXDO0Alfj2s"", ""Link"")",Episode content,6:02,BB,8/10/1989,A,,1,1,snarkweighsin
"=HYPERLINK(""https://youtu.be/lZiOYWUQzVM"", ""Link"")",The truth comes out and Stephanie slaps Angela,7:57,BB,9/22/1989,A,,1,1,darlaforrester
"=HYPERLINK(""https://youtu.be/0Op0Yfg4aHw"", ""Link"")",Queen Mary Fashion Story,8:13,BB,10/12/1989,A,P_f02765dc,1,5,brookelover9948
"=HYPERLINK(""https://youtu.be/UkPG1oZw9Ls"", ""Link"")",Queen Mary Fashion Story,9:41,BB,10/12/1989,A,P_f02765dc,2,5,brookelover9948
"=HYPERLINK(""https://youtu.be/OM2yfCqd5_w"", ""Link"")",Queen Mary Fashion Story,9:51,BB,10/12/1989,A,P_f02765dc,3,5,brookelover9948
"=HYPERLINK(""https://youtu.be/cFZ399FSeA8"", ""Link"")",Queen Mary Fashion Story,7:28,BB,10/12/1989,A,P_f02765dc,4,5,brookelover9948
"=HYPERLINK(""https://youtu.be/Dq9B-RLfArg"", ""Link"")",Queen Mary Fashion Story,8:32,BB,10/12/1989,A,P_f02765dc,5,5,brookelover9948
"=HYPERLINK(""https://youtu.be/GIUhMBC9XAg"", ""Link"")",Sally barges in  on Stephanie for the first time,9:12,BB,11/14/1989,A,,1,1,brookelover9948
"=HYPERLINK(""https://youtu.be/XRgAFcMKtEc"", ""Link"")",Stephanie Forrester and Deveney Dixon,7:38,BB,11/14/1989,A,,1,1,darlaforrester
