YouTube link,id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/ROfgit-q828"", ""Link"")",ROfgit-q828,Episode content,0:07:21,BB,1/1/2000,A,,1,1,bnedceo
"=HYPERLINK(""https://youtu.be/vrpTbIc2RO0"", ""Link"")",vrpTbIc2RO0,The Bold & The Beautiful,0:00:55,BB,1/1/2001,A,,1,1,bnedceo
"=HYPERLINK(""https://youtu.be/2AN5bvof4kI"", ""Link"")",2AN5bvof4kI,The Bold & The Beautiful,0:01:28,BB,1/1/2001,A,,1,1,bnedceo
"=HYPERLINK(""https://youtu.be/kHvn3fmALP8"", ""Link"")",kHvn3fmALP8,Promo #16,0:00:21,BB,01/01/2002,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/jxQOwNMqy34"", ""Link"")",jxQOwNMqy34,Promo #15,0:00:21,BB,01/01/2002,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/AJI9hsHIgBo"", ""Link"")",AJI9hsHIgBo,Promo #14,0:00:21,BB,01/01/2002,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/8q1tJTkcYaE"", ""Link"")",8q1tJTkcYaE,Stephanie Confronts Breacon,0:06:38,BB,01/01/2002,A,,1,1,novelasdomundo
"=HYPERLINK(""https://youtu.be/ez01Wge1vK4"", ""Link"")",ez01Wge1vK4,Stephanie Finds Out About Breacon,0:03:49,BB,01/01/2002,A,,1,1,novelasdomundo
"=HYPERLINK(""https://youtu.be/PqwcG6jaXIE"", ""Link"")",PqwcG6jaXIE,Stephanie Multi-Smacks Deacon,0:03:07,BB,01/01/2002,A,,1,1,novelasdomundo
"=HYPERLINK(""https://youtu.be/xS5EeHs_ToI"", ""Link"")",xS5EeHs_ToI,Stephanie Vs Brooke,0:05:55,BB,01/01/2002,A,,1,1,novelasdomundo
"=HYPERLINK(""https://youtu.be/RDdEPtMY3i4"", ""Link"")",RDdEPtMY3i4,Promo #13,0:00:21,BB,10/07/2002,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/oR3Slq-TifE"", ""Link"")",oR3Slq-TifE,Promo #30,0:00:20,BB,01/01/2003,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/IkvBuG6u8KE"", ""Link"")",IkvBuG6u8KE,Promo #29,0:00:16,BB,01/01/2003,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/z-o-hK83UkE"", ""Link"")",z-o-hK83UkE,Promo #21,0:00:21,BB,01/01/2003,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/oKXBeV11H5U"", ""Link"")",oKXBeV11H5U,Promo #20,0:00:21,BB,01/01/2003,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/SxCevHJwbng"", ""Link"")",SxCevHJwbng,Promo #19,0:00:20,BB,01/01/2003,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/tJ7vHyM-YBw"", ""Link"")",tJ7vHyM-YBw,Promo #18,0:00:20,BB,01/01/2003,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/2qOEsx2iGUs"", ""Link"")",2qOEsx2iGUs,Promo #4,0:00:24,BB,01/01/2003,B,,1,1,disabled1955
