link,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/Z6I9y8MNHbY"", ""Link"")",Jake is Taken Hostage in Jaba City,06:06,CITY,01/01/1991,A,,1,1,abcsoaptv
"=HYPERLINK(""https://youtu.be/dG6fol3UevY"", ""Link"")",Opening,0:32,CITY,1/1/1995,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/6FjsJ-oGnQY"", ""Link"")",Promo - Nick Rivers,0:11,CITY,1/1/1995,B,,1,1,soapfoxkirby
"=HYPERLINK(""https://youtu.be/hLE_PZY7iIo"", ""Link"")",Promo,1:32,CITY,11/1/1995,B,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/feoa6htp8Os"", ""Link"")",Episode,21:44,CITY,11/13/1995,A,,1,1,jimmuneco1877
"=HYPERLINK(""https://youtu.be/xAcg1b32gaA"", ""Link"")",Episode,21:28,CITY,11/14/1995,A,,1,1,jimmuneco1877
"=HYPERLINK(""https://youtu.be/Ditet0n9Ygk"", ""Link"")",Episode,21:52,CITY,11/15/1995,A,,1,1,jimmuneco1877
"=HYPERLINK(""https://youtu.be/uMQ2nLZfACs"", ""Link"")",Episode,23:08,CITY,11/16/1995,A,,1,1,jimmuneco1877
"=HYPERLINK(""https://youtu.be/nQNzOCGB2nU"", ""Link"")",Episode,22:22,CITY,11/17/1995,A,,1,1,jimmuneco1877
"=HYPERLINK(""https://youtu.be/HImjluQt2-w"", ""Link"")",Episode,22:20,CITY,12/01/1995,A,,1,1,soapfoxkirby
"=HYPERLINK(""https://youtu.be/sXV9bAskJmo"", ""Link"")",Episode,22:16,CITY,12/02/1995,A,,1,1,soapfoxkirby
"=HYPERLINK(""https://youtu.be/vUwiysqF0ng"", ""Link"")",Episode,21:49,CITY,12/03/1995,A,,1,1,soapfoxkirby
"=HYPERLINK(""https://youtu.be/ZSI-9eTaTRY"", ""Link"")",Promo,0:31,CITY,1/1/1996,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/7Nw2JTjMKFc"", ""Link"")",Episode content,4:33,CITY,01/01/1996,A,,1,1,soapfoxkirby
"=HYPERLINK(""https://youtu.be/W1fYd9gimXk"", ""Link"")",Episode content,7:27,CITY,01/01/1996,A,,1,1,soapfoxkirby
"=HYPERLINK(""https://youtu.be/LToTtjrdTnk"", ""Link"")",Episode,16:52,CITY,01/01/1996,A,,1,1,soapfoxkirby
"=HYPERLINK(""https://youtu.be/NubHvwZGnXc"", ""Link"")",Episode,21:42,CITY,7/1/1996,A,,1,1,jimmuneco1877
"=HYPERLINK(""https://youtu.be/tIwCPAL6SW8"", ""Link"")",Episode,21:26,CITY,7/1/1996,A,,1,1,jimmuneco1877
"=HYPERLINK(""https://youtu.be/Q463egSu_5A"", ""Link"")",Episode,21:50,CITY,8/29/1996,A,,1,1,jimmuneco1877
"=HYPERLINK(""https://youtu.be/fId2M4Vk-C0"", ""Link"")",Episode,21:41,CITY,9/1/1996,A,,1,1,jimmuneco1877
"=HYPERLINK(""https://youtu.be/8tt034vTxGk"", ""Link"")",Episode,21:43,CITY,9/6/1996,A,,1,1,jimmuneco1877
"=HYPERLINK(""https://youtu.be/eyJWKE6XO3g"", ""Link"")",Episode,21:43,CITY,9/12/1996,A,,1,1,jimmuneco1877
"=HYPERLINK(""https://youtu.be/8QN0_H87eqE"", ""Link"")",Episode,20:12,CITY,9/17/1996,A,,1,1,jimmuneco1877
"=HYPERLINK(""https://youtu.be/D6K6HlA4wnM"", ""Link"")",Episode,21:44,CITY,9/20/1996,A,,1,1,jimmuneco1877
"=HYPERLINK(""https://youtu.be/x_GRPfrv29g"", ""Link"")",Episode,21:42,CITY,9/26/1996,A,,1,1,jimmuneco1877
"=HYPERLINK(""https://youtu.be/II5_RlQTBC0"", ""Link"")",Episode,23:10,CITY,9/30/1996,A,,1,1,jimmuneco1877
"=HYPERLINK(""https://youtu.be/kutU9Ll6Mk0"", ""Link"")",Episode,20:32,CITY,10/4/1996,A,,1,1,jimmuneco1877
"=HYPERLINK(""https://youtu.be/Z0gYZ_zeajg"", ""Link"")",Episode,21:36,CITY,10/7/1996,A,,1,1,jimmuneco1877
"=HYPERLINK(""https://youtu.be/t9QhrPOqv6Y"", ""Link"")",Episode,21:47,CITY,10/21/1996,A,,1,1,jimmuneco1877
"=HYPERLINK(""https://youtu.be/mTiOpNHGU1U"", ""Link"")",Episode,21:45,CITY,10/22/1996,A,,1,1,jimmuneco1877
"=HYPERLINK(""https://youtu.be/YgdulwvY-5Q"", ""Link"")",Episode,21:41,CITY,11/7/1996,A,,1,1,jimmuneco1877
"=HYPERLINK(""https://youtu.be/qIaE0NyKjDg"", ""Link"")",Episode,21:47,CITY,11/8/1996,A,,1,1,jimmuneco1877
"=HYPERLINK(""https://youtu.be/BaOkMBN3ppw"", ""Link"")",Episode,20:37,CITY,11/19/1996,A,,1,1,jimmuneco1877
"=HYPERLINK(""https://youtu.be/whFi3IfkJjo"", ""Link"")",Episode,21:45,CITY,11/27/1996,A,,1,1,jimmuneco1877
"=HYPERLINK(""https://youtu.be/aoDkatSOAEc"", ""Link"")",Episode,21:42,CITY,11/28/1996,A,,1,1,jimmuneco1877
"=HYPERLINK(""https://youtu.be/w37TIIyc0eY"", ""Link"")",Episode,21:48,CITY,1/2/1997,A,,1,1,jimmuneco1877
"=HYPERLINK(""https://youtu.be/rgJRmQazjcg"", ""Link"")",Episode,21:43,CITY,2/6/1997,A,,1,1,jimmuneco1877
