link,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/Irlsfw2oUDY"", ""Link"")",Kelly Preston,1:17,CPTL,01/01/1982,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/XgBxfWq1fls"", ""Link"")",Promo,00:21,CPTL,01/01/1982,B,,1,1,fyi
"=HYPERLINK(""https://youtu.be/fVs_U3uDMbs"", ""Link"")",Episode,21:40,CPTL,11/11/1983,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/Jw6YEFXvac0"", ""Link"")",Episode content,00:10:37,CPTL,01/17/1984,A,,1,1,pannoni
"=HYPERLINK(""https://youtu.be/2Ouz2MT99IY"", ""Link"")",Episode,21:34,CPTL,5/10/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/KA-TVNAS0b4"", ""Link"")",Episode,21:46,CPTL,5/13/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/VeLDCS4exkY"", ""Link"")",Episode,21:18,CPTL,5/16/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/r5CxDi2l9gc"", ""Link"")",Episode,21:54,CPTL,5/17/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/e2v9QYtsDIM"", ""Link"")",Episode,21:42,CPTL,5/21/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/FuD5Bm-kUuE"", ""Link"")",Promo 1985,00:28,CPTL,06/01/1985,B,,1,1,bluerose8508
"=HYPERLINK(""https://youtu.be/-1tKe0aou2s"", ""Link"")",Episode,21:19,CPTL,6/3/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/WgQ-9ftO_X4"", ""Link"")",Episode,20:51,CPTL,6/5/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/Dk2_ZVnF7ds"", ""Link"")",Episode,21:40,CPTL,6/6/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/d2skFsPP_4M"", ""Link"")",Episode,21:28,CPTL,6/17/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/29mJBonauz8"", ""Link"")",Episode,21:16,CPTL,7/9/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/N8pBjId5Yzs"", ""Link"")",Episode,21:26,CPTL,7/18/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/mTCjZyfMnUQ"", ""Link"")",Episode,21:30,CPTL,7/29/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/Vyo_qW5gqj4"", ""Link"")",Episode,21:17,CPTL,8/1/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/3IcZ8sPKIiI"", ""Link"")",Episode,21:17,CPTL,8/1/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/nrfuFpFoi6U"", ""Link"")",Episode,21:11,CPTL,8/1/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/UaUHvsnPqpo"", ""Link"")",Episode,21:09,CPTL,8/1/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/B69AeHzcJ40"", ""Link"")",Episode,21:30,CPTL,8/1/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/Fl8s9UzsETM"", ""Link"")",Episode,21:33,CPTL,8/13/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/0AuyDmHrTDg"", ""Link"")",Episode,20:38,CPTL,8/14/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/cAbO_jSNCgE"", ""Link"")",Episode,20:58,CPTL,8/16/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/GWBVY9jzGPA"", ""Link"")",Episode,21:30,CPTL,8/21/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/JHCgkl26Ths"", ""Link"")",Episode,21:17,CPTL,8/22/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/aFAbyVBCRZU"", ""Link"")",Episode,21:03,CPTL,10/2/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/RGnLNwKP9vM"", ""Link"")",Episode,21:36,CPTL,10/3/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/FK11gR0igZs"", ""Link"")",Episode,21:19,CPTL,10/4/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/Owmx048oAbA"", ""Link"")",Episode,21:18,CPTL,10/8/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/_J5gqw3oWDo"", ""Link"")",Episode,21:45,CPTL,10/11/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/fR8_Nm5Zo_0"", ""Link"")",Episode,21:27,CPTL,10/14/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/twR3RSnxswE"", ""Link"")",Episode,21:29,CPTL,10/16/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/fm3NVzDWUK0"", ""Link"")",Episode,21:33,CPTL,10/23/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/m0J6CN1I-F0"", ""Link"")",Episode,21:03,CPTL,10/29/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/iJzgmcpKaCY"", ""Link"")",Episode,21:14,CPTL,11/1/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/mH6wSSleXuE"", ""Link"")",Episode,21:34,CPTL,11/7/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/uxdJYRok9rM"", ""Link"")",Episode,21:17,CPTL,11/8/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/fo0JnxHlmtQ"", ""Link"")",Episode,21:22,CPTL,11/12/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/71s12KotGno"", ""Link"")",Episode,21:30,CPTL,11/13/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/4WSmwwxBaVs"", ""Link"")",Episode,21:45,CPTL,11/15/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/LKiNeCOwWRE"", ""Link"")",Episode,21:22,CPTL,11/18/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/aXPvJUZ7PpI"", ""Link"")",Episode,20:44,CPTL,11/19/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/KFjiiPHq0Qk"", ""Link"")",Episode,21:17,CPTL,11/20/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/rVDj_wPxmhM"", ""Link"")",Episode,21:17,CPTL,11/22/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/WsbJaB2v9fU"", ""Link"")",Episode,21:41,CPTL,11/25/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/tCF4usPwHzE"", ""Link"")",Episode content,19:09,CPTL,11/26/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/hFcwAe9np0A"", ""Link"")",Episode,21:20,CPTL,11/27/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/0tLZwM97HS8"", ""Link"")",Episode,21:20,CPTL,12/1/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/tcAqC1oMecg"", ""Link"")",Episode,21:42,CPTL,12/2/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/a1xkB6XR3h8"", ""Link"")",Episode,21:10,CPTL,12/4/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/MTqvDhj6qGs"", ""Link"")",Episode,21:35,CPTL,12/6/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/o-LlxVhHTd0"", ""Link"")",Episode,21:31,CPTL,12/9/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/NiEeCWTRPMU"", ""Link"")",Episode content,15:00,CPTL,12/11/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/8TvKi0ilats"", ""Link"")",Episode content,14:47,CPTL,12/16/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/CKrH0wkWnJE"", ""Link"")",Episode,21:38,CPTL,12/20/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/2u3exznA2Qo"", ""Link"")",Episode,21:16,CPTL,12/24/1985,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/MhKzH_cMBmY"", ""Link"")",Episode,21:23,CPTL,1/6/1986,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/txh7bSfjInY"", ""Link"")",Episode,20:02,CPTL,1/29/1986,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/a8VET2Ot_lw"", ""Link"")",Episode,21:21,CPTL,1/30/1986,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/tozbyUJKEoY"", ""Link"")",Episode,21:03,CPTL,1/31/1986,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/FT6xKk7SBIg"", ""Link"")",Episode,21:10,CPTL,2/5/1986,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/DqJwLG8m3Ls"", ""Link"")",Episode,20:50,CPTL,2/6/1986,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/9w4hhgOl6Is"", ""Link"")",Episode content,19:37,CPTL,2/7/1986,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/i6nsKBw2whE"", ""Link"")",Episode,21:18,CPTL,2/10/1986,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/2woyr-1AaFo"", ""Link"")",Episode,21:10,CPTL,2/12/1986,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/kDgKC2h7OUY"", ""Link"")",Episode,22:06,CPTL,2/14/1986,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/4HvZBdgrQBg"", ""Link"")",Episode,22:10,CPTL,2/17/1986,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/wh93zPmPaZw"", ""Link"")",Episode,21:23,CPTL,02/19/1986,A,,1,1,retrotvcommercials
"=HYPERLINK(""https://youtu.be/T_uUgiNH-4E"", ""Link"")",Episode,21:24,CPTL,2/19/1986,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/pCwXmXzTvPM"", ""Link"")",Episode,22:37,CPTL,2/21/1986,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/7WhhcRvAsgI"", ""Link"")",Episode,21:20,CPTL,2/26/1986,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/CjQCK98SUek"", ""Link"")",Episode,20:50,CPTL,3/3/1986,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/yXRBjB2TKBs"", ""Link"")",Episode,21:43,CPTL,3/5/1986,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/H1VqC-5Jwdo"", ""Link"")",Episode,21:23,CPTL,3/17/1986,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/hPGjm0IJO0I"", ""Link"")",Episode,21:47,CPTL,3/18/1986,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/NyVt5mQajmQ"", ""Link"")",Episode,20:11,CPTL,3/20/1986,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/l8y7Q4sJI1I"", ""Link"")",Episode,21:36,CPTL,3/25/1986,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/GcB4jCvFGGk"", ""Link"")",Episode,20:48,CPTL,3/28/1986,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/F_qjPZzzLak"", ""Link"")",Episode content,16:41,CPTL,4/1/1986,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/PI9FO1NLmJI"", ""Link"")",Episode,21:51,CPTL,4/3/1986,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/mPn6eCzyND0"", ""Link"")",Episode,21:39,CPTL,4/4/1986,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/G3wHP9aqLus"", ""Link"")",Episode,21:11,CPTL,4/8/1986,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/LwZKBPvwFF4"", ""Link"")",Episode,21:22,CPTL,4/9/1986,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/FLuMb2Ehi-g"", ""Link"")",Episode,21:29,CPTL,4/14/1986,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/E_oEM8c79S8"", ""Link"")",Episode,21:25,CPTL,4/16/1986,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/ZhvrAO_lbKg"", ""Link"")",Episode,20:38,CPTL,4/18/1986,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/3GzSpJzzzMM"", ""Link"")",Episode,20:53,CPTL,4/23/1986,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/ZQzhSJsjytc"", ""Link"")",Episode content,19:46,CPTL,5/1/1986,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/Y2XTcbHMTBc"", ""Link"")",Episode,21:44,CPTL,5/1/1986,A,,1,1,jimmuneco
"=HYPERLINK(""https://youtu.be/7P5bsFHBijE"", ""Link"")",Episode,21:14,CPTL,5/1/1986,A,,1,1,jimmuneco
