YouTube link,id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/RQHx98WAa7c"", ""Link"")",RQHx98WAa7c,Promo,0:00:31,CPTL,1/1/1980,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/Irlsfw2oUDY"", ""Link"")",Irlsfw2oUDY,Kelly Preston,0:01:17,CPTL,01/01/1982,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/XgBxfWq1fls"", ""Link"")",XgBxfWq1fls,Promo,0:00:21,CPTL,01/01/1982,B,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/lDVRx8LzeW0"", ""Link"")",lDVRx8LzeW0,Opening,0:00:31,CPTL,1/1/1982,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/lZkoz7ekiu0"", ""Link"")",lZkoz7ekiu0,Promo,0:00:32,CPTL,01/01/1982,B,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/76EyPbLoa8o"", ""Link"")",76EyPbLoa8o,Episode,0:49:08,CPTL,03/26/1982,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/wOFu0qAd79c"", ""Link"")",wOFu0qAd79c,"Primier episode - Carolyn Jones, Marla Adams, Marj Dusay, Kimberly Beck, Catherine Hickland",0:12:46,CPTL,3/29/1982,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/2hz1lZU9qmE"", ""Link"")",2hz1lZU9qmE,Episode,0:21:26,CPTL,03/29/1982,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/Sdx_PGQ-tfk"", ""Link"")",Sdx_PGQ-tfk,Episode,0:22:02,CPTL,03/30/1982,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/JiINXmKu5UQ"", ""Link"")",JiINXmKu5UQ,Episode,0:18:55,CPTL,04/19/1982,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/rlkOBOsUohc"", ""Link"")",rlkOBOsUohc,Episode,0:22:23,CPTL,06/9/1982,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/Be36J7gKyV8"", ""Link"")",Be36J7gKyV8,Episode,0:28:43,CPTL,12/01/1982,A,,1,1,soapfoxkirby
"=HYPERLINK(""https://youtu.be/xgeS5a-mPtw"", ""Link"")",xgeS5a-mPtw,Episode,0:28:30,CPTL,12/01/1982,A,,1,1,soapfoxkirby
"=HYPERLINK(""https://youtu.be/XfIRURo2t5Y"", ""Link"")",XfIRURo2t5Y,Episode,0:28:21,CPTL,12/21/1982,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/xahBrKKaPHI"", ""Link"")",xahBrKKaPHI,Episode,0:05:13,CPTL,12/27/1982,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/6tYtz2I0t7w"", ""Link"")",6tYtz2I0t7w,Promo,0:00:23,CPTL,1/1/1983,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/I-l58jpFMyU"", ""Link"")",I-l58jpFMyU,Promo,0:00:21,CPTL,1/1/1983,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/tVzKz2S0EIw"", ""Link"")",tVzKz2S0EIw,Promo,0:00:21,CPTL,1/1/1983,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/a9eNEpwj7bQ"", ""Link"")",a9eNEpwj7bQ,Promo,0:00:12,CPTL,01/01/1983,B,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/JXMKcyEYNm8"", ""Link"")",JXMKcyEYNm8,Promo,0:00:16,CPTL,01/01/1983,B,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/7uzDLgLwgU8"", ""Link"")",7uzDLgLwgU8,Promo,0:00:21,CPTL,01/01/1983,B,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/tXjEkdqt88c"", ""Link"")",tXjEkdqt88c,Promo,0:00:21,CPTL,01/01/1983,B,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/8Pbk2onSzOk"", ""Link"")",8Pbk2onSzOk,Promo,0:00:22,CPTL,01/01/1983,B,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/cOWh5cCatw0"", ""Link"")",cOWh5cCatw0,Promo,0:00:22,CPTL,01/01/1983,B,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/EYNoK-8bie0"", ""Link"")",EYNoK-8bie0,Promo,0:00:22,CPTL,01/01/1983,B,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/9VUjoQH-F7s"", ""Link"")",9VUjoQH-F7s,Promo,0:00:22,CPTL,01/01/1983,B,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/hvlgXmZ_2tk"", ""Link"")",hvlgXmZ_2tk,Promo,0:00:23,CPTL,01/01/1983,B,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/3BbGOeiYf7I"", ""Link"")",3BbGOeiYf7I,Promo,0:00:23,CPTL,01/01/1983,B,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/r285lA8lDAQ"", ""Link"")",r285lA8lDAQ,Promo,0:00:23,CPTL,01/01/1983,B,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/Ensnq8bsCPo"", ""Link"")",Ensnq8bsCPo,Episode clip,0:00:42,CPTL,01/01/1983,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/0-UOXnpFBMk"", ""Link"")",0-UOXnpFBMk,Episode,0:15:32,CPTL,01/01/1983,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/_zXShiITyMQ"", ""Link"")",_zXShiITyMQ,Promos,0:06:02,CPTL,01/01/1983,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/CuxcyFFEDWo"", ""Link"")",CuxcyFFEDWo,Episode clip,0:07:25,CPTL,01/01/1983,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/YmxgnHkeJ6o"", ""Link"")",YmxgnHkeJ6o,Episode,0:14:57,CPTL,03/29/1983,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/sKDPHC38z_g"", ""Link"")",sKDPHC38z_g,Episode,0:23:36,CPTL,06/01/1983,A,,1,1,soapfoxkirby
"=HYPERLINK(""https://youtu.be/0IVVxUszmUY"", ""Link"")",0IVVxUszmUY,Episode,0:22:57,CPTL,07/01/1983,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/Q0RDd4aFs_A"", ""Link"")",Q0RDd4aFs_A,Episode content,0:08:51,CPTL,08/8/1983,A,,1,1,soapfoxkirby
"=HYPERLINK(""https://youtu.be/iWLR5_TZ9yQ"", ""Link"")",iWLR5_TZ9yQ,Episode,0:21:39,CPTL,11/11/1983,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/RSIt9t2CI_Y"", ""Link"")",RSIt9t2CI_Y,Episode,0:21:40,CPTL,11/17/1983,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/3oAjUyOXLkg"", ""Link"")",3oAjUyOXLkg,Episode,0:28:39,CPTL,12/7/1983,A,,1,1,soapfoxkirby
"=HYPERLINK(""https://youtu.be/Mn9vZv9-vnY"", ""Link"")",Mn9vZv9-vnY,Episode,0:28:16,CPTL,12/7/1983,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/ea1RqO9t6co"", ""Link"")",ea1RqO9t6co,Episode,0:28:36,CPTL,12/12/1983,A,,1,1,soapfoxkirby
"=HYPERLINK(""https://youtu.be/R5mWWAGy7aU"", ""Link"")",R5mWWAGy7aU,Episode,0:28:21,CPTL,12/12/1983,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/DWji_ijf6qk"", ""Link"")",DWji_ijf6qk,Promo,0:00:21,CPTL,1/1/1984,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/ElJY95w4_JM"", ""Link"")",ElJY95w4_JM,Promo,0:00:22,CPTL,01/01/1984,B,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/L1vL-2Nn6FY"", ""Link"")",L1vL-2Nn6FY,Promo,0:00:23,CPTL,01/01/1984,B,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/l2in5OucvZk"", ""Link"")",l2in5OucvZk,Promo,0:00:23,CPTL,01/01/1984,B,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/43G9dGB0PzQ"", ""Link"")",43G9dGB0PzQ,Wally and Brenda,1:26:13,CPTL,1/1/1984,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/AAB8-Nrs7sc"", ""Link"")",AAB8-Nrs7sc,Episode content,2:19:41,CPTL,01/01/1984,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/aXLYU-q36Mg"", ""Link"")",aXLYU-q36Mg,Episode,0:20:39,CPTL,01/01/1984,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/-MFRnf2IEjo"", ""Link"")",-MFRnf2IEjo,Episode,0:21:30,CPTL,01/01/1984,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/WMMdsPQvio0"", ""Link"")",WMMdsPQvio0,Episode,0:21:39,CPTL,01/01/1984,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/xyyCCcNRWlA"", ""Link"")",xyyCCcNRWlA,Episode,0:21:42,CPTL,01/01/1984,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/ufKZZYvrYso"", ""Link"")",ufKZZYvrYso,Episode content,0:44:17,CPTL,01/01/1984,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/DEHH7S2V_Wc"", ""Link"")",DEHH7S2V_Wc,Episode content,0:49:22,CPTL,01/01/1984,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/Jw6YEFXvac0"", ""Link"")",Jw6YEFXvac0,Episode content,0:10:37,CPTL,01/17/1984,A,,1,1,pannoni
"=HYPERLINK(""https://youtu.be/Ao0lg_u6VqM"", ""Link"")",Ao0lg_u6VqM,Episode,0:28:15,CPTL,05/30/1984,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/DMd0_JXl1C4"", ""Link"")",DMd0_JXl1C4,Sloane and Trey's wedding at the Jefferson Memorial,0:16:21,CPTL,6/1/1984,A,,1,1,soapfoxkirby
"=HYPERLINK(""https://youtu.be/DnumeeSkaas"", ""Link"")",DnumeeSkaas,Episode,0:28:14,CPTL,06/6/1984,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/JxfRcCdfH_w"", ""Link"")",JxfRcCdfH_w,Episode,0:28:16,CPTL,06/7/1984,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/ow4LaRnYxO4"", ""Link"")",ow4LaRnYxO4,Episode,0:29:42,CPTL,07/17/1984,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/VnZGl6egf4k"", ""Link"")",VnZGl6egf4k,"Episode - Billy Warlock, Paula, Sloane, Debrah Farentino",0:22:13,CPTL,07/31/1984,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/vg19K5YNce8"", ""Link"")",vg19K5YNce8,Episode,0:20:53,CPTL,10/1/1984,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/_v3m-9L7Kd4"", ""Link"")",_v3m-9L7Kd4,Episode,0:28:29,CPTL,10/31/1984,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/8CrbMUlFvX4"", ""Link"")",8CrbMUlFvX4,Episode,0:28:22,CPTL,11/1/1984,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/MQQBW_A-Jcc"", ""Link"")",MQQBW_A-Jcc,Episode,0:28:20,CPTL,11/2/1984,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/-5-Ac81OrL4"", ""Link"")",-5-Ac81OrL4,Episode,0:28:33,CPTL,11/13/1984,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/T-gmwDh2w4M"", ""Link"")",T-gmwDh2w4M,Episode,0:28:15,CPTL,11/19/1984,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/4R-xAEuLPm8"", ""Link"")",4R-xAEuLPm8,Episode,0:21:37,CPTL,11/21/1984,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/u2c0vbFeYVM"", ""Link"")",u2c0vbFeYVM,Episode - partial,0:07:51,CPTL,12/7/1984,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/5gF-mVcAidU"", ""Link"")",5gF-mVcAidU,Episode clip,0:04:11,CPTL,12/27/1984,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/AK0IzWsKvBU"", ""Link"")",AK0IzWsKvBU,Episode,0:11:50,CPTL,01/01/1985,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/PocXZG9KFhM"", ""Link"")",PocXZG9KFhM,Episode,0:24:55,CPTL,01/01/1985,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/vSdpz8yuvzc"", ""Link"")",vSdpz8yuvzc,Episode clip,0:03:19,CPTL,01/01/1985,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/hvfGO6yIgdU"", ""Link"")",hvfGO6yIgdU,Episode,0:32:10,CPTL,01/01/1985,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/9IVQQBYLfa4"", ""Link"")",9IVQQBYLfa4,Episode,0:35:11,CPTL,01/01/1985,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/UVklnYYgsyE"", ""Link"")",UVklnYYgsyE,Episode,0:21:56,CPTL,03/13/1985,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/DQQnRg3KvBU"", ""Link"")",DQQnRg3KvBU,Episode,0:19:16,CPTL,03/26/1985,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/FuD5Bm-kUuE"", ""Link"")",FuD5Bm-kUuE,Promo 1985,0:00:28,CPTL,06/01/1985,B,,1,1,bluerose8508
"=HYPERLINK(""https://youtu.be/nfvfWPeog7o"", ""Link"")",nfvfWPeog7o,Episode,0:27:51,CPTL,07/01/1985,A,,1,1,soapfoxkirby
"=HYPERLINK(""https://youtu.be/NKJt-7r6fyY"", ""Link"")",NKJt-7r6fyY,Episode,0:21:32,CPTL,07/4/1985,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/WdkF92QSYR8"", ""Link"")",WdkF92QSYR8,Episode,0:28:30,CPTL,10/31/1985,A,,1,1,soapfoxkirby
"=HYPERLINK(""https://youtu.be/7lUnQn4B7Rw"", ""Link"")",7lUnQn4B7Rw,Episode,0:23:03,CPTL,11/12/1985,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/-QO3NM_itiY"", ""Link"")",-QO3NM_itiY,Episode,0:22:07,CPTL,12/11/1985,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/CGPxA24V-os"", ""Link"")",CGPxA24V-os,Promo,0:00:21,CPTL,1/1/1986,B,,1,1,chuckd79
