YouTube link,id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/b5b-qjvb42A"", ""Link"")",b5b-qjvb42A,Who Shot Alex Marshall?,0:00:21,DAYS,01/01/1981,B,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/67I_mvXlRwc"", ""Link"")",67I_mvXlRwc,Closing,0:01:20,DAYS,1/1/1981,B,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/Auy3NyuJyQ0"", ""Link"")",Auy3NyuJyQ0,Promo - When Tony DiMera Blackmailed Liz,0:00:21,DAYS,1/1/1981,B,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/tpv3XangbU8"", ""Link"")",tpv3XangbU8,Promo - Dr. Marlena Evans Hosts Radio Advice Show,0:00:21,DAYS,1/1/1981,B,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/qL1S-e89ezc"", ""Link"")",qL1S-e89ezc,Promo,0:00:21,DAYS,1/1/1981,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/ITR-vwApfl4"", ""Link"")",ITR-vwApfl4,Marlena Finds Out Sam is Dead,0:01:15,DAYS,01/01/1982,A,,1,1,doolflashbacks8309
"=HYPERLINK(""https://youtu.be/DJveoqGVDPM"", ""Link"")",DJveoqGVDPM,Jack Coleman,0:00:42,DAYS,01/01/1982,B,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/km1Ru-4aFTg"", ""Link"")",km1Ru-4aFTg,Renee Dumond and Salem Strangler,0:00:21,DAYS,01/01/1982,B,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/23fCa4bNeY0"", ""Link"")",23fCa4bNeY0,Salem Strangler Promo,0:00:40,DAYS,01/01/1982,B,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/BQL6QYH-L2c"", ""Link"")",BQL6QYH-L2c,Brenda Benet Promo,0:01:00,DAYS,01/01/1982,B,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/0xKpyLwr874"", ""Link"")",0xKpyLwr874,Marie Horton and Mary Anderson Catfight Promo,0:00:21,DAYS,01/01/1982,B,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/u2EqFMKDyiY"", ""Link"")",u2EqFMKDyiY,David Banning Falsely Accused Of Murder Promo,0:01:00,DAYS,01/01/1982,B,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/sDy3fZFJ3As"", ""Link"")",sDy3fZFJ3As,Roman and Marlena + Salem Strangler Promo,0:01:37,DAYS,01/01/1982,B,,1,1,fyi9476
