link,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/XBC3nXseT3w"", ""Link"")",Promo,0:41,DAYS,1/1/2000,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/9s5ojBMJYho"", ""Link"")","""Jennifer's Return"" Promo",0:11,DAYS,10/1/2000,B,,1,1,hazeleyes8965
"=HYPERLINK(""https://youtu.be/Rq1XQU3Mzgc"", ""Link"")",Jack/Jennifer/Greta Promo #1,0:21,DAYS,1/1/2001,B,,1,1,hazeleyes8965
"=HYPERLINK(""https://youtu.be/GhAnLpM9noo"", ""Link"")",Promo,0:21,DAYS,1/1/2002,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/H1oJTc655rY"", ""Link"")",Days Jack/Jennifer/Greta Promo #2,0:21,DAYS,01/1/2002,B,,1,1,hazeleyes8965
"=HYPERLINK(""https://youtu.be/XWGTVPQRb5w"", ""Link"")",Jack/Jennifer/Billie promo,0:20,DAYS,08/1/2002,B,,1,1,hazeleyes8965
"=HYPERLINK(""https://youtu.be/__qQG-qaXSw"", ""Link"")",Jill tries to stop wedding,1:11,DAYS,01/01/2003,A,,1,1,bartko80
"=HYPERLINK(""https://youtu.be/WnOYaWiVFjs"", ""Link"")",Retro Promo: Adam Sandler Mondays,0:21,DAYS,06/01/2003,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/xhSHjLWSqFA"", ""Link"")",Jack and Jennifer Soapnet Promos,1:32,DAYS,01/1/2004,B,,1,1,hazeleyes8965
"=HYPERLINK(""https://youtu.be/j6zVo9xImVA"", ""Link"")",Opening,0:17,DAYS,6/1/2009,B,,1,1,ryanshope3316
"=HYPERLINK(""https://youtu.be/o1W17a20jVM"", ""Link"")",Opening with Olympics logo,0:17,DAYS,9/1/2009,B,,1,1,ryanshope3316
