link,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/yvtQn1-Q57w"", ""Link"")",Paul Michael Glaser's Debut,01:49,DCTR,12/01/1967,A,,1,1,stybz
"=HYPERLINK(""https://youtu.be/bOZY_a_4z5c"", ""Link"")",Promo,0:29,DCTR,3/1/1968,B,,1,1,retronewfoundland
"=HYPERLINK(""https://youtu.be/H6tUw2xqgn0"", ""Link"")",Promo,0:35,DCTR,10/13/1969,B,,1,1,retronewfoundland
"=HYPERLINK(""https://youtu.be/S_I5sxa79pk"", ""Link"")",Anna Stuart,10:06,DCTR,02/08/1971,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/KWNsylOE1aI"", ""Link"")",Don Imus,6:17,DCTR,01/01/1974,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/gzX7gwRDEd4"", ""Link"")",Julia Duffy,11:23,DCTR,01/01/1975,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/a0A_2W-ThO8"", ""Link"")",Ted Danson,05:23,DCTR,01/01/1975,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/9ExLm1rNekM"", ""Link"")",Armand Assante and Gil Gerard on The Doctors,6:30,DCTR,6/1/1975,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/EMarktOaOQc"", ""Link"")",Jonathan Frakes,06:02,DCTR,01/01/1977,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/LQCOAFd_FRI"", ""Link"")",Mercedes Ruehl,06:06,DCTR,01/01/1977,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/sUYpzS3FT3I"", ""Link"")",Jonathan Frakes has a Bad Dream,1:38,DCTR,1/1/1977,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/8hr0jKlhJoM"", ""Link"")",Olympia Dukakis,04:34,DCTR,01/01/1978,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/s0EBWg9WKoI"", ""Link"")",Elaine Lee and Kathleen Turner,23:11,DCTR,01/01/1979,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/sIgAWQrsE3s"", ""Link"")",Patricia Richardson on The Doctors,1:10,DCTR,6/1/1979,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/6hifX1JGQRo"", ""Link"")",Katherine Glass Appreciation Video,6:37,DCTR,6/1/1979,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/hJ7vZ3UjLR0"", ""Link"")",Opening Theme,00:30,DCTR,01/01/1980,B,,1,1,garrett
"=HYPERLINK(""https://youtu.be/5qpOd8SYY4s"", ""Link"")",Alec Baldwin,2:34,DCTR,01/01/1981,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/uc-1g7lMfPU"", ""Link"")",Alec Baldwin promos,02:28,DCTR,01/01/1981,B,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/vk3dG9uZ6Z0"", ""Link"")",Promo - Luke Dancy Life Hangs In The Balance,0:21,DCTR,1/1/1981,B,,1,1,fyi
"=HYPERLINK(""https://youtu.be/V26fzZfqhTQ"", ""Link"")",Terry O'Quinn on The Doctors,5:02,DCTR,6/1/1981,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/_HIfdQ0dhDE"", ""Link"")",Jane Badler,01:20,DCTR,01/01/1982,B,,1,1,theystartedonsoaps
