link,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/U33LpdNdtBY"", ""Link"")",Episode,28:49,EDGE,01/01/1955,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/tG_4vXX94k0"", ""Link"")",Episode,28:49,EDGE,01/01/1955,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/vD_AdCtUu9o"", ""Link"")",Fifties episode,28:49,EDGE,01/01/1956,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/YbsKWSo1tMo"", ""Link"")",1956 closing theme,01:58,EDGE,01/01/1956,B,,1,1,thez58
"=HYPERLINK(""https://youtu.be/hDBBqy0LECA"", ""Link"")",MONTICELLO DAY 2,22:52,EDGE,04/03/1956,A,,1,1,thez58
"=HYPERLINK(""https://youtu.be/vi2DTT04_1Y"", ""Link"")",Peter Dalton's tin box story,20:01,EDGE,01/01/1958,A,,1,1,thez58
"=HYPERLINK(""https://youtu.be/KsPlT2AXxvs"", ""Link"")",Episode,20:03,EDGE,10/16/1958,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/-Xlny-0kziA"", ""Link"")",Edge of Night,20:03,EDGE,10/16/1958,A,,1,1,edwynnsanchez
"=HYPERLINK(""https://youtu.be/Bh3I74p1qbQ"", ""Link"")",Episode,20:03,EDGE,10/16/1958,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/WcQOr0vFOBY"", ""Link"")",Edge of Night,28:22,EDGE,11/01/1959,A,,1,1,edwynnsanchez
"=HYPERLINK(""https://youtu.be/A1wyTAGoisk"", ""Link"")",NABISCO WHEAT and RICE HONEYS,01:48,EDGE,01/01/1960,B,,1,1,thez58
"=HYPERLINK(""https://youtu.be/ZfXYtHHhLKY"", ""Link"")",Intro and closing themes - Paul Taubman ,0:49,EDGE,01/01/1960,B,,1,1,thez58
"=HYPERLINK(""https://youtu.be/AdxNAQf8JMA"", ""Link"")",Episode #15,1:57,EDGE,01/01/1961,A,,1,1,thez58
"=HYPERLINK(""https://youtu.be/eCEDJVM3uR4"", ""Link"")",Episode #48,10:41,EDGE,01/01/1961,A,,1,1,thez58
"=HYPERLINK(""https://youtu.be/BsMF4W3n-eI"", ""Link"")",Episode #30,10:10,EDGE,01/01/1961,A,,1,1,thez58
"=HYPERLINK(""https://youtu.be/-chzTjn5Vog"", ""Link"")",The Death of Sarah Karr,23:23,EDGE,01/01/1961,A,,1,1,thez58
"=HYPERLINK(""https://youtu.be/1o_QileChJc"", ""Link"")",Episode #51,10:47,EDGE,01/01/1964,A,,1,1,thez58
"=HYPERLINK(""https://youtu.be/b5EF2hM8bMY"", ""Link"")",Episode,28:27,EDGE,01/01/1964,A,,1,1,moviecraft
"=HYPERLINK(""https://youtu.be/BT8cQwRFZP0"", ""Link"")",Claybank,01:50,EDGE,01/01/1966,A,,1,1,thez58
"=HYPERLINK(""https://youtu.be/s_AN5tYQSRY"", ""Link"")",ORIN and LAURA,7:28,EDGE,02/15/1966,A,,1,1,thez58
"=HYPERLINK(""https://youtu.be/p2oytoiAdIk"", ""Link"")",Closing credits,01:55,EDGE,04/16/1966,B,,1,1,robwargo
