YouTube link,id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/uxZKXstMgok"", ""Link"")",uxZKXstMgok,Raven Scares Molly to Death,0:02:46,EDGE,01/01/1980,A,,1,1,rhsharp
"=HYPERLINK(""https://youtu.be/CF7WtbTZOf0"", ""Link"")",CF7WtbTZOf0,Episode #5,0:10:01,EDGE,01/01/1980,A,,1,1,thez58
"=HYPERLINK(""https://youtu.be/NunNpV2gL9g"", ""Link"")",NunNpV2gL9g,Episode #12,0:10:07,EDGE,01/01/1980,A,,1,1,thez58
"=HYPERLINK(""https://youtu.be/YmV9GqHbe4s"", ""Link"")",YmV9GqHbe4s,THE TRAIN WRECK,0:15:30,EDGE,01/01/1980,A,,1,1,thez58
"=HYPERLINK(""https://youtu.be/7VED-6QoXSs"", ""Link"")",7VED-6QoXSs,TIED UP AND GAGGED,0:11:12,EDGE,01/01/1980,A,,1,1,thez58
"=HYPERLINK(""https://youtu.be/X_n7cWlGZkI"", ""Link"")",X_n7cWlGZkI,EOpening Theme,0:00:38,EDGE,01/01/1980,B,,1,1,wedge8874
"=HYPERLINK(""https://youtu.be/xFRK02RiGt8"", ""Link"")",xFRK02RiGt8,Kim Hunter On Edge Of Night,0:28:54,EDGE,01/01/1980,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/8-jwmPIJoWs"", ""Link"")",8-jwmPIJoWs,Closing,0:01:17,EDGE,1/1/1980,B,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/vMKyPaHYvDU"", ""Link"")",vMKyPaHYvDU,Cliff Nelson Shirtless,0:00:42,EDGE,1/1/1980,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/O7JdjrhCtik"", ""Link"")",O7JdjrhCtik,Closing,0:01:32,EDGE,1/1/1980,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/PEIMjq0Srl0"", ""Link"")",PEIMjq0Srl0,Closing,0:02:20,EDGE,6/16/1980,B,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/oHlgRHDzTws"", ""Link"")",oHlgRHDzTws,Opening,0:00:47,EDGE,6/16/1980,B,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/c12xhXdMPSU"", ""Link"")",c12xhXdMPSU,Closing,0:01:19,EDGE,6/24/1980,B,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/xwBtp6_BwKw"", ""Link"")",xwBtp6_BwKw,Closing,0:01:26,EDGE,8/25/1980,B,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/twT8wgn2H4U"", ""Link"")",twT8wgn2H4U,Episode,0:25:16,EDGE,12/01/1980,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/tIFAeTN_G9w"", ""Link"")",tIFAeTN_G9w,Episode,0:21:33,EDGE,12/02/1980,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/WbxCqr0e5aA"", ""Link"")",WbxCqr0e5aA,Episode content,0:12:33,EDGE,12/03/1980,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/stCAfuIY0jo"", ""Link"")",stCAfuIY0jo,Episode content,0:18:09,EDGE,12/04/1980,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/Bfri9IhwHWk"", ""Link"")",Bfri9IhwHWk,Episode,0:20:47,EDGE,12/05/1980,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/xO0Mk2iqEzQ"", ""Link"")",xO0Mk2iqEzQ,Episode,0:21:44,EDGE,12/08/1980,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/2mKgsl5HNUY"", ""Link"")",2mKgsl5HNUY,Episode,0:21:18,EDGE,12/09/1980,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/QlXKE2pu6RY"", ""Link"")",QlXKE2pu6RY,Episode,0:21:16,EDGE,12/10/1980,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/McqUdTNxQWY"", ""Link"")",McqUdTNxQWY,Episode content,0:18:28,EDGE,12/11/1980,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/SthVf6Sl1E4"", ""Link"")",SthVf6Sl1E4,Episode,0:21:10,EDGE,12/12/1980,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/avPPZ1yjWU0"", ""Link"")",avPPZ1yjWU0,Episode,0:22:10,EDGE,12/15/1980,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/6rZcd7Wk2OY"", ""Link"")",6rZcd7Wk2OY,Episode #6,0:09:20,EDGE,01/01/1981,A,,1,1,thez58
"=HYPERLINK(""https://youtu.be/YmYEDkvcD7M"", ""Link"")",YmYEDkvcD7M,Episode #17,0:07:39,EDGE,01/01/1981,A,,1,1,thez58
"=HYPERLINK(""https://youtu.be/O9jKrsR1eqQ"", ""Link"")",O9jKrsR1eqQ,Episode #58,0:05:39,EDGE,01/01/1981,A,,1,1,thez58
"=HYPERLINK(""https://youtu.be/ZQItQO0fuTs"", ""Link"")",ZQItQO0fuTs,"Act 4A, Edge of Night 1981",0:03:14,EDGE,01/01/1981,A,,1,1,thez58
"=HYPERLINK(""https://youtu.be/Yc4linb1sAo"", ""Link"")",Yc4linb1sAo,"Act 4B, Edge of Night 1981",0:02:32,EDGE,01/01/1981,A,,1,1,thez58
"=HYPERLINK(""https://youtu.be/W2Vnv8IInkE"", ""Link"")",W2Vnv8IInkE,"Act 5, Edge of Night 1981",0:02:31,EDGE,01/01/1981,A,,1,1,thez58
"=HYPERLINK(""https://youtu.be/_CcCtQ7McIM"", ""Link"")",_CcCtQ7McIM,Holland Taylor On Edge Of Night,0:01:07,EDGE,01/01/1981,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/9OMqHy4cPzs"", ""Link"")",9OMqHy4cPzs,Opening credits early 80s,0:00:37,EDGE,01/01/1981,B,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/GaGk13tr_ss"", ""Link"")",GaGk13tr_ss,Episodes,0:21:51,EDGE,01/12/1981,A,P_ef313c87,1,9,theedgeofnightman
"=HYPERLINK(""https://youtu.be/seZnPZMLv78"", ""Link"")",seZnPZMLv78,Episodes,0:22:03,EDGE,01/12/1981,A,P_ef313c87,2,9,theedgeofnightman
"=HYPERLINK(""https://youtu.be/VJbQ5BJVXfc"", ""Link"")",VJbQ5BJVXfc,Episodes,0:21:26,EDGE,01/12/1981,A,P_ef313c87,3,9,theedgeofnightman
"=HYPERLINK(""https://youtu.be/Pwgr4T2epCQ"", ""Link"")",Pwgr4T2epCQ,Episodes,0:21:53,EDGE,01/12/1981,A,P_ef313c87,4,9,theedgeofnightman
"=HYPERLINK(""https://youtu.be/90NM5NhUhF0"", ""Link"")",90NM5NhUhF0,Episodes,0:21:54,EDGE,01/12/1981,A,P_ef313c87,5,9,theedgeofnightman
"=HYPERLINK(""https://youtu.be/mBvYQm0deSk"", ""Link"")",mBvYQm0deSk,Episodes,0:21:50,EDGE,01/12/1981,A,P_ef313c87,6,9,theedgeofnightman
"=HYPERLINK(""https://youtu.be/KsDJpxfNH1A"", ""Link"")",KsDJpxfNH1A,Episodes,0:21:50,EDGE,01/12/1981,A,P_ef313c87,7,9,theedgeofnightman
"=HYPERLINK(""https://youtu.be/bIuG6mPn0CA"", ""Link"")",bIuG6mPn0CA,Episodes,0:28:09,EDGE,01/12/1981,A,P_ef313c87,8,9,theedgeofnightman
"=HYPERLINK(""https://youtu.be/GLPq_zDbnJw"", ""Link"")",GLPq_zDbnJw,Episodes,0:17:08,EDGE,01/12/1981,A,P_ef313c87,9,9,theedgeofnightman
"=HYPERLINK(""https://youtu.be/-2p3SyhfKjc"", ""Link"")",-2p3SyhfKjc,Episode,0:20:41,EDGE,02/01/1981,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/WtOzN8plgVE"", ""Link"")",WtOzN8plgVE,Episode,0:21:47,EDGE,02/17/1981,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/JruHKQ9o95o"", ""Link"")",JruHKQ9o95o,Episode,0:21:22,EDGE,03/20/1981,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/lCFEqTWlXTI"", ""Link"")",lCFEqTWlXTI,Nancy Karr is Missing,0:22:05,EDGE,05/01/1981,A,P_a1d2184b,1,3,rhsharp
"=HYPERLINK(""https://youtu.be/bsapCIrENeQ"", ""Link"")",bsapCIrENeQ,Nancy Karr is Missing,0:22:00,EDGE,05/01/1981,A,P_a1d2184b,2,3,rhsharp
"=HYPERLINK(""https://youtu.be/U6155G4u56E"", ""Link"")",U6155G4u56E,Nancy Karr is Missing,0:21:20,EDGE,05/01/1981,A,P_a1d2184b,3,3,rhsharp
"=HYPERLINK(""https://youtu.be/Kb8UH1z96wc"", ""Link"")",Kb8UH1z96wc,Kate Capshaw on Edge Of Night,0:03:58,EDGE,6/1/1981,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/DX7P0aQUEc0"", ""Link"")",DX7P0aQUEc0,Bebe Neuwirth on Edge Of Night,0:01:29,EDGE,6/1/1981,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/dtR_pnauA-s"", ""Link"")",dtR_pnauA-s,Rexford Clinic,0:56:24,EDGE,6/1/1981,A,P_3812dc79,1,9,rhsharp
"=HYPERLINK(""https://youtu.be/ufL-B9HvlJM"", ""Link"")",ufL-B9HvlJM,Rexford Clinic,0:59:30,EDGE,6/1/1981,A,P_3812dc79,2,9,rhsharp
"=HYPERLINK(""https://youtu.be/N79_KfFIN8A"", ""Link"")",N79_KfFIN8A,Rexford Clinic,0:57:07,EDGE,6/1/1981,A,P_3812dc79,3,9,rhsharp
"=HYPERLINK(""https://youtu.be/pkpoQJKS6P0"", ""Link"")",pkpoQJKS6P0,Rexford Clinic,0:57:10,EDGE,6/1/1981,A,P_3812dc79,4,9,rhsharp
"=HYPERLINK(""https://youtu.be/-8A7H42cnV8"", ""Link"")",-8A7H42cnV8,Rexford Clinic,0:57:46,EDGE,6/1/1981,A,P_3812dc79,5,9,rhsharp
"=HYPERLINK(""https://youtu.be/u2HTioKABOc"", ""Link"")",u2HTioKABOc,Rexford Clinic,0:56:50,EDGE,6/1/1981,A,P_3812dc79,6,9,rhsharp
"=HYPERLINK(""https://youtu.be/eyANabiaWf4"", ""Link"")",eyANabiaWf4,Rexford Clinic,0:58:53,EDGE,6/1/1981,A,P_3812dc79,7,9,rhsharp
"=HYPERLINK(""https://youtu.be/wy6LkoAl_1w"", ""Link"")",wy6LkoAl_1w,Rexford Clinic,0:56:56,EDGE,6/1/1981,A,P_3812dc79,8,9,rhsharp
"=HYPERLINK(""https://youtu.be/ckwycVKUf8w"", ""Link"")",ckwycVKUf8w,Rexford Clinic,0:42:48,EDGE,6/1/1981,A,P_3812dc79,9,9,rhsharp
"=HYPERLINK(""https://youtu.be/1pPdBA-TaX0"", ""Link"")",1pPdBA-TaX0,Episode,0:21:43,EDGE,06/08/1981,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/rgCaeLw8-68"", ""Link"")",rgCaeLw8-68,Episode,0:21:50,EDGE,06/09/1981,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/H3AZIsEVlSc"", ""Link"")",H3AZIsEVlSc,Episode,0:21:44,EDGE,06/10/1981,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/i9zLJJHnFAo"", ""Link"")",i9zLJJHnFAo,Episode,0:21:47,EDGE,06/11/1981,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/yuEV__Cm-ZQ"", ""Link"")",yuEV__Cm-ZQ,Episode,0:21:42,EDGE,06/12/1981,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/GWz8wph6cec"", ""Link"")",GWz8wph6cec,Episode,0:21:40,EDGE,06/15/1981,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/MadED6fDTEY"", ""Link"")",MadED6fDTEY,Episode,0:21:27,EDGE,06/16/1981,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/TdbmkxpjbIQ"", ""Link"")",TdbmkxpjbIQ,Episode,0:21:37,EDGE,06/17/1981,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/oomkPBpmNGA"", ""Link"")",oomkPBpmNGA,Episode,0:21:32,EDGE,06/18/1981,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/zypFNQT0edw"", ""Link"")",zypFNQT0edw,Episode,0:20:18,EDGE,06/19/1981,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/q4Mc4c-DhgE"", ""Link"")",q4Mc4c-DhgE,Episode,0:21:34,EDGE,06/22/1981,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/s1A94AC3peI"", ""Link"")",s1A94AC3peI,Episode,0:21:33,EDGE,06/23/1981,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/S4cHFcrKvUY"", ""Link"")",S4cHFcrKvUY,Episode,0:21:38,EDGE,06/24/1981,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/MyHhw6X70Lg"", ""Link"")",MyHhw6X70Lg,Episode,0:20:20,EDGE,06/25/1981,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/WImRwO7pQjg"", ""Link"")",WImRwO7pQjg,Episode,0:20:07,EDGE,06/26/1981,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/oQmqmb6-FmY"", ""Link"")",oQmqmb6-FmY,Episode,0:21:28,EDGE,06/29/1981,A,,1,1,theedgeofnightman
