id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/zzOR76H4BGQ"", ""Link"")",1980 Daytime Emmy Awards,14:48,EMMY,06/04/1980,A,P_3423eddc,1,2,donna515
"=HYPERLINK(""https://youtu.be/pj8wwqgmdBo"", ""Link"")",1981 Daytime Emmy Awards - Best actor/actress,6:09,EMMY,5/19/1981,A,,1,1,donna515
"=HYPERLINK(""https://youtu.be/yIhmepY_1QM"", ""Link"")",1981 Daytime Emmy Awards - Best supporting actor/actress,5:50,EMMY,5/19/1981,A,,1,1,donna515
"=HYPERLINK(""https://youtu.be/0k-3jteB0XM"", ""Link"")",1981 Daytime Emmy Awards - Opening,3:46,EMMY,5/19/1981,A,,1,1,donna515
"=HYPERLINK(""https://youtu.be/PuJP7LZfzbM"", ""Link"")",1981 Daytime Emmy Awards - Best director,5:07,EMMY,5/19/1981,A,,1,1,donna515
"=HYPERLINK(""https://youtu.be/ukt3Q9lqCJo"", ""Link"")",1981 Daytime Emmy Awards - Best series,7:27,EMMY,5/19/1981,A,,1,1,donna515
"=HYPERLINK(""https://youtu.be/YaIavruefVE"", ""Link"")",1981 Daytime Emmy Awards - Best writing,9:00,EMMY,5/19/1981,A,,1,1,donna515
"=HYPERLINK(""https://youtu.be/KGPJnELX5Fg"", ""Link"")",1981 Daytime Emmy Awards,6:44,EMMY,06/03/1981,A,P_3423eddc,2,2,donna515
"=HYPERLINK(""https://youtu.be/zIHvaE2CKy0"", ""Link"")",Daytime Emmys Promo,1:45,EMMY,01/01/1983,A,,1,1,hamiltonbernique
"=HYPERLINK(""https://youtu.be/qlcHu1YuVNY"", ""Link"")",Promo - When ABC Swept Daytime Emmys,0:20,EMMY,6/1/1983,B,,1,1,fyi
"=HYPERLINK(""https://youtu.be/2enyE5zIpxs"", ""Link"")",Erika Slezak - One Life to Live Daytime Emmy Reel,16:56,EMMY,6/27/1984,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/MN3lwkUFDmE"", ""Link"")",Erika Slezak Wins Lead Actress,03:17,EMMY,06/17/1986,A,,1,1,obsessedjarlenafan
"=HYPERLINK(""https://youtu.be/GWDwHq1Blo8"", ""Link"")",Michael Knight Younger Actor,02:43,EMMY,06/17/1986,A,,1,1,obsessedjarlenafan
"=HYPERLINK(""https://youtu.be/hTE58xE1Spk"", ""Link"")",Deidre Hall and Drake Hogestyn,7:19,EMMY,07/17/1986,A,,1,1,obsessedjarlenafan
"=HYPERLINK(""https://youtu.be/chDIsg_SdBc"", ""Link"")",Erika Slezak - One Life to Live Daytime Emmy Reel,27:17,EMMY,7/17/1986,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/COz11Cf9bKg"", ""Link"")",1986 Daytime Emmy Awards 1986 Santa Barbara Stars,26:55,EMMY,7/17/1986,A,,1,1,kellycapwellrobinwright
"=HYPERLINK(""https://youtu.be/cElbupjNsqA"", ""Link"")",Marcy WALKER and A MARTINEZ,2:37,EMMY,09/21/1986,A,,1,1,candyeden
"=HYPERLINK(""https://youtu.be/yAW7giblYmU"", ""Link"")",Santa Barbara,14:42,EMMY,06/30/1987,A,,1,1,kellycapwellrobinwright
"=HYPERLINK(""https://youtu.be/vAIG7BlY9O0"", ""Link"")",15th Annual Emmys Excerpts,53:48,EMMY,01/01/1988,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/ZOzPRZO2u0c"", ""Link"")",Julianne Moore Daytime Emmy,28:01,EMMY,05/15/1988,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/nCYP-qhkjrk"", ""Link"")",Helen Gallagher Daytime Emmy Reel,09:14,EMMY,05/15/1988,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/__c6493dHKI"", ""Link"")",15th Annual  Daytime Emmys,53:48,EMMY,5/31/1988,,,1,1,bluerose8508
"=HYPERLINK(""https://youtu.be/e7oTQgOfTvs"", ""Link"")",Justin Deas - Santa Barbara Daytime Emmy Reel,9:55,EMMY,5/31/1988,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/gFqvZaGFLco"", ""Link"")",1988 Daytime Emmy Awards 1988 Santa Barbara Stars,17:00,EMMY,6/29/1988,A,,1,1,kellycapwellrobinwright
"=HYPERLINK(""https://youtu.be/jfa08LWwuMk"", ""Link"")",David Canary Emmy Promo,1:00,EMMY,01/01/1989,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/1vmRF96psFg"", ""Link"")",Santa Barbara creator Bridget Dobson accept best series,2:32,EMMY,6/2/1989,A,,1,1,kellycapwellrobinwright
"=HYPERLINK(""https://youtu.be/BJUmj_g9cuY"", ""Link"")",1989 Daytime Emmy Awards,59:17,EMMY,06/29/1989,A,,1,1,bluerose8508
"=HYPERLINK(""https://youtu.be/Az8I9_FT1-c"", ""Link"")",Marcy Walker Outstanding actress Emmy,02:49,EMMY,09/17/1989,A,,1,1,candyeden
"=HYPERLINK(""https://youtu.be/wwdoWasYYb0"", ""Link"")",Emmy Promo for Julia Barr,00:31,EMMY,01/01/1990,B,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/WZYZ98OYFKM"", ""Link"")",17th Daytime Emmy Awards,15:56,EMMY,01/01/1990,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/4ZI2jf8wpWI"", ""Link"")",A Martinez - Santa Barbara Daytime Emmy Reel,31:28,EMMY,6/1/1990,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/66DI3gSUhzE"", ""Link"")",Cady McClain Daytime Emmy Reel,25:10,EMMY,06/28/1990,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/7Ipvo-VczJg"", ""Link"")",Kim Zimmer Daytime Emmy Reel,26:54,EMMY,06/28/1990,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/1j5DAuFeU4I"", ""Link"")",Julia Barr Daytime Emmy Reel,27:58,EMMY,06/28/1990,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/VJIcFO0M6QY"", ""Link"")",17th Daytime Emmy Awards,02:04:08,EMMY,06/28/1990,A,,1,1,jsclassictv
"=HYPERLINK(""https://youtu.be/OS-AtDSRQOs"", ""Link"")",A Martinez Outstanding actor Emmy,02:38,EMMY,09/16/1990,A,,1,1,candyeden
"=HYPERLINK(""https://youtu.be/N1nL4WbK1aI"", ""Link"")",1991 Daytime Emmy Awards,03:35,EMMY,01/01/1991,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/pVeJoTXcNEU"", ""Link"")",Maureen Garrett Emmy Reel,29:31,EMMY,01/01/1991,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/DPofGtM0roU"", ""Link"")",Anne Hech Daytime Emmy Reel,20:40,EMMY,06/22/1991,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/ToZBkOS3q0A"", ""Link"")",Finola Hughes Daytime Emmy Reel,10:21,EMMY,06/22/1991,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/oU0iThRtDgo"", ""Link"")",Jess Walton Daytime Emmy Win,02:53,EMMY,06/22/1991,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/CU-vLGgd0ag"", ""Link"")",Jess Walton - Young and the Restless Daytime Emmy Reel,10:39,EMMY,6/22/1991,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/i36-rh2BrlQ"", ""Link"")",Daytime Emmys Outstanding Drama Series Directing Team,2:48,EMMY,6/6/1992,A,,1,1,veggieburgermeister
"=HYPERLINK(""https://youtu.be/cq5b_F8kVKQ"", ""Link"")",Elizabeth Hubbard - As the World Turns Daytime Emmy Reel,4:59,EMMY,6/23/1992,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/VBcIVHbrPm0"", ""Link"")",Tricia Cast - Young and the Restless Daytime Emmy Reel,34:01,EMMY,6/23/1992,A,,1,1,fyi
