YouTube link,id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/wwdoWasYYb0"", ""Link"")",wwdoWasYYb0,Emmy Promo for Julia Barr,0:00:31,EMMY,01/01/1990,B,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/WZYZ98OYFKM"", ""Link"")",WZYZ98OYFKM,17th Daytime Emmy Awards,0:15:56,EMMY,01/01/1990,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/4ZI2jf8wpWI"", ""Link"")",4ZI2jf8wpWI,A Martinez - Santa Barbara Daytime Emmy Reel,0:31:28,EMMY,6/1/1990,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/66DI3gSUhzE"", ""Link"")",66DI3gSUhzE,Cady McClain Daytime Emmy Reel,0:25:10,EMMY,06/28/1990,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/7Ipvo-VczJg"", ""Link"")",7Ipvo-VczJg,Kim Zimmer Daytime Emmy Reel,0:26:54,EMMY,06/28/1990,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/1j5DAuFeU4I"", ""Link"")",1j5DAuFeU4I,Julia Barr Daytime Emmy Reel,0:27:58,EMMY,06/28/1990,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/VJIcFO0M6QY"", ""Link"")",VJIcFO0M6QY,17th Daytime Emmy Awards,2:04:08,EMMY,06/28/1990,A,,1,1,jsclassictv
"=HYPERLINK(""https://youtu.be/OS-AtDSRQOs"", ""Link"")",OS-AtDSRQOs,A Martinez Outstanding actor Emmy,0:02:38,EMMY,09/16/1990,A,,1,1,candyedenlovescruz
"=HYPERLINK(""https://youtu.be/N1nL4WbK1aI"", ""Link"")",N1nL4WbK1aI,1991 Daytime Emmy Awards,0:03:35,EMMY,01/01/1991,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/pVeJoTXcNEU"", ""Link"")",pVeJoTXcNEU,Maureen Garrett Emmy Reel,0:29:31,EMMY,01/01/1991,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/DPofGtM0roU"", ""Link"")",DPofGtM0roU,Anne Hech Daytime Emmy Reel,0:20:40,EMMY,06/22/1991,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/ToZBkOS3q0A"", ""Link"")",ToZBkOS3q0A,Finola Hughes Daytime Emmy Reel,0:10:21,EMMY,06/22/1991,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/oU0iThRtDgo"", ""Link"")",oU0iThRtDgo,Jess Walton Daytime Emmy Win,0:02:53,EMMY,06/22/1991,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/CU-vLGgd0ag"", ""Link"")",CU-vLGgd0ag,Jess Walton - Young and the Restless Daytime Emmy Reel,0:10:39,EMMY,6/22/1991,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/i36-rh2BrlQ"", ""Link"")",i36-rh2BrlQ,Daytime Emmys Outstanding Drama Series Directing Team,0:02:48,EMMY,6/6/1992,A,,1,1,veggieburgermeister
"=HYPERLINK(""https://youtu.be/cq5b_F8kVKQ"", ""Link"")",cq5b_F8kVKQ,Elizabeth Hubbard - As the World Turns Daytime Emmy Reel,0:04:59,EMMY,6/23/1992,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/VBcIVHbrPm0"", ""Link"")",VBcIVHbrPm0,Tricia Cast - Young and the Restless Daytime Emmy Reel,0:34:01,EMMY,6/23/1992,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/tCJsi4S2CpU"", ""Link"")",tCJsi4S2CpU,Thom Christopher - One LIfe to Live Daytime Emmy Reel,0:12:04,EMMY,6/23/1992,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/VJ_nhqw4B10"", ""Link"")",VJ_nhqw4B10,Maeve Kinkead Emmy Reel,0:11:33,EMMY,08/30/1992,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/TJcSThDEUAQ"", ""Link"")",TJcSThDEUAQ,Erika Slezak Daytime Emmy Reel,0:20:20,EMMY,08/30/1992,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/ttyOgR9Uv8I"", ""Link"")",ttyOgR9Uv8I,Emmy Coverage - BTS,0:07:48,EMMY,01/01/1993,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/K9kZJ6ZIa_A"", ""Link"")",K9kZJ6ZIa_A,Linda Dano Daytime Emmy Reel,0:18:06,EMMY,05/26/1993,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/RMIn2YSwSD4"", ""Link"")",RMIn2YSwSD4,Ellen Parker Daytime Emmy Reel,0:17:07,EMMY,05/26/1993,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/oNBGtYN_vis"", ""Link"")",oNBGtYN_vis,Emmy Awards Outstanding Lead Actress Linda Dano,0:05:34,EMMY,5/26/1993,A,,1,1,veggieburgermeister
"=HYPERLINK(""https://youtu.be/Cyz2FEnMFdE"", ""Link"")",Cyz2FEnMFdE,Melissa Hayden Emmy Reel,0:17:19,EMMY,05/25/1994,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/IZni6jRT1oQ"", ""Link"")",IZni6jRT1oQ,Susan Haskell Daytime Emmy Reel,0:31:47,EMMY,05/25/1994,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/watmznHB-BU"", ""Link"")",watmznHB-BU,Peter Simon - Guiding Light Emmy Reel,0:19:04,EMMY,6/4/1994,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/1U4Dvtsh5H0"", ""Link"")",1U4Dvtsh5H0,Michael Zaslow - Guiding Light Daytime Emmy Reel,0:21:44,EMMY,6/4/1994,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/YhQYXFXVtRU"", ""Link"")",YhQYXFXVtRU,Justin Deas - Guiding Light Daytime Emmy Reel,0:21:33,EMMY,6/4/1994,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/zf_gNYhLkbU"", ""Link"")",zf_gNYhLkbU,Hillary B. Smith - One LIfe to Live Daytime Emmy Reel,0:28:46,EMMY,6/4/1994,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/rcAF4Uj56QE"", ""Link"")",rcAF4Uj56QE,Emmy Reel That Beat Brad Maule,0:30:29,EMMY,01/01/1995,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/9hno9cgGJ1w"", ""Link"")",9hno9cgGJ1w,Sarah Gellar Daytime Emmy Reel,0:11:13,EMMY,05/15/1995,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/75hovLJfzzE"", ""Link"")",75hovLJfzzE,Rena Sofer Daytime Emmy Reel,0:10:55,EMMY,05/19/1995,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/_XiI8MdJl_w"", ""Link"")",_XiI8MdJl_w,Erika Slezak Daytime Emmy Reel,0:30:56,EMMY,05/19/1995,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/U-GZcEqApmg"", ""Link"")",U-GZcEqApmg,Writers Win Emmy,0:01:39,EMMY,01/01/1996,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/9wLEhKFyevI"", ""Link"")",9wLEhKFyevI,Jerry verDorn Emmy Reel,0:21:29,EMMY,05/22/1996,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/oz7KNwyUuQA"", ""Link"")",oz7KNwyUuQA,Kimberly McCullough Emmy Reel,0:15:43,EMMY,05/22/1996,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/vmo-LcTMrdg"", ""Link"")",vmo-LcTMrdg,Charles Keating Daytime Emmy Reel,0:17:15,EMMY,05/22/1996,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/RLDy6eWargo"", ""Link"")",RLDy6eWargo,Erika Slezak Daytime Emmy Reel,0:30:44,EMMY,05/22/1996,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/9YxbJmXqr_A"", ""Link"")",9YxbJmXqr_A,Anna Holbrook - Another World Daytime Emmy Reel,0:16:07,EMMY,6/2/1996,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/w-jmXiL5O2E"", ""Link"")",w-jmXiL5O2E,Frank Beaty - Guiding LIght Daytime Emmy Reel,0:17:49,EMMY,6/2/1996,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/reW0iV19jo4"", ""Link"")",reW0iV19jo4,Tie for Writing Teams at Emmys,0:05:42,EMMY,01/01/1997,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/BwCyAFx9320"", ""Link"")",BwCyAFx9320,Sarah Brown Daytime Emmy Reel,0:12:20,EMMY,05/21/1997,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/8bLB_oFNvSQ"", ""Link"")",8bLB_oFNvSQ,24th Annual Daytime Emmys Snippet,0:00:15,EMMY,05/21/1997,A,,1,1,carmaker1
"=HYPERLINK(""https://youtu.be/ALESa880h8w"", ""Link"")",ALESa880h8w,Justin Deas Guiding Light Daytime Emmy Reel,0:19:41,EMMY,6/1/1997,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/VTdx6EpJIUE"", ""Link"")",VTdx6EpJIUE,Guiding Light 1997 Daytime Emmy Tribute,0:02:39,EMMY,6/1/1997,A,,1,1,celebratingthesoaps
"=HYPERLINK(""https://youtu.be/YjGpL5qhcms"", ""Link"")",YjGpL5qhcms,1997 Daytime Emmy Awards,0:03:21,EMMY,06/01/1997,A,,1,1,longlivethebluths
"=HYPERLINK(""https://youtu.be/r_V7QbZXVOs"", ""Link"")",r_V7QbZXVOs,1997 Daytime Emmy Awards Best Writing,0:04:11,EMMY,06/01/1997,A,,1,1,longlivethebluths
"=HYPERLINK(""https://youtu.be/zQgCLgIBT8c"", ""Link"")",zQgCLgIBT8c,Emmy Nominations,0:01:22,EMMY,01/01/1998,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/SshNmI_ntPM"", ""Link"")",SshNmI_ntPM,Coverage of the Emmys,0:03:20,EMMY,01/01/1998,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/DeOHzIX9VQY"", ""Link"")",DeOHzIX9VQY,Emmy Rossum,0:01:04,EMMY,01/01/1998,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/4EhRMxdQ2mI"", ""Link"")",4EhRMxdQ2mI,Sarah Brown Daytime Emmy Reel,0:11:55,EMMY,05/15/1998,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/Xck8sSJ_-x8"", ""Link"")",Xck8sSJ_-x8,Julia Barr Daytime Emmy Reel,0:29:11,EMMY,05/15/1998,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/zUZMWVl1xSU"", ""Link"")",zUZMWVl1xSU,Cynthia Watros Daytime Emmy Reel,0:24:06,EMMY,05/15/1998,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/Dk8GRHMqkFs"", ""Link"")",Dk8GRHMqkFs,1998 Daytime Emmy Awards,1:30:36,EMMY,05/15/1998,A,,1,1,edwynnsanchez
"=HYPERLINK(""https://youtu.be/fLMq0nT2614"", ""Link"")",fLMq0nT2614,1998 Daytime Emmy Awards,0:03:17,EMMY,05/31/1998,A,,1,1,longlivethebluths
"=HYPERLINK(""https://youtu.be/Pd2HQOYdepc"", ""Link"")",Pd2HQOYdepc,1998 Daytime Emmy Awards,0:04:19,EMMY,05/31/1998,A,,1,1,longlivethebluths
"=HYPERLINK(""https://youtu.be/JOfZfrljNw8"", ""Link"")",JOfZfrljNw8,1998 Daytime Emmy Awards,0:01:58,EMMY,05/31/1998,A,,1,1,longlivethebluths
"=HYPERLINK(""https://youtu.be/amzQIst7D98"", ""Link"")",amzQIst7D98,1998 Daytime Emmy Awards,0:02:23,EMMY,05/31/1998,A,,1,1,longlivethebluths
