link,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/ygbj6aDgOus"", ""Link"")",Episode,0:29:10,GENR,1/1/1989,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/yitz5-IjdI8"", ""Link"")",Episode,0:28:27,GENR,1/1/1989,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/ruu_MEIs8OE"", ""Link"")",Episode,0:28:37,GENR,1/1/1989,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/iLjGfItqmp8"", ""Link"")",First episode,0:07:34,GENR,01/01/1989,A,P_c94bb7f1,1,5,justininatlanta
"=HYPERLINK(""https://youtu.be/gheO0wO0G0g"", ""Link"")",First episode,0:04:39,GENR,01/01/1989,A,P_c94bb7f1,2,5,justininatlanta
"=HYPERLINK(""https://youtu.be/j_GLk2ZKtOk"", ""Link"")",First episode,0:05:16,GENR,01/01/1989,A,P_c94bb7f1,3,5,justininatlanta
"=HYPERLINK(""https://youtu.be/a3f3lM8bN6o"", ""Link"")",First episode,0:03:25,GENR,01/01/1989,A,P_c94bb7f1,4,5,justininatlanta
"=HYPERLINK(""https://youtu.be/-hD01EQl_SU"", ""Link"")",First episode,0:00:38,GENR,01/01/1989,A,P_c94bb7f1,5,5,justininatlanta
"=HYPERLINK(""https://youtu.be/GNsmVBgKqu8"", ""Link"")",Eplisode clip,0:04:11,GENR,01/01/1990,A,,1,1,steverutherford
"=HYPERLINK(""https://youtu.be/zIXy3KM5sAM"", ""Link"")",Sam get fired,0:04:12,GENR,01/01/1990,A,,1,1,steverutherford
"=HYPERLINK(""https://youtu.be/b84b4rt6wmc"", ""Link"")",Catfight scene,0:06:52,GENR,01/01/1990,A,,1,1,steverutherford
"=HYPERLINK(""https://youtu.be/L6oWeiUCQIc"", ""Link"")",Episode,0:30:37,GENR,01/01/1990,A,,1,1,steverutherford
"=HYPERLINK(""https://youtu.be/yhoA5CQtJ_0"", ""Link"")",Episode,0:29:00,GENR,01/01/1990,A,,1,1,steverutherford
"=HYPERLINK(""https://youtu.be/yMTsMMv9fc8"", ""Link"")",Episdoe content,0:11:52,GENR,01/01/1990,A,,1,1,steverutherford
"=HYPERLINK(""https://youtu.be/ZfUS2xAqZqQ"", ""Link"")",Episode,0:30:53,GENR,01/01/1990,A,,1,1,steverutherford
"=HYPERLINK(""https://youtu.be/Cj0RjlrJM_g"", ""Link"")",Kyle And Sam (Rich Rubin),0:28:08,GENR,01/01/1990,A,,1,1,steverutherford
"=HYPERLINK(""https://youtu.be/bbb0lkarZfk"", ""Link"")",Promo,0:00:21,GENR,1/1/1990,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/OQmF0FqcQ-Y"", ""Link"")",Episode content,0:15:00,GENR,01/01/1990,A,P_48b6a23c,1,2,steverutherford
"=HYPERLINK(""https://youtu.be/9Du10AcPA2o"", ""Link"")",Episode content,0:07:13,GENR,01/01/1990,A,P_48b6a23c,2,2,steverutherford
"=HYPERLINK(""https://youtu.be/z_AGpJGBo3k"", ""Link"")",Kyle And Sam,0:29:54,GENR,01/01/1990,A,P_7d1d9eaa,1,3,steverutherford
"=HYPERLINK(""https://youtu.be/HD-hkJrgcoU"", ""Link"")",Kyle And Sam,0:29:46,GENR,01/01/1990,A,P_7d1d9eaa,2,3,steverutherford
"=HYPERLINK(""https://youtu.be/RAhUpZ0tMms"", ""Link"")",Kyle And Sam,0:30:40,GENR,01/01/1990,A,P_7d1d9eaa,3,3,steverutherford
"=HYPERLINK(""https://youtu.be/WqJhp6fScQk"", ""Link"")",Catfight,0:04:46,GENR,01/01/1991,A,,1,1,justininatlanta
"=HYPERLINK(""https://youtu.be/km0A-2zaOYo"", ""Link"")",Final Episode,0:14:59,GENR,1/1/1991,A,,1,1,steverutherford
"=HYPERLINK(""https://youtu.be/tctoLOHOsaQ"", ""Link"")",Last episode,0:05:38,GENR,01/01/1991,A,P_fa88eeb2,1,5,justininatlanta
"=HYPERLINK(""https://youtu.be/RFoAK3i2-Rs"", ""Link"")",Last episode,0:04:44,GENR,01/01/1991,A,P_fa88eeb2,2,5,justininatlanta
"=HYPERLINK(""https://youtu.be/hNwXe_OZ8QI"", ""Link"")",Last episode,0:04:21,GENR,01/01/1991,A,P_fa88eeb2,3,5,justininatlanta
"=HYPERLINK(""https://youtu.be/Gqy_OobAXX8"", ""Link"")",Last episode,0:05:29,GENR,01/01/1991,A,P_fa88eeb2,4,5,justininatlanta
"=HYPERLINK(""https://youtu.be/29J-rlnBnHg"", ""Link"")",Last episode,0:00:25,GENR,01/01/1991,A,P_fa88eeb2,5,5,justininatlanta
