YouTube link,id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/xWcrEiOAJvE"", ""Link"")",xWcrEiOAJvE,Emergency Hospital Pilot,0:23:15,GH,01/01/1962,A,,1,1,romabriere
"=HYPERLINK(""https://youtu.be/FDMMNfyCV44"", ""Link"")",FDMMNfyCV44,Pilot for General Hospital,0:23:15,GH,01/01/1962,A,,1,1,generalhospitalexposed
"=HYPERLINK(""https://youtu.be/xGoM9CP1p2w"", ""Link"")",xGoM9CP1p2w,Opening,0:00:18,GH,01/01/1963,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/sbr7P8lG2qE"", ""Link"")",sbr7P8lG2qE,Promo,0:00:57,GH,01/01/1963,B,,1,1,robwargo
"=HYPERLINK(""https://youtu.be/_-B62nlwPKM"", ""Link"")",_-B62nlwPKM,The complete first episode,0:21:17,GH,04/01/1963,A,,1,1,generalhospitalexposed
"=HYPERLINK(""https://youtu.be/PjCx880HF5g"", ""Link"")",PjCx880HF5g,Promos,0:00:56,GH,01/01/1964,B,,1,1,robwargo
"=HYPERLINK(""https://youtu.be/Xsq4DwToWnQ"", ""Link"")",Xsq4DwToWnQ,Episode,0:28:21,GH,12/01/1966,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/SsEqYX-zmCg"", ""Link"")",SsEqYX-zmCg,Episode,0:24:29,GH,12/7/1966,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/2eSfF9Pd3c0"", ""Link"")",2eSfF9Pd3c0,Episode,0:28:09,GH,12/8/1966,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/Ow9fw5XynLY"", ""Link"")",Ow9fw5XynLY,Episode,0:27:47,GH,12/16/1966,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/snJs5cUibpU"", ""Link"")",snJs5cUibpU,Episode,0:28:44,GH,01/01/1967,A,,1,1,moviecraft
"=HYPERLINK(""https://youtu.be/zT92wKz626I"", ""Link"")",zT92wKz626I,"General Hospital Jan 3, 1967",0:28:35,GH,01/3/1967,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/EhyfRSOC9Yg"", ""Link"")",EhyfRSOC9Yg,Episode,0:27:49,GH,02/1/1968,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/2P0w87R4f5c"", ""Link"")",2P0w87R4f5c,Episode,0:14:53,GH,03/6/1968,A,P_aa0d6b14,1,2,mitch6225
"=HYPERLINK(""https://youtu.be/2Uv9t4gYw1M"", ""Link"")",2Uv9t4gYw1M,Episode,0:09:51,GH,03/6/1968,A,P_aa0d6b14,2,2,mitch6225
"=HYPERLINK(""https://youtu.be/JFBEAAF42Jk"", ""Link"")",JFBEAAF42Jk,Episode,0:28:33,GH,03/11/1968,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/HvQcvElvYg4"", ""Link"")",HvQcvElvYg4,Promo,0:02:03,GH,01/01/1969,B,,1,1,robwargo
"=HYPERLINK(""https://youtu.be/5PDT_Pzi35M"", ""Link"")",5PDT_Pzi35M,Promo,0:01:05,GH,01/01/1969,B,,1,1,generalhospitalexposed
"=HYPERLINK(""https://youtu.be/Qjb5EOjJJU8"", ""Link"")",Qjb5EOjJJU8,Dead of Night Opening,0:00:47,GH,08/26/1969,B,,1,1,disabled1955
