YouTube link,id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/02rhdHZOJVY"", ""Link"")",02rhdHZOJVY,Promo,0:00:31,GH,1/1/1980,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/Kyv9QYegeRE"", ""Link"")",Kyv9QYegeRE,Promo,0:00:31,GH,1/1/1980,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/5vXiA6EKrB4"", ""Link"")",5vXiA6EKrB4,1979 - 1980  Year In Review,0:10:02,GH,01/01/1980,A,P_c551718c,1,2,romabriere
"=HYPERLINK(""https://youtu.be/RsdTARt727U"", ""Link"")",RsdTARt727U,1979 - 1980  Year In Review,0:10:26,GH,01/01/1980,A,P_c551718c,2,2,romabriere
"=HYPERLINK(""https://youtu.be/npsbqjqvAPg"", ""Link"")",npsbqjqvAPg,Rick/Lesley The Separation,0:12:28,GH,01/02/1980,A,P_5591af90,1,6,romabriere
"=HYPERLINK(""https://youtu.be/PZjZITi6iq4"", ""Link"")",PZjZITi6iq4,Rick/Lesley The Separation,0:15:04,GH,01/02/1980,A,P_5591af90,2,6,romabriere
"=HYPERLINK(""https://youtu.be/cuF_jCxd5YU"", ""Link"")",cuF_jCxd5YU,Rick/Lesley The Separation,0:13:21,GH,01/02/1980,A,P_5591af90,3,6,romabriere
"=HYPERLINK(""https://youtu.be/I_6mT63hRfI"", ""Link"")",I_6mT63hRfI,Rick/Lesley The Separation,0:13:26,GH,01/02/1980,A,P_5591af90,4,6,romabriere
"=HYPERLINK(""https://youtu.be/n3jevsBK2Us"", ""Link"")",n3jevsBK2Us,Rick/Lesley The Separation,0:09:07,GH,01/02/1980,A,P_5591af90,5,6,romabriere
"=HYPERLINK(""https://youtu.be/iBP911xthHA"", ""Link"")",iBP911xthHA,Rick/Lesley The Separation,0:05:18,GH,01/02/1980,A,P_5591af90,6,6,romabriere
"=HYPERLINK(""https://youtu.be/KzLQuJEF6d8"", ""Link"")",KzLQuJEF6d8,Episode,0:27:18,GH,02/22/1980,A,P_bae0117a,1,2,romabriere
"=HYPERLINK(""https://youtu.be/f5LzKzH8dWM"", ""Link"")",f5LzKzH8dWM,Episode content,0:16:06,GH,02/22/1980,A,P_bae0117a,2,2,romabriere
"=HYPERLINK(""https://youtu.be/HA3MnA56pdI"", ""Link"")",HA3MnA56pdI,Episode,0:28:19,GH,02/29/1980,A,P_7743cd0e,1,2,romabriere
"=HYPERLINK(""https://youtu.be/XY-zIixWibI"", ""Link"")",XY-zIixWibI,Episode content,0:15:02,GH,02/29/1980,A,P_7743cd0e,2,2,romabriere
"=HYPERLINK(""https://youtu.be/1rTImAsCW08"", ""Link"")",1rTImAsCW08,Attic Collapse,0:15:01,GH,03/01/1980,A,,1,1,romabriere
"=HYPERLINK(""https://youtu.be/297aoeEiLPM"", ""Link"")",297aoeEiLPM,Alan Gets Drunk clip,0:00:29,GH,04/01/1980,A,,1,1,romabriere
