YouTube link,id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/O4Xb17kSttY"", ""Link"")",O4Xb17kSttY,Episode content,0:11:41,GL,07/10/1952,A,,1,1,soapsnthings4182
"=HYPERLINK(""https://youtu.be/BHk08T_BCSk"", ""Link"")",BHk08T_BCSk,Episode content,0:14:22,GL,01/01/1953,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/aTUMbA3SGt0"", ""Link"")",aTUMbA3SGt0,Episode content,0:14:26,GL,01/01/1953,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/HCYC9vQnykw"", ""Link"")",HCYC9vQnykw,Episode content,0:14:47,GL,01/01/1953,A,,1,1,moviecraft
"=HYPERLINK(""https://youtu.be/4k5LEVcK5Kg"", ""Link"")",4k5LEVcK5Kg,Episode content,0:12:46,GL,01/24/1953,A,,1,1,soapsnthings4182
"=HYPERLINK(""https://youtu.be/mqNVgNtX1yY"", ""Link"")",mqNVgNtX1yY,Episode content,0:13:08,GL,01/25/1953,A,,1,1,soapsnthings4182
"=HYPERLINK(""https://youtu.be/Z7JD2L6QWB0"", ""Link"")",Z7JD2L6QWB0,Episode content,0:12:49,GL,01/27/1953,A,,1,1,soapsnthings4182
"=HYPERLINK(""https://youtu.be/IheM28Ybwa4"", ""Link"")",IheM28Ybwa4,Episode content,0:13:13,GL,01/27/1953,A,,1,1,edwynnsanchez
"=HYPERLINK(""https://youtu.be/E3TGMYNmkN0"", ""Link"")",E3TGMYNmkN0,Episode content,0:14:27,GL,03/04/1953,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/zdlJ2K4Y5JA"", ""Link"")",zdlJ2K4Y5JA,Eplisode clip,0:14:29,GL,03/04/1953,A,,1,1,edwynnsanchez
"=HYPERLINK(""https://youtu.be/fWr8pDdTK8s"", ""Link"")",fWr8pDdTK8s,Episode content,0:14:26,GL,03/04/1953,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/T4Gkt2DzKfY"", ""Link"")",T4Gkt2DzKfY,Eplisode clip,0:14:26,GL,03/25/1953,A,,1,1,edwynnsanchez
"=HYPERLINK(""https://youtu.be/lmdiKO55BiU"", ""Link"")",lmdiKO55BiU,Episode content,0:14:22,GL,04/09/1953,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/o9MqayNM3Tw"", ""Link"")",o9MqayNM3Tw,Episode content,0:14:22,GL,04/09/1953,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/sahtuqMeTZc"", ""Link"")",sahtuqMeTZc,Eplisode clip,0:14:31,GL,05/13/1954,A,,1,1,edwynnsanchez
