YouTube link,id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/IOrjkAdnGX0"", ""Link"")",IOrjkAdnGX0,CBS Daytime Millennium New Year's Proo,0:00:21,GL,01/01/2000,A,,1,1,guidinglightepisodes3132
"=HYPERLINK(""https://youtu.be/OILhO5doC_I"", ""Link"")",OILhO5doC_I,Brittany Snow and Paul Wesley,0:04:56,GL,01/01/2000,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/SU5vgc8hjow"", ""Link"")",SU5vgc8hjow,full episode,0:38:44,GL,01/03/2000,A,,1,1,guidinglightepisodes3132
"=HYPERLINK(""https://youtu.be/2D6tf5lWP_g"", ""Link"")",2D6tf5lWP_g,Episode,0:39:24,GL,01/03/2000,A,,1,1,blakemarler
"=HYPERLINK(""https://youtu.be/fmR9_bhU8lc"", ""Link"")",fmR9_bhU8lc,full episode,0:38:38,GL,01/04/2000,A,,1,1,guidinglightepisodes3132
"=HYPERLINK(""https://youtu.be/D6uaQ32_LO0"", ""Link"")",D6uaQ32_LO0,Episode,0:38:37,GL,01/04/2000,A,,1,1,blakemarler
"=HYPERLINK(""https://youtu.be/lY3jeNTnyJM"", ""Link"")",lY3jeNTnyJM,full episode,0:39:15,GL,01/05/2000,A,,1,1,guidinglightepisodes3132
"=HYPERLINK(""https://youtu.be/4S9418SF5ww"", ""Link"")",4S9418SF5ww,Episode,0:39:15,GL,01/05/2000,A,,1,1,blakemarler
"=HYPERLINK(""https://youtu.be/Q8kLZqtynkU"", ""Link"")",Q8kLZqtynkU,Episode,0:39:43,GL,01/06/2000,A,,1,1,blakemarler
"=HYPERLINK(""https://youtu.be/lZZ1sRvVg5I"", ""Link"")",lZZ1sRvVg5I,partial episode,0:29:44,GL,01/07/2000,A,,1,1,guidinglightepisodes3132
"=HYPERLINK(""https://youtu.be/KqHGW2xiuS8"", ""Link"")",KqHGW2xiuS8,Episode,0:39:36,GL,01/07/2000,A,,1,1,blakemarler
"=HYPERLINK(""https://youtu.be/V0jjLi4-M1w"", ""Link"")",V0jjLi4-M1w,Episode,0:39:45,GL,01/10/2000,A,,1,1,blakemarler
"=HYPERLINK(""https://youtu.be/rauV-xEWRPc"", ""Link"")",rauV-xEWRPc,full episode,0:39:20,GL,01/11/2000,A,,1,1,guidinglightepisodes3132
"=HYPERLINK(""https://youtu.be/O4kOLdN95kQ"", ""Link"")",O4kOLdN95kQ,Episode,0:39:20,GL,01/11/2000,A,,1,1,blakemarler
"=HYPERLINK(""https://youtu.be/RKiv8y47Rig"", ""Link"")",RKiv8y47Rig,Episode,0:39:46,GL,01/12/2000,A,,1,1,blakemarler
"=HYPERLINK(""https://youtu.be/ejN8Bilbk20"", ""Link"")",ejN8Bilbk20,full episode,0:38:55,GL,01/13/2000,A,,1,1,guidinglightepisodes3132
"=HYPERLINK(""https://youtu.be/iC6Iwp8u9Pg"", ""Link"")",iC6Iwp8u9Pg,Episode,0:38:55,GL,01/13/2000,A,,1,1,blakemarler
"=HYPERLINK(""https://youtu.be/8XpUSquC0Hg"", ""Link"")",8XpUSquC0Hg,Episode,0:39:01,GL,01/14/2000,A,,1,1,blakemarler
"=HYPERLINK(""https://youtu.be/C1O8Z1nDY1E"", ""Link"")",C1O8Z1nDY1E,Episode,0:39:54,GL,01/17/2000,A,,1,1,blakemarler
"=HYPERLINK(""https://youtu.be/30K7UCTHUHg"", ""Link"")",30K7UCTHUHg,Episode,0:38:20,GL,01/18/2000,A,,1,1,blakemarler
"=HYPERLINK(""https://youtu.be/yqrqnpx3R8U"", ""Link"")",yqrqnpx3R8U,Episode,0:39:40,GL,01/19/2000,A,,1,1,blakemarler
"=HYPERLINK(""https://youtu.be/3lg9sp4FcIE"", ""Link"")",3lg9sp4FcIE,Episode,0:38:33,GL,01/20/2000,A,,1,1,blakemarler
"=HYPERLINK(""https://youtu.be/cM10dP9UUKc"", ""Link"")",cM10dP9UUKc,full episode,0:38:48,GL,01/21/2000,A,,1,1,guidinglightepisodes3132
"=HYPERLINK(""https://youtu.be/cnLI_eZevSk"", ""Link"")",cnLI_eZevSk,Episode,0:39:43,GL,01/21/2000,A,,1,1,blakemarler
"=HYPERLINK(""https://youtu.be/02oPz163cVo"", ""Link"")",02oPz163cVo,Episode,0:39:43,GL,01/24/2000,A,,1,1,blakemarler
"=HYPERLINK(""https://youtu.be/EvVVRwp0bck"", ""Link"")",EvVVRwp0bck,Episode,0:38:59,GL,01/25/2000,A,,1,1,blakemarler
"=HYPERLINK(""https://youtu.be/t6AJtfr_yT8"", ""Link"")",t6AJtfr_yT8,Episode,0:39:33,GL,01/26/2000,A,,1,1,blakemarler
"=HYPERLINK(""https://youtu.be/lTgllZttVLw"", ""Link"")",lTgllZttVLw,full episode,0:36:38,GL,01/27/2000,A,,1,1,guidinglightepisodes3132
"=HYPERLINK(""https://youtu.be/Ht_dswJn_5k"", ""Link"")",Ht_dswJn_5k,Episode,0:36:38,GL,01/27/2000,A,,1,1,blakemarler
"=HYPERLINK(""https://youtu.be/CkCq7u8ka4w"", ""Link"")",CkCq7u8ka4w,full episode,0:32:57,GL,01/28/2000,A,,1,1,guidinglightepisodes3132
"=HYPERLINK(""https://youtu.be/vVvjnZGSBg8"", ""Link"")",vVvjnZGSBg8,Episode,0:39:31,GL,01/28/2000,A,,1,1,blakemarler
"=HYPERLINK(""https://youtu.be/a7fNkmbyZk8"", ""Link"")",a7fNkmbyZk8,Episode,0:39:30,GL,01/31/2000,A,,1,1,blakemarler
"=HYPERLINK(""https://youtu.be/NNR9PbCSjjs"", ""Link"")",NNR9PbCSjjs,full episode,0:33:28,GL,02/01/2000,A,,1,1,guidinglightepisodes3132
"=HYPERLINK(""https://youtu.be/NK2Tw6PrcpE"", ""Link"")",NK2Tw6PrcpE,Episode,0:39:50,GL,02/01/2000,A,,1,1,blakemarler
"=HYPERLINK(""https://youtu.be/3Z_mhUmW4l0"", ""Link"")",3Z_mhUmW4l0,Episode,0:33:28,GL,02/01/2000,A,,1,1,blakemarler
"=HYPERLINK(""https://youtu.be/Gi1aEk-tTcs"", ""Link"")",Gi1aEk-tTcs,Episode,0:39:37,GL,02/02/2000,A,,1,1,blakemarler
"=HYPERLINK(""https://youtu.be/w8QsPYzJEVE"", ""Link"")",w8QsPYzJEVE,full episode,0:39:28,GL,02/03/2000,A,,1,1,guidinglightepisodes3132
"=HYPERLINK(""https://youtu.be/RGgIN6KHjaM"", ""Link"")",RGgIN6KHjaM,Episode,0:39:28,GL,02/03/2000,A,,1,1,blakemarler
"=HYPERLINK(""https://youtu.be/tbyIw2GyK2s"", ""Link"")",tbyIw2GyK2s,Episode,0:39:28,GL,02/03/2000,A,,1,1,blakemarler
