link,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/Lms0iTAjPw4"", ""Link"")",Episode content,0:14:25,LL,01/01/1953,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/ZojQxp9FGRk"", ""Link"")",Episode content,0:14:27,LL,01/01/1953,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/bnoYoHaOtKI"", ""Link"")",Episode content,0:14:37,LL,01/01/1953,A,,1,1,moviecraft
"=HYPERLINK(""https://youtu.be/bALKo47_PBU"", ""Link"")",Eplisode clip,0:14:32,LL,01/13/1953,A,,1,1,edwynnsanchez
"=HYPERLINK(""https://youtu.be/8DKvA6Ptavw"", ""Link"")",Episode content,0:13:52,LL,01/15/1953,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/eoUTJCJtyoU"", ""Link"")",Episode content,0:13:52,LL,01/15/1953,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/oedw4JKEXU0"", ""Link"")",Eplisode clip,0:14:39,LL,03/06/1953,A,,1,1,edwynnsanchez
"=HYPERLINK(""https://youtu.be/ZNuZyc7iVNQ"", ""Link"")",Episode content,0:14:27,LL,03/20/1953,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/0vuwhKIkELo"", ""Link"")",Episode content,0:14:48,LL,05/20/1953,A,,1,1,moviecraft
"=HYPERLINK(""https://youtu.be/UJCrqQdUhgw"", ""Link"")",Episode content,0:14:26,LL,05/22/1953,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/sK34N9lmM7k"", ""Link"")",LOVE OF LIFE,0:04:30,LL,01/01/1955,A,,1,1,thez58
"=HYPERLINK(""https://youtu.be/jMOYEOunOlI"", ""Link"")",Episode content,0:14:26,LL,02/08/1955,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/FuVR5xI8TRg"", ""Link"")",Episode content,0:14:25,LL,12/22/1955,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/2Qc-M-aRF-I"", ""Link"")",Eplisode,0:24:48,LL,08/22/1960,A,,1,1,edwynnsanchez
"=HYPERLINK(""https://youtu.be/5fqfeS64OXk"", ""Link"")",Episode,0:24:48,LL,08/22/1960,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/Eo5hl5Swuho"", ""Link"")",Episode content,0:14:47,LL,01/01/1962,A,,1,1,moviecraft
"=HYPERLINK(""https://youtu.be/JPFgu4Y4zfI"", ""Link"")",Closing theme,0:01:45,LL,01/01/1973,B,,1,1,edwynnsanchez
"=HYPERLINK(""https://youtu.be/1vSHIxq_5XY"", ""Link"")",Episode,0:20:31,LL,01/01/1975,A,,1,1,thechandlerhh
"=HYPERLINK(""https://youtu.be/_jhO0SzJ_mM"", ""Link"")",Episode,0:30:05,LL,01/01/1975,A,,1,1,thechandlerhh
"=HYPERLINK(""https://youtu.be/TVEHk2E3RD8"", ""Link"")",Episode content,0:13:20,LL,01/01/1975,A,,1,1,thechandlerhh
"=HYPERLINK(""https://youtu.be/dXwS9wVlm-g"", ""Link"")",Episode content,0:02:10,LL,01/01/1975,A,,1,1,thechandlerhh
"=HYPERLINK(""https://youtu.be/eQJdxPM2P1w"", ""Link"")",Episode content,0:02:16,LL,01/01/1975,A,,1,1,thechandlerhh
"=HYPERLINK(""https://youtu.be/s2adKP0sdg0"", ""Link"")",Christopher Reeve on Love of Life,0:04:54,LL,6/1/1975,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/kBX9UxQ1RI4"", ""Link"")",Eplisode,0:24:16,LL,07/14/1975,A,,1,1,edwynnsanchez
"=HYPERLINK(""https://youtu.be/jXfDWlPl0z8"", ""Link"")",Eplisode,0:24:36,LL,01/01/1976,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/xJr7_VkMZJc"", ""Link"")",Opening,0:00:32,LL,1/1/1979,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/V-ReGO5PtNc"", ""Link"")",Episode,0:20:28,LL,01/28/1980,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/QAyMHJx0m0Y"", ""Link"")",Episode,0:20:26,LL,01/29/1980,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/d3jNp7m62WY"", ""Link"")",Episode,0:23:19,LL,01/31/1980,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/8bkqLRz-UQI"", ""Link"")",Episode,0:30:14,LL,02/01/1980,A,,1,1,thechandlerhh
"=HYPERLINK(""https://youtu.be/mmlI53Z1oCU"", ""Link"")",Last episode,0:21:57,LL,02/1/1980,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/OFjwKrzKdtI"", ""Link"")",Episode content,0:19:01,LL,10/15/1982,A,P_9d43bce0,2,2,romabriere
