id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/Lms0iTAjPw4"", ""Link"")",Episode,14:25,LL,01/01/1953,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/ZojQxp9FGRk"", ""Link"")",Episode,14:27,LL,01/01/1953,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/bnoYoHaOtKI"", ""Link"")",Episode,14:37,LL,01/01/1953,A,,1,1,moviecraft
"=HYPERLINK(""https://youtu.be/bALKo47_PBU"", ""Link"")",Eplisode clip,14:32,LL,01/13/1953,A,,1,1,edwynsanchez
"=HYPERLINK(""https://youtu.be/8DKvA6Ptavw"", ""Link"")",Episode,13:52,LL,01/15/1953,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/oedw4JKEXU0"", ""Link"")",Eplisode clip,14:39,LL,03/06/1953,A,,1,1,edwynsanchez
"=HYPERLINK(""https://youtu.be/ZNuZyc7iVNQ"", ""Link"")",Episode,14:27,LL,03/20/1953,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/0vuwhKIkELo"", ""Link"")",Episode,14:48,LL,05/20/1953,A,,1,1,moviecraft
"=HYPERLINK(""https://youtu.be/UJCrqQdUhgw"", ""Link"")",Episode,14:26,LL,05/22/1953,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/sK34N9lmM7k"", ""Link"")",LOVE OF LIFE,4:30,LL,01/01/1955,A,,1,1,thez58
"=HYPERLINK(""https://youtu.be/jMOYEOunOlI"", ""Link"")",Episode,14:26,LL,02/08/1955,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/FuVR5xI8TRg"", ""Link"")",Episode,14:25,LL,12/22/1955,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/2Qc-M-aRF-I"", ""Link"")",Eplisode,24:48,LL,08/22/1960,A,,1,1,edwynsanchez
"=HYPERLINK(""https://youtu.be/5fqfeS64OXk"", ""Link"")",Episode,24:48,LL,08/22/1960,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/Eo5hl5Swuho"", ""Link"")",Episode,14:47,LL,01/01/1962,A,,1,1,moviecraft
"=HYPERLINK(""https://youtu.be/JPFgu4Y4zfI"", ""Link"")",Closing theme,1:45,LL,01/01/1973,B,,1,1,edynsanchez
"=HYPERLINK(""https://youtu.be/1vSHIxq_5XY"", ""Link"")",Episode,20:31,LL,01/01/1975,A,,1,1,thechandlerhh
"=HYPERLINK(""https://youtu.be/_jhO0SzJ_mM"", ""Link"")",Episode,30:05,LL,01/01/1975,A,,1,1,thechandlerhh
"=HYPERLINK(""https://youtu.be/TVEHk2E3RD8"", ""Link"")",Episode,13:20,LL,01/01/1975,A,,1,1,thechandlerhh
"=HYPERLINK(""https://youtu.be/dXwS9wVlm-g"", ""Link"")",Episode,02:10,LL,01/01/1975,A,,1,1,thechandlerhh
"=HYPERLINK(""https://youtu.be/eQJdxPM2P1w"", ""Link"")",Episode,02:16,LL,01/01/1975,A,,1,1,thechandlerhh
"=HYPERLINK(""https://youtu.be/s2adKP0sdg0"", ""Link"")",Christopher Reeve on Love of Life,4:54,LL,6/1/1975,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/kBX9UxQ1RI4"", ""Link"")",Eplisode,24:16,LL,07/14/1975,A,,1,1,edwynsanchez
"=HYPERLINK(""https://youtu.be/jXfDWlPl0z8"", ""Link"")",Eplisode,24:36,LL,01/01/1976,A,,1,1,matthewsmith
