link,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/oUgxSWt74yk"", ""Link"")",Calista Flockhart,0:01:12,LVNG,01/01/1990,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/Lje6K1xysRA"", ""Link"")",Promo,0:00:38,LVNG,1/1/1990,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/iZ2yXGjQNuc"", ""Link"")",Episode,0:28:37,LVNG,1/5/1990,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/PsZ5mcXRSIE"", ""Link"")",Closing,0:02:57,LVNG,12/24/1990,B,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/ZWS_zB0MkCc"", ""Link"")",Patrick O'Connell (Father of Billie Eilish),0:01:32,LVNG,01/01/1991,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/JEkop-8Vb5E"", ""Link"")",Late Keith Pruitt,0:06:13,LVNG,01/01/1991,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/yU76hyH-Amo"", ""Link"")",Cherry Jones On Loving,0:01:33,LVNG,01/01/1991,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/I_h6HcjWeGA"", ""Link"")",S. Epatha Merkerson On Loving,0:02:04,LVNG,01/01/1991,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/5mk27cjGpos"", ""Link"")",Episode,0:30:19,LVNG,1/1/1991,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/ez3apknBJqk"", ""Link"")",Julie Bowen,0:00:22,LVNG,01/01/1992,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/EkXkeAvBnjk"", ""Link"")",Michael Weatherly,0:06:50,LVNG,01/01/1992,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/42_BbHQZB40"", ""Link"")",Celeste Holm w/ Wesley Addy On Loving,0:01:37,LVNG,01/01/1992,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/RwC6GevmeCY"", ""Link"")",Episode,0:28:11,LVNG,1/31/1992,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/fKSGrsAehaU"", ""Link"")",Opening,0:00:38,LVNG,01/01/1993,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/fyNMm0jYjfE"", ""Link"")",Edie Falco,0:03:18,LVNG,01/01/1993,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/0O1Iy2ZEq0E"", ""Link"")",Camryn Manheim,0:01:09,LVNG,01/01/1993,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/GaVk5hAwljI"", ""Link"")",Rebecca Gayheart,0:07:38,LVNG,01/01/1993,A,,1,1,theystartedonsoaps
