YouTube link,id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/iclo-cZ31-E"", ""Link"")",iclo-cZ31-E,Episode - Daytime to Remember - Pat and Tony - Viki and Joe,0:28:23,OLTL,1/1/1967,A,,1,1,foryourviewingpleasure966
"=HYPERLINK(""https://youtu.be/BfWfldgvpPM"", ""Link"")",BfWfldgvpPM,Opening titles,0:00:18,OLTL,01/01/1968,B,,1,1,edwynnsanchez
"=HYPERLINK(""https://youtu.be/rdiJOSGN9hc"", ""Link"")",rdiJOSGN9hc,Gillian Spencer One - the original Victoria Lord,0:00:05,OLTL,1/1/1968,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/U6TVI1ND2DY"", ""Link"")",U6TVI1ND2DY,Miscellaneous Scenes #1,0:01:39,OLTL,01/01/1969,A,,1,1,lovemystories-l9z
"=HYPERLINK(""https://youtu.be/A7iK0ijC3Ms"", ""Link"")",A7iK0ijC3Ms,Miscellaneous Scenes #2,0:06:32,OLTL,01/01/1969,A,,1,1,lovemystories-l9z
"=HYPERLINK(""https://youtu.be/rkv2etVtEFk"", ""Link"")",rkv2etVtEFk,Miscellaneous Scenes #3,0:08:07,OLTL,01/01/1969,A,,1,1,lovemystories-l9z
"=HYPERLINK(""https://youtu.be/j3nHAY--PwM"", ""Link"")",j3nHAY--PwM,Miscellaneous Scenes #4,0:06:19,OLTL,01/01/1969,A,,1,1,lovemystories-l9z
"=HYPERLINK(""https://youtu.be/Boa1R3yrFrk"", ""Link"")",Boa1R3yrFrk,Episode content - audio only,0:01:48,OLTL,01/01/1970,A,,1,1,lovemystories-l9z
"=HYPERLINK(""https://youtu.be/UUSf9Rg-qtY"", ""Link"")",UUSf9Rg-qtY,Episode content - audio only,0:04:03,OLTL,01/01/1970,A,,1,1,lovemystories-l9z
"=HYPERLINK(""https://youtu.be/TXZcyxnkTLM"", ""Link"")",TXZcyxnkTLM,Episode content - audio only,0:05:20,OLTL,01/01/1970,A,,1,1,lovemystories-l9z
"=HYPERLINK(""https://youtu.be/7VMMz-LEwdc"", ""Link"")",7VMMz-LEwdc,Episode content - audio only,0:17:20,OLTL,12/18/1971,A,,1,1,lovemystories-l9z
"=HYPERLINK(""https://youtu.be/Wu8_CejuPgw"", ""Link"")",Wu8_CejuPgw,Episode content - audio only,0:22:22,OLTL,12/19/1971,A,,1,1,lovemystories-l9z
"=HYPERLINK(""https://youtu.be/u4x60bSOJiE"", ""Link"")",u4x60bSOJiE,Episode content - audio only,0:07:11,OLTL,12/20/1971,A,,1,1,lovemystories-l9z
"=HYPERLINK(""https://youtu.be/QqyO-eaOVbo"", ""Link"")",QqyO-eaOVbo,Episode content - audio only,0:02:31,OLTL,12/21/1971,A,,1,1,lovemystories-l9z
"=HYPERLINK(""https://youtu.be/d0p2ac9T5ng"", ""Link"")",d0p2ac9T5ng,Tom Berenger,0:02:01,OLTL,01/01/1975,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/GPXwH4UkUWE"", ""Link"")",GPXwH4UkUWE,Episode,0:28:14,OLTL,09/16/1975,A,,1,1,edwynnsanchez
"=HYPERLINK(""https://youtu.be/AVBNOMKbVcg"", ""Link"")",AVBNOMKbVcg,Opening,0:00:22,OLTL,9/16/1975,B,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/SNPatyyB3ag"", ""Link"")",SNPatyyB3ag,Closing - announcer free,0:01:21,OLTL,9/16/1975,B,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/2D2C8UAT9yk"", ""Link"")",2D2C8UAT9yk,Episode,0:28:17,OLTL,09/16/1975,A,,1,1,lovemystories-l9z
"=HYPERLINK(""https://youtu.be/ThMBxsLvXLY"", ""Link"")",ThMBxsLvXLY,Episode,0:13:33,OLTL,11/01/1975,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/tz_7unOx0wY"", ""Link"")",tz_7unOx0wY,Jacquie Courtney and George Reinholt,0:03:12,OLTL,1/1/1976,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/SAN__FhAOm0"", ""Link"")",SAN__FhAOm0,Jackie Zeman from General Hospital - Jameson Parker from Somerset,0:03:17,OLTL,6/1/1976,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/uQ4QbWEDRwE"", ""Link"")",uQ4QbWEDRwE,A Daytime to Remember,0:08:02,OLTL,06/01/1976,A,P_830a8c44,1,3,donna515
"=HYPERLINK(""https://youtu.be/ovx9v1bvyWE"", ""Link"")",ovx9v1bvyWE,A Daytime to Remember,0:07:14,OLTL,06/01/1976,A,P_830a8c44,2,3,donna515
"=HYPERLINK(""https://youtu.be/LASBdhtsw10"", ""Link"")",LASBdhtsw10,A Daytime to Remember,0:04:39,OLTL,06/01/1976,A,P_830a8c44,3,3,donna515
"=HYPERLINK(""https://youtu.be/U-AIjvXc6Ks"", ""Link"")",U-AIjvXc6Ks,Episode,0:33:49,OLTL,08/07/1976,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/V6s2eyge97I"", ""Link"")",V6s2eyge97I,Episode,0:26:20,OLTL,08/24/1976,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/VBwkDeJ4QIE"", ""Link"")",VBwkDeJ4QIE,Kathleen Noone from All My Children,0:04:19,OLTL,9/14/1976,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/0w5joGYuojg"", ""Link"")",0w5joGYuojg,Viki Gives Birth To Kevin,0:21:41,OLTL,11/12/1976,A,,1,1,ilovesoaps
"=HYPERLINK(""https://youtu.be/gtGtOLeFJpM"", ""Link"")",gtGtOLeFJpM,Jameson Parker,0:01:55,OLTL,01/01/1977,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/7TMmZ-yHk0I"", ""Link"")",7TMmZ-yHk0I,Episode,0:33:50,OLTL,01/10/1977,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/AjFF-m4tO8I"", ""Link"")",AjFF-m4tO8I,Episode,0:33:46,OLTL,03/07/1977,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/_c0SIDoBgQA"", ""Link"")",_c0SIDoBgQA,Episode - audio only,0:10:31,OLTL,03/08/1977,A,,1,1,lovemystories-l9z
"=HYPERLINK(""https://youtu.be/Aj-BojUMjPA"", ""Link"")",Aj-BojUMjPA,Episode clip closing,0:01:33,OLTL,3/8/1977,B,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/scuKq55fTZA"", ""Link"")",scuKq55fTZA,Episode,0:33:01,OLTL,04/01/1977,A,,1,1,edwynnsanchez
"=HYPERLINK(""https://youtu.be/Y7CN3fCAwOY"", ""Link"")",Y7CN3fCAwOY,Episode,0:43:01,OLTL,04/01/1977,A,,1,1,lovemystories-l9z
"=HYPERLINK(""https://youtu.be/1iEPeld4thg"", ""Link"")",1iEPeld4thg,Episode,0:33:49,OLTL,05/11/1977,A,,1,1,edwynnsanchez
"=HYPERLINK(""https://youtu.be/a4GvY-s8_0k"", ""Link"")",a4GvY-s8_0k,Opening,0:00:22,OLTL,5/11/1977,B,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/vRRc98YQO4g"", ""Link"")",vRRc98YQO4g,Closing,0:00:57,OLTL,5/11/1977,B,,1,1,cfs89
