YouTube link,id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/FGRZrQiNn4k"", ""Link"")",FGRZrQiNn4k,Ted Clayton Is Tina's Father,0:43:20,OLTL,01/01/1980,A,,1,1,vickrobcal
"=HYPERLINK(""https://youtu.be/iGkyuEjqrGA"", ""Link"")",iGkyuEjqrGA,Promo,0:00:31,OLTL,1/1/1980,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/xO7gFKRsXe8"", ""Link"")",xO7gFKRsXe8,Episode content,0:55:27,OLTL,01/01/1980,A,,1,1,lovemystories-l9z
"=HYPERLINK(""https://youtu.be/Q2KdbmENFd0"", ""Link"")",Q2KdbmENFd0,Episode,0:57:42,OLTL,02/15/1980,A,,1,1,lovemystories-l9z
"=HYPERLINK(""https://youtu.be/Ns5jf_Emxgc"", ""Link"")",Ns5jf_Emxgc,Episode,0:53:41,OLTL,02/18/1980,A,,1,1,lovemystories-l9z
"=HYPERLINK(""https://youtu.be/7zdoZYjfL_E"", ""Link"")",7zdoZYjfL_E,Episode,0:57:44,OLTL,05/28/1980,A,,1,1,lovemystories-l9z
"=HYPERLINK(""https://youtu.be/NQJ0yZo5P2s"", ""Link"")",NQJ0yZo5P2s,Episode,0:57:47,OLTL,05/29/1980,A,,1,1,lovemystories-l9z
"=HYPERLINK(""https://youtu.be/mMqVXbWbwJY"", ""Link"")",mMqVXbWbwJY,Asa's Party for Sam and Mimi,0:43:07,OLTL,6/1/1980,A,,1,1,ilovesoaps
"=HYPERLINK(""https://youtu.be/91pF7i_ryzM"", ""Link"")",91pF7i_ryzM,Bo and Alex (Sept - Dec 1990),4:10:49,OLTL,9/1/1980,A,,1,1,ilovesoaps
"=HYPERLINK(""https://youtu.be/Q52YNpm9Rrc"", ""Link"")",Q52YNpm9Rrc,Episode - Marco and Edwina aborted wedd,0:54:12,OLTL,9/8/1980,A,,1,1,foryourviewingpleasure966
"=HYPERLINK(""https://youtu.be/kINfIcHKVVU"", ""Link"")",kINfIcHKVVU,Episode,0:54:13,OLTL,09/08/1980,A,,1,1,lovemystories-l9z
"=HYPERLINK(""https://youtu.be/BXQB6DfEGgY"", ""Link"")",BXQB6DfEGgY,Episode - Pat and Bo in Paris,0:56:23,OLTL,9/9/1980,A,,1,1,foryourviewingpleasure966
"=HYPERLINK(""https://youtu.be/dBIBSjdzmjg"", ""Link"")",dBIBSjdzmjg,Episode,0:56:23,OLTL,09/09/1980,A,,1,1,lovemystories-l9z
"=HYPERLINK(""https://youtu.be/SQdy4lr8xEc"", ""Link"")",SQdy4lr8xEc,"Viki, Clint, and Joe",0:01:00,OLTL,01/01/1981,A,,1,1,ackgh73994
"=HYPERLINK(""https://youtu.be/BBZks9iNhG8"", ""Link"")",BBZks9iNhG8,Asa Arrives in Llandview,0:01:54,OLTL,01/01/1981,A,,1,1,abcsoaptv
"=HYPERLINK(""https://youtu.be/3nBqwxjLhjs"", ""Link"")",3nBqwxjLhjs,Episode content,0:09:50,OLTL,04/01/1981,A,,1,1,hamiltonbernique
"=HYPERLINK(""https://youtu.be/3wKCfn-87IU"", ""Link"")",3wKCfn-87IU,Episode content,0:09:50,OLTL,04/01/1981,A,,1,1,lovemystories-l9z
"=HYPERLINK(""https://youtu.be/YfkWLATI2do"", ""Link"")",YfkWLATI2do,Episode content,0:14:00,OLTL,06/01/1981,A,,1,1,donna515
