YouTube link,id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/rYH1aq9dzzI"", ""Link"")",rYH1aq9dzzI,2010: OLTL Closing,0:01:39,OLTL,01/01/2010,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/mS3jjRlvzl4"", ""Link"")",mS3jjRlvzl4,Carolyn McCormick on One Life To Live,0:00:34,OLTL,01/01/2010,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/TDMR_PIUWOI"", ""Link"")",TDMR_PIUWOI,Ariana DeBose on One Life To Live,0:02:20,OLTL,01/01/2010,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/IdqzefZBa8A"", ""Link"")",IdqzefZBa8A,Episode,0:31:21,OLTL,01/22/2010,A,,1,1,ryanshope3316
"=HYPERLINK(""https://youtu.be/v9QYzRO74Fs"", ""Link"")",v9QYzRO74Fs,Gina Tognoni as Kelly Cramer,0:05:47,OLTL,2/12/2010,A,,1,1,yodaluver28
"=HYPERLINK(""https://youtu.be/aUcMlmhpp8Y"", ""Link"")",aUcMlmhpp8Y,Gina Tognoni as Kelly Cramer,0:07:02,OLTL,2/15/2010,A,,1,1,yodaluver28
"=HYPERLINK(""https://youtu.be/16OhzLiH8gg"", ""Link"")",16OhzLiH8gg,Episode content,0:04:03,OLTL,05/13/2010,A,,1,1,soapfoxkirby
"=HYPERLINK(""https://youtu.be/WW7m3nwc3dU"", ""Link"")",WW7m3nwc3dU,Episode,0:58:39,OLTL,5/14/2010,A,,1,1,ilovesoaps
"=HYPERLINK(""https://youtu.be/mdnQZzurV_A"", ""Link"")",mdnQZzurV_A,Episode,0:58:37,OLTL,5/17/2010,A,,1,1,ilovesoaps
"=HYPERLINK(""https://youtu.be/n0QdEFbT1HM"", ""Link"")",n0QdEFbT1HM,Episode,0:58:33,OLTL,5/18/2010,A,,1,1,ilovesoaps
"=HYPERLINK(""https://youtu.be/QHUplVipaUw"", ""Link"")",QHUplVipaUw,Episode,0:58:31,OLTL,5/19/2010,A,,1,1,ilovesoaps
