id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/BnxazU1ppaA"", ""Link"")",Opening,0:36,PC,01/01/1997,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/yKG5mmcJtlE"", ""Link"")",Liz arrives in Port Charles at Audrey's house,7:53,PC,01/01/1997,A,,1,1,gasux216
"=HYPERLINK(""https://youtu.be/zbc72K2zBiI"", ""Link"")",All of Port Charles Openings 1997-2003,16:23,PC,1/1/1997,B,,1,1,ryanshope
"=HYPERLINK(""https://youtu.be/P1fT5kjz2RE"", ""Link"")",Episode,01:29:54,PC,06/01/1997,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/QeCprzXq6bw"", ""Link"")",Episode,01:25:58,PC,06/01/1997,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/zv8XRxGaPo0"", ""Link"")",Episode,20:55,PC,06/02/1997,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/wrQ4eVWLaeA"", ""Link"")",Episode,20:41,PC,06/03/1997,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/Xk17PRHhnvw"", ""Link"")",Episode,20:56,PC,06/04/1997,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/TlVgqqrQmTQ"", ""Link"")",Episode,20:56,PC,06/05/1997,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/9-HrQr0_aQE"", ""Link"")",Episode,20:56,PC,06/06/1997,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/Do5BG9mxTmg"", ""Link"")",Episode,20:26,PC,06/09/1997,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/PIEturvk0JM"", ""Link"")",Episode,20:56,PC,06/10/1997,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/4YQGFoDwWbk"", ""Link"")",Episode,20:39,PC,06/11/1997,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/VvAXMU0r7h8"", ""Link"")",Episode,20:44,PC,06/12/1997,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/N-2sCZgDqzc"", ""Link"")",Episode,20:24,PC,06/13/1997,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/fAUlbyN2hCQ"", ""Link"")",Episode,20:24,PC,06/16/1997,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/k8UtVn3xYxA"", ""Link"")",Episode,20:40,PC,06/17/1997,A,,1,1,portcharles2013
