YouTube link,id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/PYgpF9jjm60"", ""Link"")",PYgpF9jjm60,Episode,0:20:07,PC,01/03/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/nNhxtUkmU7Q"", ""Link"")",nNhxtUkmU7Q,Episode,0:21:16,PC,01/04/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/9v4-UhN8NEI"", ""Link"")",9v4-UhN8NEI,Episode,0:21:17,PC,01/05/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/q4klP8pi3Z8"", ""Link"")",q4klP8pi3Z8,Episode,0:20:56,PC,01/06/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/vJkpgDkPsMk"", ""Link"")",vJkpgDkPsMk,Episode,0:20:57,PC,01/07/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/UPqqfko8mbc"", ""Link"")",UPqqfko8mbc,Episode,0:20:57,PC,01/10/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/NIDoiT2lcoo"", ""Link"")",NIDoiT2lcoo,Episode,0:21:16,PC,01/11/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/o5fxMTVp5NY"", ""Link"")",o5fxMTVp5NY,Episode,0:20:56,PC,01/12/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/aDebmRy-dCQ"", ""Link"")",aDebmRy-dCQ,Episode,0:20:56,PC,01/13/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/RkNlOyIdI8s"", ""Link"")",RkNlOyIdI8s,Episode,0:20:56,PC,01/14/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/D4bFS_9V6Co"", ""Link"")",D4bFS_9V6Co,Episode,0:21:01,PC,01/17/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/x3fmAUspkZM"", ""Link"")",x3fmAUspkZM,Episode,0:21:02,PC,01/18/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/bSbou5USxWE"", ""Link"")",bSbou5USxWE,Episode,0:21:02,PC,01/19/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/p-WWkzZjRFI"", ""Link"")",p-WWkzZjRFI,Episode,0:21:02,PC,01/20/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/_tBOiIb2wh8"", ""Link"")",_tBOiIb2wh8,Episode,0:21:16,PC,01/21/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/sGuh5edjqio"", ""Link"")",sGuh5edjqio,Episode,0:20:55,PC,01/24/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/hoYeJbf-2pc"", ""Link"")",hoYeJbf-2pc,Episode,0:20:56,PC,01/25/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/hM4_NFQeNUw"", ""Link"")",hM4_NFQeNUw,Episode,0:20:59,PC,01/26/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/hZGX-lWb0ys"", ""Link"")",hZGX-lWb0ys,Episode,0:21:17,PC,01/27/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/JiuImoNwVFo"", ""Link"")",JiuImoNwVFo,Episode,0:20:56,PC,01/28/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/Eh2D8edv_28"", ""Link"")",Eh2D8edv_28,Episode,0:20:55,PC,01/31/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/rap0rKomcUA"", ""Link"")",rap0rKomcUA,Episode,0:20:57,PC,02/01/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/e08LumS2VgU"", ""Link"")",e08LumS2VgU,Episode,0:21:16,PC,02/02/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/JO18v9emWC8"", ""Link"")",JO18v9emWC8,Episode,0:20:57,PC,02/03/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/KMB9GZlyM3o"", ""Link"")",KMB9GZlyM3o,Episode,0:20:56,PC,02/04/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/DbPnv0YYgfg"", ""Link"")",DbPnv0YYgfg,Episode,0:20:48,PC,02/07/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/xpVPjOCadU8"", ""Link"")",xpVPjOCadU8,Episode,0:20:56,PC,02/08/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/w3p5T9f1_eg"", ""Link"")",w3p5T9f1_eg,Episode,0:20:56,PC,02/09/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/i3a9bmkwjlU"", ""Link"")",i3a9bmkwjlU,Episode,0:20:56,PC,02/10/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/n0hYvsGVNRc"", ""Link"")",n0hYvsGVNRc,Episode,0:21:08,PC,02/11/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/DdeUUcAVUm4"", ""Link"")",DdeUUcAVUm4,Episode,0:20:57,PC,02/14/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/nHYp_Z3KmP0"", ""Link"")",nHYp_Z3KmP0,Episode,0:20:57,PC,02/15/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/KK6PBf9c1aQ"", ""Link"")",KK6PBf9c1aQ,Episode,0:20:56,PC,02/16/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/hndmZPJedMw"", ""Link"")",hndmZPJedMw,Episode,0:20:56,PC,02/17/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/tSO_X8lfjaI"", ""Link"")",tSO_X8lfjaI,Episode,0:21:17,PC,02/18/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/JWQTleVjsBA"", ""Link"")",JWQTleVjsBA,Episode,0:20:13,PC,02/21/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/71bkWhm9D24"", ""Link"")",71bkWhm9D24,Episode,0:20:58,PC,02/22/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/7R75WLWeuuk"", ""Link"")",7R75WLWeuuk,Episode,0:20:56,PC,02/23/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/xkjhCblnjq4"", ""Link"")",xkjhCblnjq4,Episode,0:21:17,PC,02/24/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/jp5JlD4UHz4"", ""Link"")",jp5JlD4UHz4,Episode,0:20:57,PC,02/25/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/s2feWDoBhoc"", ""Link"")",s2feWDoBhoc,Episode,0:20:57,PC,02/28/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/FYemDUCLf4k"", ""Link"")",FYemDUCLf4k,Episode,0:20:57,PC,02/29/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/-RRTKbST2is"", ""Link"")",-RRTKbST2is,Episode,0:20:55,PC,03/01/2000,A,,1,1,portcharles2013
"=HYPERLINK(""https://youtu.be/x6T7xoV-eRE"", ""Link"")",x6T7xoV-eRE,Episode,0:20:55,PC,03/02/2000,A,,1,1,portcharles2013
