link,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/BTQqqhZ9qd8"", ""Link"")",Episode 1,25:18,PP,09/15/1964,A,,1,1,soapsnthings4182
"=HYPERLINK(""https://youtu.be/6d9NLRykjFc"", ""Link"")",Episode 2,25:22,PP,9/17/1964,A,,1,1,soapsnthings4182
"=HYPERLINK(""https://youtu.be/TbCAQSMr6C8"", ""Link"")",Episode 3,25:21,PP,9/22/1964,A,,1,1,soapsnthings4182
"=HYPERLINK(""https://youtu.be/_-rhx2-qfzg"", ""Link"")",Episode 4,25:18,PP,9/24/1964,A,,1,1,soapsnthings4182
"=HYPERLINK(""https://youtu.be/3VoI_Xp60bo"", ""Link"")",Episode 5,25:16,PP,9/29/1964,A,,1,1,soapsnthings4182
"=HYPERLINK(""https://youtu.be/IQvBCZ5oZ3E"", ""Link"")",Episode 6,25:18,PP,10/1/1964,A,,1,1,soapsnthings4182
"=HYPERLINK(""https://youtu.be/sK37WKD-Bz4"", ""Link"")",Episode 7,25:07,PP,10/6/1964,A,,1,1,soapsnthings4182
"=HYPERLINK(""https://youtu.be/ANc2N_2F0qg"", ""Link"")",Episode 8,25:19,PP,10/8/1964,A,,1,1,soapsnthings4182
"=HYPERLINK(""https://youtu.be/LuymyO33mZo"", ""Link"")",Episode 9,25:09,PP,10/13/1964,A,,1,1,soapsnthings4182
"=HYPERLINK(""https://youtu.be/4u367_N1Etw"", ""Link"")",Episode 10,25:15,PP,10/15/1964,A,,1,1,soapsnthings4182
"=HYPERLINK(""https://youtu.be/dTtwi-pxzAI"", ""Link"")",Episode 11,25:18,PP,10/20/1964,A,,1,1,soapsnthings4182
"=HYPERLINK(""https://youtu.be/kGkL-2Sl4o0"", ""Link"")",Episode 12,25:20,PP,10/22/1964,A,,1,1,soapsnthings4182
"=HYPERLINK(""https://youtu.be/vKLZi0j8tpA"", ""Link"")",Episode 13,25:16,PP,10/27/1964,A,,1,1,soapsnthings4182
"=HYPERLINK(""https://youtu.be/YTbdHANkqD8"", ""Link"")",Episode 14,25:21,PP,10/29/1964,A,,1,1,soapsnthings4182
"=HYPERLINK(""https://youtu.be/o4PMr2enueE"", ""Link"")",Episode 15,25:18,PP,11/5/1964,A,,1,1,soapsnthings4182
"=HYPERLINK(""https://youtu.be/I94MvI0eFuA"", ""Link"")",Opening,0:31,PP,11/5/1964,B,,1,1,retronewfoundland
"=HYPERLINK(""https://youtu.be/TPfSLa6_ITE"", ""Link"")",Episode 16,25:18,PP,11/10/1964,A,,1,1,soapsnthings4182
"=HYPERLINK(""https://youtu.be/A4Fg9twqzas"", ""Link"")",Episode 17,25:20,PP,11/12/1964,A,,1,1,soapsnthings4182
"=HYPERLINK(""https://youtu.be/gGEi7UJgaiY"", ""Link"")",Episode 18,25:18,PP,11/17/1964,A,,1,1,soapsnthings4182
"=HYPERLINK(""https://youtu.be/FBSDxZYzc7o"", ""Link"")",Episode 19,25:07,PP,11/19/1964,A,,1,1,soapsnthings4182
"=HYPERLINK(""https://youtu.be/y0He5kZ-8oU"", ""Link"")",Episode 20,25:07,PP,11/24/1964,A,,1,1,soapsnthings4182
"=HYPERLINK(""https://youtu.be/ZYrTch68UPE"", ""Link"")",Episode 21,25:17,PP,11/26/1964,A,,1,1,soapsnthings4182
"=HYPERLINK(""https://youtu.be/sKuJefJcnfU"", ""Link"")",Episode 22,25:18,PP,12/1/1964,A,,1,1,soapsnthings4182
"=HYPERLINK(""https://youtu.be/AQsO4bafCTk"", ""Link"")",Episode 23,25:16,PP,12/3/1964,A,,1,1,soapsnthings4182
"=HYPERLINK(""https://youtu.be/olmTIOpGqBg"", ""Link"")",Episode 24,25:18,PP,12/8/1964,A,,1,1,soapsnthings4182
"=HYPERLINK(""https://youtu.be/Jl3_es3HeJQ"", ""Link"")",Episode 25,25:19,PP,12/10/1964,A,,1,1,soapsnthings4182
"=HYPERLINK(""https://youtu.be/LeEhXTJ9ZKM"", ""Link"")",Episode 26,25:19,PP,12/15/1964,A,,1,1,soapsnthings4182
