YouTube link,id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/lbpMlaBSjf0"", ""Link"")",lbpMlaBSjf0,Episode content,0:08:39,RH,01/01/1975,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/PVINByxh6QM"", ""Link"")",PVINByxh6QM,Episode content,0:07:52,RH,01/01/1975,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/9N8Gn7RDv70"", ""Link"")",9N8Gn7RDv70,Closing,0:00:44,RH,01/01/1975,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/4EkXuoBhoKs"", ""Link"")",4EkXuoBhoKs,Closing,0:00:55,RH,01/01/1975,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/8N9s2eIEiZQ"", ""Link"")",8N9s2eIEiZQ,Nolan Ryan,0:07:46,RH,01/01/1975,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/Uy8w8hhqrX8"", ""Link"")",Uy8w8hhqrX8,Closing,0:00:52,RH,01/01/1975,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/QAM-0o3w0Ug"", ""Link"")",QAM-0o3w0Ug,Eplisode clip,0:06:51,RH,01/01/1975,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/XB-albfwMG0"", ""Link"")",XB-albfwMG0,Opening,0:00:32,RH,01/01/1975,B,,1,1,retronewfoundland
"=HYPERLINK(""https://youtu.be/1HV74coPfvc"", ""Link"")",1HV74coPfvc,All Openings (1975-1989),0:11:34,RH,01/01/1975,B,,1,1,ryanshope3316
"=HYPERLINK(""https://youtu.be/TYMP0YQW0Lc"", ""Link"")",TYMP0YQW0Lc,Promo,0:00:18,RH,1/1/1975,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/3fH8aMG0-FM"", ""Link"")",3fH8aMG0-FM,Collection of openings,0:12:12,RH,07/07/1975,B,,1,1,ryanshope3316
"=HYPERLINK(""https://youtu.be/NwTqmj0X7Wg"", ""Link"")",NwTqmj0X7Wg,Opening,0:00:30,RH,07/07/1975,B,,1,1,ryanshope3316
"=HYPERLINK(""https://youtu.be/taYGS0DNc8A"", ""Link"")",taYGS0DNc8A,Episode,0:30:06,RH,7/18/1975,A,,1,1,ryanshope3316
"=HYPERLINK(""https://youtu.be/KkEmmDb0iV8"", ""Link"")",KkEmmDb0iV8,Episode,0:30:01,RH,7/24/1975,A,,1,1,ryanshope3316
"=HYPERLINK(""https://youtu.be/cnC8LwEd_Mc"", ""Link"")",cnC8LwEd_Mc,Episode,0:28:31,RH,7/28/1975,A,,1,1,ryanshope3316
"=HYPERLINK(""https://youtu.be/K2L0KnG9GzU"", ""Link"")",K2L0KnG9GzU,Opening and Closing,0:01:14,RH,08/07/1975,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/WNhBvuR7-Ak"", ""Link"")",WNhBvuR7-Ak,Closing,0:00:56,RH,09/01/1975,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/IaiUxA7AjNw"", ""Link"")",IaiUxA7AjNw,Cast and Prod Closing,0:00:53,RH,09/16/1975,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/ku5PcI_Isfc"", ""Link"")",ku5PcI_Isfc,Clip,0:02:17,RH,11/01/1975,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/140bzmpCKIo"", ""Link"")",140bzmpCKIo,Closing,0:00:53,RH,11/14/1975,B,,1,1,retronewfoundland
"=HYPERLINK(""https://youtu.be/6JReC5Y0ZBw"", ""Link"")",6JReC5Y0ZBw,Kate Mulgrew as Mary Ryan,0:07:30,RH,11/18/1975,A,,1,1,ryanshope3316
"=HYPERLINK(""https://youtu.be/lIIG8Qx4Cto"", ""Link"")",lIIG8Qx4Cto,Eplisode clip,0:09:27,RH,12/23/1975,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/tLZFO_TKkps"", ""Link"")",tLZFO_TKkps,Xmas Eve Minisode,0:12:38,RH,12/24/1975,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/-bKLi0K1s8I"", ""Link"")",-bKLi0K1s8I,Xmas,0:00:41,RH,12/24/1975,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/3dAMLa9mPAg"", ""Link"")",3dAMLa9mPAg,Christmas Day,0:14:24,RH,12/25/1975,A,P_aba2411d,1,2,disabled1955
"=HYPERLINK(""https://youtu.be/9iGzwAYeOg4"", ""Link"")",9iGzwAYeOg4,Christmas Day,0:08:03,RH,12/25/1975,A,P_aba2411d,2,2,disabled1955
"=HYPERLINK(""https://youtu.be/XGy-mKWj3Ik"", ""Link"")",XGy-mKWj3Ik,David Caruso,0:00:30,RH,01/01/1976,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/RwB60vuepMk"", ""Link"")",RwB60vuepMk,Closing,0:01:02,RH,01/08/1976,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/_8FCrL3-gjQ"", ""Link"")",_8FCrL3-gjQ,Clip,0:10:18,RH,01/09/1976,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/rVPEMz6lJHs"", ""Link"")",rVPEMz6lJHs,Eplisode clip,0:02:51,RH,02/18/1976,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/_NDR19iejuM"", ""Link"")",_NDR19iejuM,Roger's Apartment,0:05:47,RH,02/20/1976,A,,1,1,retronewfoundland
"=HYPERLINK(""https://youtu.be/RekOtP9aVS0"", ""Link"")",RekOtP9aVS0,Closing,0:01:00,RH,2/20/1976,B,,1,1,retronewfoundland
"=HYPERLINK(""https://youtu.be/0oX6AT-riUQ"", ""Link"")",0oX6AT-riUQ,Stairwell chase,0:01:33,RH,2/20/1976,A,,1,1,retronewfoundland
"=HYPERLINK(""https://youtu.be/ex4pWSyGDLU"", ""Link"")",ex4pWSyGDLU,Closing,0:00:46,RH,2/24/1976,B,,1,1,retronewfoundland
"=HYPERLINK(""https://youtu.be/mt7_yOr695g"", ""Link"")",mt7_yOr695g,Closing,0:00:40,RH,02/26/1976,B,,1,1,retronewfoundland
"=HYPERLINK(""https://youtu.be/0o7jSiJHzBw"", ""Link"")",0o7jSiJHzBw,Eplisode clip,0:03:12,RH,04/12/1976,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/LFrjAzTgiqs"", ""Link"")",LFrjAzTgiqs,Kate Mulgrew as Mary Ryan,0:11:34,RH,05/03/1976,A,,1,1,ryanshope3316
"=HYPERLINK(""https://youtu.be/urszLOoCG9o"", ""Link"")",urszLOoCG9o,Episode clip,0:02:57,RH,5/3/1976,A,,1,1,ryanshope3316
"=HYPERLINK(""https://youtu.be/0GW9LREqTrY"", ""Link"")",0GW9LREqTrY,Closing,0:01:17,RH,05/14/1976,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/aT-bztjQFPg"", ""Link"")",aT-bztjQFPg,Kate Mulgrew as Mary Ryan,0:10:42,RH,06/18/1976,A,,1,1,ryanshope3316
"=HYPERLINK(""https://youtu.be/cTfVzhT8D4A"", ""Link"")",cTfVzhT8D4A,Minisode,0:13:23,RH,06/30/1976,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/A_KchwOY-9U"", ""Link"")",A_KchwOY-9U,Closing,0:00:25,RH,06/30/1976,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/c4suR5ll_8U"", ""Link"")",c4suR5ll_8U,Closing,0:01:42,RH,08/17/1976,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/FGlmHjm4NwQ"", ""Link"")",FGlmHjm4NwQ,Episode,0:22:00,RH,09/20/1976,B,,1,1,ryanshope3316
"=HYPERLINK(""https://youtu.be/HX0X7qub2dc"", ""Link"")",HX0X7qub2dc,Opening,0:00:31,RH,11/05/1976,B,,1,1,ryanshope3316
"=HYPERLINK(""https://youtu.be/DoLL9v04hT4"", ""Link"")",DoLL9v04hT4,Episode,0:21:54,RH,11/08/1976,B,,1,1,ryanshope3316
"=HYPERLINK(""https://youtu.be/Jv0RgNrFTFI"", ""Link"")",Jv0RgNrFTFI,Eplisode clip,0:07:37,RH,11/30/1976,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/VZCU0ndwcDg"", ""Link"")",VZCU0ndwcDg,Minisode,0:13:55,RH,01/01/1977,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/RzEkrDfb3YY"", ""Link"")",RzEkrDfb3YY,Betty Buckley,0:03:14,RH,01/01/1977,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/RaEHhuzFUYc"", ""Link"")",RaEHhuzFUYc,James Naughton On Ryans Hope,0:04:02,RH,01/01/1977,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/8QeYdpaN8Ck"", ""Link"")",8QeYdpaN8Ck,Episode content,0:05:04,RH,02/04/1977,A,P_ad2c4697,1,2,disabled1955
"=HYPERLINK(""https://youtu.be/THtX-N73yyI"", ""Link"")",THtX-N73yyI,Episode content,0:09:55,RH,02/04/1977,A,P_ad2c4697,2,2,disabled1955
"=HYPERLINK(""https://youtu.be/izZ4zK_6_Ao"", ""Link"")",izZ4zK_6_Ao,Episode content,0:07:49,RH,02/07/1977,A,P_7dc8058b,1,2,disabled1955
"=HYPERLINK(""https://youtu.be/f9s2pdyg33Q"", ""Link"")",f9s2pdyg33Q,Episode content,0:06:24,RH,02/07/1977,A,P_7dc8058b,2,2,disabled1955
"=HYPERLINK(""https://youtu.be/qBeolX4cXIo"", ""Link"")",qBeolX4cXIo,Episodes,0:10:52,RH,02/08/1977,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/SOBXRODNNCA"", ""Link"")",SOBXRODNNCA,Eplisode clip,0:04:34,RH,03/08/1977,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/WSREQfZyo_Y"", ""Link"")",WSREQfZyo_Y,Michael Beck on Ryan's Hope,0:01:27,RH,6/1/1977,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/oQztCArBsBA"", ""Link"")",oQztCArBsBA,Episode 515,0:21:08,RH,07/01/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/NJOz_d8BRa8"", ""Link"")",NJOz_d8BRa8,Episode 516,0:21:58,RH,07/04/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/Ue04okZd-nI"", ""Link"")",Ue04okZd-nI,Episode 517,0:22:13,RH,07/05/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/2doGMzTmv_8"", ""Link"")",2doGMzTmv_8,Episode 518,0:22:05,RH,07/06/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/TkVrzZePrvY"", ""Link"")",TkVrzZePrvY,Episode 519,0:21:46,RH,07/07/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/ELfAUOG365s"", ""Link"")",ELfAUOG365s,Episode 520,0:21:58,RH,07/08/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/UJXWTs0DDqs"", ""Link"")",UJXWTs0DDqs,Episode 521,0:21:29,RH,07/11/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/cSJJKwH-bgI"", ""Link"")",cSJJKwH-bgI,Episode 522,0:31:33,RH,07/12/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/zC9i2rHoo28"", ""Link"")",zC9i2rHoo28,Episode 523,0:21:55,RH,07/13/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/0pmJZsDFvhE"", ""Link"")",0pmJZsDFvhE,Episode 524,0:21:48,RH,07/14/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/pyE_nRsmdQg"", ""Link"")",pyE_nRsmdQg,Episodes 525 and 526,0:57:41,RH,07/15/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/l-YArWvlA3A"", ""Link"")",l-YArWvlA3A,Episodes 527 and 528,0:59:51,RH,07/19/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/jYMaw1VDj1A"", ""Link"")",jYMaw1VDj1A,Episodes 529 and 530,0:59:55,RH,07/21/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/y_6qLpOaFR4"", ""Link"")",y_6qLpOaFR4,Episodes 531 and 532,0:59:52,RH,07/25/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/5kbPVwW6AIg"", ""Link"")",5kbPVwW6AIg,Episode 533,0:30:03,RH,07/27/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/XdhVGw9Nizg"", ""Link"")",XdhVGw9Nizg,Episode 534,0:30:01,RH,07/28/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/uhgK6nrAwzA"", ""Link"")",uhgK6nrAwzA,Episode 535,0:30:02,RH,07/29/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/WKjmL9uNTFg"", ""Link"")",WKjmL9uNTFg,Clip #24,0:06:42,RH,08/01/1977,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/SHoT0P85O7U"", ""Link"")",SHoT0P85O7U,Episode 536,0:27:28,RH,08/01/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/UO2Uk_UQ9Ek"", ""Link"")",UO2Uk_UQ9Ek,Episode 537,0:30:07,RH,08/02/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/3vRrQ30CoII"", ""Link"")",3vRrQ30CoII,Episode 538,0:26:58,RH,08/03/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/Aqk5xSoDV5s"", ""Link"")",Aqk5xSoDV5s,Episodes 539 and 540,0:59:35,RH,08/04/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/Z4KehFo7_i0"", ""Link"")",Z4KehFo7_i0,Episodes 541 and 542,0:56:44,RH,08/08/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/TMVUK82U1AM"", ""Link"")",TMVUK82U1AM,Episodes 543 and 544,0:58:36,RH,08/10/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/2qegyyTZlbk"", ""Link"")",2qegyyTZlbk,Episodes 545 and 546,0:59:50,RH,08/12/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/XysAClMbPIg"", ""Link"")",XysAClMbPIg,Episodes 547 and 548,0:52:59,RH,08/16/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/mpzxNInuklY"", ""Link"")",mpzxNInuklY,Episode 549,0:24:34,RH,08/18/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/NVsMzFKEJjo"", ""Link"")",NVsMzFKEJjo,Episode 550,0:30:02,RH,08/19/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/lx5f4apyJmU"", ""Link"")",lx5f4apyJmU,Episodes 551 and 552,0:59:34,RH,08/22/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/xoiYvrbo3IQ"", ""Link"")",xoiYvrbo3IQ,Episodes 553 and 554,0:55:34,RH,08/24/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/Cbrz_AKTr1c"", ""Link"")",Cbrz_AKTr1c,Episodes 555 and 556,0:57:23,RH,08/26/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/otfQMpR4mxw"", ""Link"")",otfQMpR4mxw,Episodes 557 and 558,1:00:01,RH,08/30/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/r2tkvZsa8BI"", ""Link"")",r2tkvZsa8BI,Clip #25b,0:08:53,RH,09/01/1977,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/aUw-aEI9al8"", ""Link"")",aUw-aEI9al8,Clip #25a,0:06:49,RH,09/01/1977,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/EWaonHy6jtw"", ""Link"")",EWaonHy6jtw,Episodes 559 and 560,1:00:02,RH,09/01/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/pN_-Y4qWoUI"", ""Link"")",pN_-Y4qWoUI,Episodes 561 and 562,1:00:02,RH,09/05/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/MBbdLvG6KRU"", ""Link"")",MBbdLvG6KRU,Episodes 563 and 564,1:00:01,RH,09/07/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/C7aVhuNkL7o"", ""Link"")",C7aVhuNkL7o,Episodes 565 and 566,1:00:02,RH,09/09/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/QreEwqmMPgE"", ""Link"")",QreEwqmMPgE,Episodes 567 and 568,1:00:01,RH,09/13/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/c7JtQWQEaaM"", ""Link"")",c7JtQWQEaaM,Episodes 569 and 570,1:00:00,RH,09/15/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/XQP11IF9Cgw"", ""Link"")",XQP11IF9Cgw,Episodes 571 and 572,1:00:00,RH,09/19/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/2SsCQMG3IDw"", ""Link"")",2SsCQMG3IDw,Episodes 573 and 574,1:00:01,RH,09/21/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/pSQ0SdSadyw"", ""Link"")",pSQ0SdSadyw,Episodes 575 and 576,1:00:01,RH,09/23/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/ugzMDsetgkY"", ""Link"")",ugzMDsetgkY,Episodes 577 and 578,1:00:01,RH,09/27/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/uwA0b-SNL4c"", ""Link"")",uwA0b-SNL4c,Episodes 579 and 580,1:00:01,RH,09/29/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/bXpvoVVDhu4"", ""Link"")",bXpvoVVDhu4,Clip #26,0:04:24,RH,10/01/1977,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/j3Fe6j4eMtk"", ""Link"")",j3Fe6j4eMtk,Episodes 581 and 582,0:43:50,RH,10/03/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/899hyrLaExM"", ""Link"")",899hyrLaExM,Episodes 583 and 584,1:00:40,RH,10/05/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/_Cf86Krmyqk"", ""Link"")",_Cf86Krmyqk,Episodes 585 and 586,0:59:59,RH,10/07/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/VZ7EGDSk14U"", ""Link"")",VZ7EGDSk14U,Episodes 587 and 588,0:59:58,RH,10/11/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/aErpgUTtiCA"", ""Link"")",aErpgUTtiCA,Episodes 589 and 590,0:57:24,RH,10/13/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/G_2cG81-Yd8"", ""Link"")",G_2cG81-Yd8,Episodes 591 and 592,1:00:01,RH,10/17/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/SkSyYMl1lAs"", ""Link"")",SkSyYMl1lAs,Episodes 593 and 594,1:00:11,RH,10/19/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/wEtaFIJw23I"", ""Link"")",wEtaFIJw23I,Episode 595,0:22:22,RH,10/21/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/PLw18_gj1oY"", ""Link"")",PLw18_gj1oY,Episode 596,0:22:40,RH,10/24/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/sJ4QcNiSf-I"", ""Link"")",sJ4QcNiSf-I,Episodes 597 and 598,0:59:59,RH,10/25/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/kLT1sxCNHYE"", ""Link"")",kLT1sxCNHYE,Episodes 599 and 600,1:00:00,RH,10/27/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/L0aJTz4CDTs"", ""Link"")",L0aJTz4CDTs,Episodes 601 and 602,0:38:29,RH,10/31/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/B48-5JFfhFs"", ""Link"")",B48-5JFfhFs,Clip #27,0:06:36,RH,11/01/1977,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/EanItsKkY0w"", ""Link"")",EanItsKkY0w,Episodes 602 and 603,0:38:31,RH,11/01/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/SYyNHUMsQ7E"", ""Link"")",SYyNHUMsQ7E,Episodes 603 and 604,0:38:51,RH,11/02/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/57Rpot-M7XU"", ""Link"")",57Rpot-M7XU,Episode 605,0:34:09,RH,11/04/1977,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/TPznIJVM17c"", ""Link"")",TPznIJVM17c,Clip #28,0:07:49,RH,12/01/1977,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/WyRSrSLcN-Y"", ""Link"")",WyRSrSLcN-Y,Clip #30,0:07:12,RH,01/01/1978,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/SBClf-PQ0EI"", ""Link"")",SBClf-PQ0EI,Closing,0:00:30,RH,01/01/1978,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/TEJ5GSCZEeA"", ""Link"")",TEJ5GSCZEeA,Pat Ryan High On Crystal Meth (Then Known As Ice),0:03:27,RH,01/01/1978,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/JqJ5BaNcaj4"", ""Link"")",JqJ5BaNcaj4,Opening,0:00:30,RH,1/1/1978,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/RZnWM4WOsm0"", ""Link"")",RZnWM4WOsm0,Clip #31,0:04:57,RH,02/01/1978,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/x_0x1-YGNfE"", ""Link"")",x_0x1-YGNfE,Clip #32,0:09:02,RH,03/01/1978,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/bhaF2_cuLmM"", ""Link"")",bhaF2_cuLmM,Clip #33b,0:07:53,RH,04/01/1978,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/cP_Dc4uhkEg"", ""Link"")",cP_Dc4uhkEg,Clip #33a,0:08:00,RH,04/01/1978,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/sRucNDAQ_Ak"", ""Link"")",sRucNDAQ_Ak,Clip #34,0:05:51,RH,05/01/1978,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/oLTOlTxlSx0"", ""Link"")",oLTOlTxlSx0,Clip #35,0:08:35,RH,06/01/1978,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/HWOas3PKiLQ"", ""Link"")",HWOas3PKiLQ,Clip #36,0:07:04,RH,07/01/1978,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/0lttgjFaOGQ"", ""Link"")",0lttgjFaOGQ,Sarah Felder's first scenes as Siobhan,0:24:06,RH,07/6/1978,A,,1,1,soapfoxkirby
"=HYPERLINK(""https://youtu.be/IKZUJz2MR1o"", ""Link"")",IKZUJz2MR1o,Clip #37b,0:02:48,RH,08/01/1978,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/ZrFjcfIk5cM"", ""Link"")",ZrFjcfIk5cM,Clip #37a,0:10:00,RH,08/01/1978,A,,1,1,disabled1955
