YouTube link,id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/WQWOHijhg_w"", ""Link"")",WQWOHijhg_w,Lance Henriksen,0:02:45,RH,01/01/1980,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/Drb5S3-dgCQ"", ""Link"")",Drb5S3-dgCQ,Oscar Winner Joan Fontaine,0:12:58,RH,01/01/1980,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/kSV47eQ5nU0"", ""Link"")",kSV47eQ5nU0,Maxwell Caulfield,0:03:53,RH,01/01/1980,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/bcPbmf7RTIQ"", ""Link"")",bcPbmf7RTIQ,Promo - Ryan's Hope Enters The 1980s,0:00:37,RH,1/1/1980,B,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/GZot9_guJHo"", ""Link"")",GZot9_guJHo,Opening,0:00:31,RH,02/29/1980,B,,1,1,ryanshope3316
"=HYPERLINK(""https://youtu.be/N258N1DQlGg"", ""Link"")",N258N1DQlGg,Opening,0:00:31,RH,03/03/1980,B,,1,1,ryanshope3316
"=HYPERLINK(""https://youtu.be/rBjzg5BQGV0"", ""Link"")",rBjzg5BQGV0,Episode 1228,0:29:52,RH,03/26/1980,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/LSmLcvX9QWI"", ""Link"")",LSmLcvX9QWI,Episode 1229,0:29:50,RH,03/27/1980,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/r8p84ZWUuq8"", ""Link"")",r8p84ZWUuq8,Episode 1230,0:21:44,RH,03/28/1980,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/R_KCF-oLfi0"", ""Link"")",R_KCF-oLfi0,Episode 1231,0:29:51,RH,03/31/1980,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/rkxbfQ68PqI"", ""Link"")",rkxbfQ68PqI,Episode 1232,0:29:50,RH,04/01/1980,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/8W0gyYK8rRw"", ""Link"")",8W0gyYK8rRw,Episode 1233,0:29:59,RH,04/02/1980,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/SAAzSgPMZqo"", ""Link"")",SAAzSgPMZqo,Episode 1234,0:29:59,RH,04/03/1980,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/cn81yZdPxTA"", ""Link"")",cn81yZdPxTA,Episode 1235,0:29:58,RH,04/04/1980,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/k9ey2eVmnkA"", ""Link"")",k9ey2eVmnkA,Episode 1236,0:15:06,RH,04/07/1980,A,P_3e57bf5f,1,2,shessosweet88
"=HYPERLINK(""https://youtu.be/ayQc5r_HMck"", ""Link"")",ayQc5r_HMck,Episode 1236,0:13:00,RH,04/07/1980,A,P_3e57bf5f,2,2,shessosweet88
"=HYPERLINK(""https://youtu.be/G6vbRgv6M3g"", ""Link"")",G6vbRgv6M3g,Episode 1237,0:30:04,RH,04/08/1980,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/TkrTx8tKomc"", ""Link"")",TkrTx8tKomc,Episode 1238,0:30:15,RH,04/09/1980,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/Pf04Ry_VGGk"", ""Link"")",Pf04Ry_VGGk,Episode 1239,0:30:07,RH,04/10/1980,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/YctYVV3O22w"", ""Link"")",YctYVV3O22w,Episode 1240,0:29:58,RH,04/11/1980,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/0RS6QgSZEBA"", ""Link"")",0RS6QgSZEBA,Episode 1241,0:21:13,RH,04/14/1980,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/ZC3bCVedmeU"", ""Link"")",ZC3bCVedmeU,Episode 1242,0:30:12,RH,04/15/1980,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/d2zNKktYDQk"", ""Link"")",d2zNKktYDQk,Episode 1243,0:30:31,RH,04/16/1980,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/06V1Rxd2x7Y"", ""Link"")",06V1Rxd2x7Y,Episode 1244,0:29:56,RH,04/17/1980,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/9gtu76Vgx0s"", ""Link"")",9gtu76Vgx0s,Episode 1245,0:29:57,RH,04/18/1980,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/Hs0omTlNGWY"", ""Link"")",Hs0omTlNGWY,Episode 1246,0:30:01,RH,04/21/1980,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/xbhnNbnwzGE"", ""Link"")",xbhnNbnwzGE,Episode 1247,0:27:07,RH,04/22/1980,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/TGVv99yaB50"", ""Link"")",TGVv99yaB50,Episode 1248,0:29:58,RH,04/23/1980,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/lO1TFb39WIk"", ""Link"")",lO1TFb39WIk,Episode 1249,0:30:06,RH,04/24/1980,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/rb4YlmbPP80"", ""Link"")",rb4YlmbPP80,Episode 1250,0:30:07,RH,04/25/1980,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/jEiBIieySbs"", ""Link"")",jEiBIieySbs,Episode 1251,0:29:33,RH,04/28/1980,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/BFpwzQzdpKg"", ""Link"")",BFpwzQzdpKg,Episode 1252,0:29:59,RH,04/29/1980,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/jYHwynkhX7g"", ""Link"")",jYHwynkhX7g,Episode 1253,0:27:26,RH,04/30/1980,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/H3vEd3QGSIY"", ""Link"")",H3vEd3QGSIY,Episode 1254,0:30:00,RH,05/01/1980,A,,1,1,shessosweet88
"=HYPERLINK(""https://youtu.be/WR9xwoZ9Sj4"", ""Link"")",WR9xwoZ9Sj4,Episode 1255,0:30:10,RH,05/02/1980,A,,1,1,shessosweet88
