YouTube link,id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/nHlFJL8dB3c"", ""Link"")",nHlFJL8dB3c,Promo,0:00:20,SB,1/1/1984,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/X8-2kufW0Gc"", ""Link"")",X8-2kufW0Gc,Promo,0:00:21,SB,1/1/1984,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/LWJwY2_kFjs"", ""Link"")",LWJwY2_kFjs,Promo,0:00:21,SB,1/1/1984,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/GO_G-f-Odcw"", ""Link"")",GO_G-f-Odcw,Tim Robbins on Santa Barbara,0:02:14,SB,6/1/1984,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/RE6Nda2FIKE"", ""Link"")",RE6Nda2FIKE,Episode 1,0:40:57,SB,07/30/1984,A,,1,1,santabarbaratvseries9139
"=HYPERLINK(""https://youtu.be/Pp4BxbZIrPU"", ""Link"")",Pp4BxbZIrPU,First and Last appearance of Todd McKee,0:06:58,SB,7/30/1984,A,,1,1,kellycapwellrobinwright
"=HYPERLINK(""https://youtu.be/CK2AGk5EyEo"", ""Link"")",CK2AGk5EyEo,Episode 2,0:42:15,SB,07/31/1984,A,,1,1,santabarbaratvseries9139
"=HYPERLINK(""https://youtu.be/KYBST0pRluk"", ""Link"")",KYBST0pRluk,Episode 3,0:41:48,SB,08/01/1984,A,,1,1,santabarbaratvseries9139
"=HYPERLINK(""https://youtu.be/yA_KIKYNKWE"", ""Link"")",yA_KIKYNKWE,Episode 4,0:41:27,SB,08/02/1984,A,,1,1,santabarbaratvseries9139
"=HYPERLINK(""https://youtu.be/W1mx9NKn5iM"", ""Link"")",W1mx9NKn5iM,Episode 5,0:42:05,SB,08/03/1984,A,,1,1,santabarbaratvseries9139
"=HYPERLINK(""https://youtu.be/2ZjWqNW_GqI"", ""Link"")",2ZjWqNW_GqI,Episode 6,0:39:23,SB,08/06/1984,A,,1,1,santabarbaratvseries9139
"=HYPERLINK(""https://youtu.be/r2IGydCTG_w"", ""Link"")",r2IGydCTG_w,Episode 7,0:42:03,SB,08/07/1984,A,,1,1,santabarbaratvseries9139
"=HYPERLINK(""https://youtu.be/py3L5Hgf_co"", ""Link"")",py3L5Hgf_co,Episode 8,0:41:40,SB,08/08/1984,A,,1,1,santabarbaratvseries9139
