YouTube link,id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/14kJiGMBXfw"", ""Link"")",14kJiGMBXfw,First Episode,0:01:02,SFT,09/03/1951,A,,1,1,marystuart3644
"=HYPERLINK(""https://youtu.be/RiLQKXxwWgc"", ""Link"")",RiLQKXxwWgc,Episode,0:14:26,SFT,09/3/1951,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/9aOgdn0JRFg"", ""Link"")",9aOgdn0JRFg,"Jo, Arthur and Sam Reynolds",0:03:34,SFT,01/01/1952,A,,1,1,marystuart3644
"=HYPERLINK(""https://youtu.be/P3HZB1nzdEw"", ""Link"")",P3HZB1nzdEw,Episode,0:14:28,SFT,01/30/1952,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/ZJNkkDCUh6o"", ""Link"")",ZJNkkDCUh6o,Episode,0:14:38,SFT,03/2/1952,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/9wwBI4Iv6do"", ""Link"")",9wwBI4Iv6do,Marge is Pregnant!,0:02:40,SFT,06/01/1952,A,,1,1,marystuart3644
"=HYPERLINK(""https://youtu.be/E4cxZOrCy4U"", ""Link"")",E4cxZOrCy4U,Episode content,0:14:26,SFT,12/13/1952,A,,1,1,moviecraft
"=HYPERLINK(""https://youtu.be/zmSuCgk1-K0"", ""Link"")",zmSuCgk1-K0,Episode content,0:13:52,SFT,03/27/1953,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/BTolayyaopU"", ""Link"")",BTolayyaopU,Episode content,0:14:27,SFT,03/27/1953,A,,1,1,edwynnsanchez
"=HYPERLINK(""https://youtu.be/96_vgFM3aEk"", ""Link"")",96_vgFM3aEk,Episode content,0:14:46,SFT,04/03/1953,A,,1,1,moviecraft
"=HYPERLINK(""https://youtu.be/JlPkaOtLE3Q"", ""Link"")",JlPkaOtLE3Q,Episode,0:14:32,SFT,04/4/1953,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/ry75s3HJaTc"", ""Link"")",ry75s3HJaTc,Episode content,0:14:35,SFT,08/19/1953,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/PkQEWuveQaM"", ""Link"")",PkQEWuveQaM,Episode content,0:14:36,SFT,08/19/1953,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/B_UB7rsJmnA"", ""Link"")",B_UB7rsJmnA,Episode content,0:14:20,SFT,07/09/1954,A,,1,1,edwynnsanchez
"=HYPERLINK(""https://youtu.be/aWrYMzE0CP4"", ""Link"")",aWrYMzE0CP4,Episode content,0:15:10,SFT,01/01/1960,A,,1,1,moviecraft
