YouTube link,id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/Dp-em0WR0b8"", ""Link"")",Dp-em0WR0b8,Opening Theme,0:00:31,SFT,01/01/1980,B,,1,1,wedge8874
"=HYPERLINK(""https://youtu.be/xJAHRZE-5fQ"", ""Link"")",xJAHRZE-5fQ,Promo - Travis Searches For Kidnapped Liza,0:00:20,SFT,1/1/1980,B,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/kLMG6NJMMZE"", ""Link"")",kLMG6NJMMZE,Promo - Stephanie Wyatt,0:00:21,SFT,1/1/1980,B,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/t4hlf9Kc7ec"", ""Link"")",t4hlf9Kc7ec,Promo,0:00:20,SFT,1/1/1980,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/WLUpZI4cC18"", ""Link"")",WLUpZI4cC18,Episode,0:15:14,SFT,01/24/1980,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/cpExINdtEHc"", ""Link"")",cpExINdtEHc,Episode,0:20:47,SFT,01/25/1980,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/3misGPQz66M"", ""Link"")",3misGPQz66M,Episode,0:20:34,SFT,01/28/1980,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/VAXmnhOATjM"", ""Link"")",VAXmnhOATjM,Episode,0:18:19,SFT,01/29/1980,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/TTDf8MG3S3k"", ""Link"")",TTDf8MG3S3k,Episode,0:20:31,SFT,01/30/1980,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/ouDxOlS2Ix0"", ""Link"")",ouDxOlS2Ix0,Episode,0:20:41,SFT,01/31/1980,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/WObBSV4FMN8"", ""Link"")",WObBSV4FMN8,Episode,0:21:26,SFT,02/1/1980,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/v6x-o5dnp5M"", ""Link"")",v6x-o5dnp5M,Episode,0:20:32,SFT,05/28/1980,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/oxjPfNPVn8g"", ""Link"")",oxjPfNPVn8g,Episode,0:20:19,SFT,05/29/1980,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/Al1u1DPDIso"", ""Link"")",Al1u1DPDIso,Episode,0:20:27,SFT,05/30/1980,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/rcFRpakuO_4"", ""Link"")",rcFRpakuO_4,Episode,0:24:17,SFT,06/2/1980,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/dCyp_baLNDQ"", ""Link"")",dCyp_baLNDQ,Episode,0:18:18,SFT,06/3/1980,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/GwYe4XOXj8I"", ""Link"")",GwYe4XOXj8I,Episode,0:14:05,SFT,06/4/1980,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/y5350BlmRsc"", ""Link"")",y5350BlmRsc,Episode,0:20:50,SFT,06/5/1980,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/QsN7Mf3m24Y"", ""Link"")",QsN7Mf3m24Y,Episode,0:20:03,SFT,06/6/1980,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/GPaoCgN8toc"", ""Link"")",GPaoCgN8toc,Episode,0:20:21,SFT,06/9/1980,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/cfzNbsYTeNU"", ""Link"")",cfzNbsYTeNU,Episode,0:19:48,SFT,06/10/1980,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/k_zRqCoTsrg"", ""Link"")",k_zRqCoTsrg,Episode,0:20:17,SFT,06/11/1980,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/lZMP48BzIBk"", ""Link"")",lZMP48BzIBk,Episode,0:20:34,SFT,06/12/1980,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/my4HTAKqMk4"", ""Link"")",my4HTAKqMk4,Episode,0:20:46,SFT,06/13/1980,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/39I-omNjOAA"", ""Link"")",39I-omNjOAA,Episode,0:18:33,SFT,06/16/1980,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/aQIK_aytyus"", ""Link"")",aQIK_aytyus,Episode,0:19:55,SFT,06/17/1980,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/_FKUR8jqhAc"", ""Link"")",_FKUR8jqhAc,Episode,0:19:18,SFT,06/18/1980,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/xuV1iP44IX0"", ""Link"")",xuV1iP44IX0,Episode,0:20:45,SFT,06/19/1980,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/Sm8xepmSiow"", ""Link"")",Sm8xepmSiow,Episodes,0:39:41,SFT,06/20/1980,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/tME1ZoLT6qw"", ""Link"")",tME1ZoLT6qw,Episode,0:19:48,SFT,06/24/1980,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/LdZpKQgPdlE"", ""Link"")",LdZpKQgPdlE,Episode,0:19:53,SFT,06/25/1980,A,,1,1,mitch6225
"=HYPERLINK(""https://youtu.be/iCW_Sjj1V-M"", ""Link"")",iCW_Sjj1V-M,Episode,0:11:49,SFT,06/26/1980,A,P_2c52f848,1,2,mitch6225
"=HYPERLINK(""https://youtu.be/vvJ42-xkFAE"", ""Link"")",vvJ42-xkFAE,Episode,0:08:20,SFT,06/26/1980,A,P_2c52f848,2,2,mitch6225
"=HYPERLINK(""https://youtu.be/XM1d_LZqK_w"", ""Link"")",XM1d_LZqK_w,Episode,0:20:04,SFT,06/27/1980,A,,1,1,mitch6225
