id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/vEK9TAQUzJw"", ""Link"")",Virginia Dwyer,02:55,SS,01/01/1955,A,,1,1,lancejackson
"=HYPERLINK(""https://youtu.be/v6vb0yAJ28Y"", ""Link"")",Episode,14:27,SS,02/18/1955,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/dPsl_M4EGsY"", ""Link"")",Episode,14:27,SS,02/18/1955,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/xyPNjLRApLE"", ""Link"")",Episode,14:27,SS,02/18/1955,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/wCfDYoHxq-0"", ""Link"")",Episode,00:14:43,SS,12/01/1955,A,,1,1,pannoni
"=HYPERLINK(""https://youtu.be/5UbJunv12dk"", ""Link"")",Episode,13:54,SS,12/01/1955,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/bKkvr2qk4Cw"", ""Link"")",Episode,14:39,SS,11/08/1957,A,,1,1,moviecraft
"=HYPERLINK(""https://youtu.be/LBVozfD0uF8"", ""Link"")",Episode,13:18,SS,02/26/1960,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/Pef0Szmh01M"", ""Link"")",Episode,13:19,SS,02/26/1960,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/7wiEUZW477U"", ""Link"")",Episode,13:19,SS,02/26/1960,A,,1,1,obsinternational
"=HYPERLINK(""https://youtu.be/nFXfvQ5gyxI"", ""Link"")",Closing credits,02:11,SS,07/04/1960,B,,1,1,lancejackson
"=HYPERLINK(""https://youtu.be/OJ2ZgspTS2k"", ""Link"")",Episode,13:52,SS,04/20/1961,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/YeAj6ZLF0fg"", ""Link"")",Episode,13:52,SS,04/20/1963,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/0S7lefe_o7o"", ""Link"")",Eplisode,26:03,SS,01/01/1966,A,,1,1,edwynsanchez
"=HYPERLINK(""https://youtu.be/I5z2YABozOo"", ""Link"")",Episode,28:36,SS,01/01/1966,A,,1,1,moviecraft
"=HYPERLINK(""https://youtu.be/trHjHRqoh-M"", ""Link"")",Promo,00:20,SS,01/01/1967,B,,1,1,robwargo
"=HYPERLINK(""https://youtu.be/fxpJ0PLfIWk"", ""Link"")",Eplisode,21:19,SS,04/01/1968,A,,1,1,edwynsanchez
"=HYPERLINK(""https://youtu.be/zHkug_obYsQ"", ""Link"")",Closing credits,00:44,SS,01/01/1972,B,,1,1,robwargo
"=HYPERLINK(""https://youtu.be/VCKMLiZ1clE"", ""Link"")",Episode,27:10,SS,04/26/1973,A,,1,1,robwargo
