id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/ZgeFp6L3Rt0"", ""Link"")",Opening,00:36,SSB,01/01/1997,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/htmi8PSNkLc"", ""Link"")",Opening,00:36,SSB,01/01/1997,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/Q_T63_VqiXw"", ""Link"")",Promo,00:19,SSB,11/03/1997,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/B3AMq74eWvo"", ""Link"")",Opening,0:12,SSB,01/01/1998,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/I1MbUPyLEzk"", ""Link"")",Promo,2:12,SSB,02/16/1998,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/Rr98hZWnyCc"", ""Link"")",Closing,00:44,SSB,03/09/1998,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/_DAuctHOMZ8"", ""Link"")",Promo,00:17,SSB,04/17/1998,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/ctCF1he-MvU"", ""Link"")",Promo,00:18,SSB,04/20/1998,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/aPCNafqy_5Q"", ""Link"")",Promo,0:19,SSB,04/27/1998,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/2uKBCOqM6z0"", ""Link"")",Promo,0:18,SSB,05/01/1998,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/zDkeYcFOdlI"", ""Link"")",Promo,00:18,SSB,05/06/1998,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/1VDqtu7j0xI"", ""Link"")",Promo,0:18,SSB,05/17/1998,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/qfKKJ7t49Ok"", ""Link"")",Promo,0:18,SSB,06/04/1998,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/eAs6NqLVv1k"", ""Link"")",Promo,00:17,SSB,06/16/1998,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/uuhsvGiDbMA"", ""Link"")",Promo,00:09,SSB,06/17/1998,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/2V4KkAQtkBU"", ""Link"")",Promo,00:19,SSB,07/01/1998,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/2rIMMjG1ffY"", ""Link"")",Promo,0:08,SSB,07/06/1998,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/j_4axMabOqs"", ""Link"")",Promo,1:49,SSB,07/10/1998,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/Q4J40xOFIyA"", ""Link"")",Promo,0:18,SSB,07/17/1998,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/D5KBqk4NDuU"", ""Link"")",Promo,00:21,SSB,07/24/1998,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/GzJmHjhyPcg"", ""Link"")",Recap,0:32,SSB,08/04/1998,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/ol6jvwRpgxA"", ""Link"")",Recap,00:32,SSB,08/06/1998,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/dn351PiyG04"", ""Link"")",Recap,00:31,SSB,08/07/1998,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/vozJ9rxfBQg"", ""Link"")",Recap,0:31,SSB,08/11/1998,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/WyrT39wFW60"", ""Link"")",Recap,0:31,SSB,08/12/1998,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/8a4Hg6MJF9I"", ""Link"")",Recap,00:31,SSB,08/13/1998,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/gekV1rIjk2M"", ""Link"")",Promo,00:16,SSB,08/26/1998,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/cXzDCFgftGA"", ""Link"")",Promo 2,0:19,SSB,08/28/1998,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/2w58jsqQnbI"", ""Link"")",Promo 1,0:30,SSB,08/28/1998,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/FSw2qClhQYI"", ""Link"")",Closing,01:14,SSB,12/25/1998,B,,1,1,disabled1955
