id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/oPL3tVPUjNc"", ""Link"")",Best of Beverlee McKinsey,52:13,TX,01/01/1980,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/91oORCsIr6o"", ""Link"")",Opening Theme,00:38,TX,01/01/1980,B,,1,1,garrett
"=HYPERLINK(""https://youtu.be/qWIwRvMdiEg"", ""Link"")",Promo - The Debut Of Texas,0:21,TX,1/1/1980,B,,1,1,fyi
"=HYPERLINK(""https://youtu.be/4983w-sxGrE"", ""Link"")",Episode 001,42:51,TX,08/04/1980,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/173CuWs9MLU"", ""Link"")",Episode,42:51,TX,08/04/1980,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/HewBKp5isaI"", ""Link"")",Eplisode,42:54,TX,08/05/1980,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/a0vaI14nIK0"", ""Link"")",Eplisode,43:05,TX,08/06/1980,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/pl9Vp0u0GN4"", ""Link"")",Episode 004,42:58,TX,08/07/1980,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/nGreGq11Wj8"", ""Link"")",Episode 005,43:13,TX,08/08/1980,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/Ao1eEXzqBmU"", ""Link"")",Episode 006,43:14,TX,08/11/1980,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/1P2qR61cVkA"", ""Link"")",Episode 007,43:16,TX,08/12/1980,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/IQTJHWQEH60"", ""Link"")",Episode 008,43:04,TX,08/13/1980,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/dFM7regUKBc"", ""Link"")",Episode 009,43:09,TX,08/14/1980,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/SNBoMT2SzGY"", ""Link"")",Episode 010,42:59,TX,08/15/1980,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/ZN3l9UvZCVQ"", ""Link"")",Episode 011,43:09,TX,08/18/1980,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/9JkssabN97s"", ""Link"")",Episode 012,43:12,TX,08/19/1980,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/0dronCpBTYM"", ""Link"")",Episode 013,43:15,TX,08/20/1980,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/KN8x_Cu-UCo"", ""Link"")",Episode 014,43:13,TX,08/21/1980,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/I7TlEPrG9VM"", ""Link"")",Eplisode,58:25,TX,08/22/1980,A,,1,1,edwynsanchez
"=HYPERLINK(""https://youtu.be/RTfX7KwAYgo"", ""Link"")",Episode 015,43:14,TX,08/22/1980,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/Y_aYE4Ubx7c"", ""Link"")",Episode 016,43:06,TX,08/25/1980,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/JQ6ZOxTz-y8"", ""Link"")",Episode 017,43:05,TX,08/26/1980,A,,1,1,matthewsmith
