YouTube link,id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/oPL3tVPUjNc"", ""Link"")",oPL3tVPUjNc,Best of Beverlee McKinsey,0:52:13,TX,01/01/1980,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/91oORCsIr6o"", ""Link"")",91oORCsIr6o,Opening Theme,0:00:38,TX,01/01/1980,B,,1,1,wedge8874
"=HYPERLINK(""https://youtu.be/qWIwRvMdiEg"", ""Link"")",qWIwRvMdiEg,Promo - The Debut Of Texas,0:00:21,TX,1/1/1980,B,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/4983w-sxGrE"", ""Link"")",4983w-sxGrE,Episode 001,0:42:51,TX,08/04/1980,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/173CuWs9MLU"", ""Link"")",173CuWs9MLU,Episode,0:42:51,TX,08/04/1980,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/ypBrZbXGKJg"", ""Link"")",ypBrZbXGKJg,Ep 1,0:42:56,TX,08/04/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/HewBKp5isaI"", ""Link"")",HewBKp5isaI,Eplisode,0:42:54,TX,08/05/1980,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/kcJf5KLiwkQ"", ""Link"")",kcJf5KLiwkQ,Ep 2,0:45:14,TX,08/05/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/a0vaI14nIK0"", ""Link"")",a0vaI14nIK0,Eplisode,0:43:05,TX,08/06/1980,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/rF17rF8wG6Y"", ""Link"")",rF17rF8wG6Y,Ep 3,0:44:33,TX,08/06/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/pl9Vp0u0GN4"", ""Link"")",pl9Vp0u0GN4,Episode 004,0:42:58,TX,08/07/1980,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/PZwBVl8mc7E"", ""Link"")",PZwBVl8mc7E,Ep 4,0:42:57,TX,08/07/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/nGreGq11Wj8"", ""Link"")",nGreGq11Wj8,Episode 005,0:43:13,TX,08/08/1980,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/-fTXzIeyZQk"", ""Link"")",-fTXzIeyZQk,Ep 5,0:43:14,TX,08/08/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/Ao1eEXzqBmU"", ""Link"")",Ao1eEXzqBmU,Episode 006,0:43:14,TX,08/11/1980,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/7RB0Z5YWqCc"", ""Link"")",7RB0Z5YWqCc,Ep 6 to 8,2:09:39,TX,08/11/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/1P2qR61cVkA"", ""Link"")",1P2qR61cVkA,Episode 007,0:43:16,TX,08/12/1980,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/IQTJHWQEH60"", ""Link"")",IQTJHWQEH60,Episode 008,0:43:04,TX,08/13/1980,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/dFM7regUKBc"", ""Link"")",dFM7regUKBc,Episode 009,0:43:09,TX,08/14/1980,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/Tr4i8fj4Y38"", ""Link"")",Tr4i8fj4Y38,Ep 9 to 11,2:09:26,TX,08/14/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/SNBoMT2SzGY"", ""Link"")",SNBoMT2SzGY,Episode 010,0:42:59,TX,08/15/1980,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/ZN3l9UvZCVQ"", ""Link"")",ZN3l9UvZCVQ,Episode 011,0:43:09,TX,08/18/1980,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/9JkssabN97s"", ""Link"")",9JkssabN97s,Episode 012,0:43:12,TX,08/19/1980,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/bEZ1P7YVxYs"", ""Link"")",bEZ1P7YVxYs,Ep 12 to 13,1:26:34,TX,08/19/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/0dronCpBTYM"", ""Link"")",0dronCpBTYM,Episode 013,0:43:15,TX,08/20/1980,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/KN8x_Cu-UCo"", ""Link"")",KN8x_Cu-UCo,Episode 014,0:43:13,TX,08/21/1980,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/GnF-RYorsgY"", ""Link"")",GnF-RYorsgY,Ep 14 to 17,2:52:51,TX,08/21/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/I7TlEPrG9VM"", ""Link"")",I7TlEPrG9VM,Eplisode,0:58:25,TX,08/22/1980,A,,1,1,edwynnsanchez
"=HYPERLINK(""https://youtu.be/RTfX7KwAYgo"", ""Link"")",RTfX7KwAYgo,Episode 015,0:43:14,TX,08/22/1980,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/Y_aYE4Ubx7c"", ""Link"")",Y_aYE4Ubx7c,Episode 016,0:43:06,TX,08/25/1980,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/JQ6ZOxTz-y8"", ""Link"")",JQ6ZOxTz-y8,Episode 017,0:43:05,TX,08/26/1980,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/LzcDmyf9KWI"", ""Link"")",LzcDmyf9KWI,Episode 018,0:42:19,TX,08/27/1980,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/QwbagH40YgQ"", ""Link"")",QwbagH40YgQ,Ep 18 to 20 and 92,2:52:24,TX,08/27/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/-4zxzKxUtP0"", ""Link"")",-4zxzKxUtP0,Ep 21,0:42:38,TX,09/01/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/4DAXCo0kEh8"", ""Link"")",4DAXCo0kEh8,Ep 22 and 23,1:26:39,TX,09/02/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/w3lRuTLt7ek"", ""Link"")",w3lRuTLt7ek,Ep 24,0:45:43,TX,09/04/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/aOj-pyuj9ks"", ""Link"")",aOj-pyuj9ks,Ep 25 and 26,1:32:43,TX,09/05/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/HIjiLR2MDRA"", ""Link"")",HIjiLR2MDRA,Ep 27,0:43:42,TX,09/09/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/BhzURwYDioI"", ""Link"")",BhzURwYDioI,Ep 28 and 29,1:26:55,TX,09/10/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/xRMH5xbEX0k"", ""Link"")",xRMH5xbEX0k,Ep 30 and 31,1:21:22,TX,09/12/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/ZRCQ8lAHbaw"", ""Link"")",ZRCQ8lAHbaw,Ep 32,0:43:09,TX,09/16/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/LJJWWbQ5vek"", ""Link"")",LJJWWbQ5vek,Ep 33,0:45:03,TX,09/17/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/-bNOTxva2q4"", ""Link"")",-bNOTxva2q4,Ep 34 closing,0:03:09,TX,09/18/1980,B,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/mVZKYWnFUT8"", ""Link"")",mVZKYWnFUT8,Ep 34,0:44:04,TX,09/18/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/sstCRPypgRA"", ""Link"")",sstCRPypgRA,Ep 35,0:44:07,TX,09/19/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/ClX_9LIwZQg"", ""Link"")",ClX_9LIwZQg,Ep 36 and 37,1:40:15,TX,09/22/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/ErRQeIg3QL8"", ""Link"")",ErRQeIg3QL8,Ep 38,0:43:22,TX,09/24/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/0Lg7lOMfJ98"", ""Link"")",0Lg7lOMfJ98,Ep 39,0:38:09,TX,09/25/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/LDfhWIoGXco"", ""Link"")",LDfhWIoGXco,Ep 40,0:43:27,TX,09/26/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/7zWEwBhoNtk"", ""Link"")",7zWEwBhoNtk,Ep 41 and 42,1:28:59,TX,09/29/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/AMdDr30U1eA"", ""Link"")",AMdDr30U1eA,Ep 43 and 44,1:26:49,TX,10/01/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/VkFYp9teGe0"", ""Link"")",VkFYp9teGe0,Ep 45 and 46,1:30:16,TX,10/03/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/qWGB9n_9tgs"", ""Link"")",qWGB9n_9tgs,Ep 48 and 49 47 is missing,1:25:46,TX,10/08/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/0HfXY0cdkNM"", ""Link"")",0HfXY0cdkNM,Ep 50,0:43:56,TX,10/10/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/CSc33-iKYns"", ""Link"")",CSc33-iKYns,Ep 51,0:42:50,TX,10/13/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/mSvz65neEZc"", ""Link"")",mSvz65neEZc,Ep 52 and 53,1:22:34,TX,10/14/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/bDux6Aw0ppY"", ""Link"")",bDux6Aw0ppY,Ep 54 and 55,1:31:43,TX,10/16/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/Cf4DvnpG-W0"", ""Link"")",Cf4DvnpG-W0,Ep 56,0:45:12,TX,10/20/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/hFD1vVczae8"", ""Link"")",hFD1vVczae8,Ep 57 and 58,1:20:36,TX,10/21/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/FHUQ24C6eIY"", ""Link"")",FHUQ24C6eIY,Ep 59 and 60,1:26:23,TX,10/23/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/1w_xewrN-GU"", ""Link"")",1w_xewrN-GU,Ep 61 to 63,2:07:59,TX,10/27/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/Xx5mFnYGTDI"", ""Link"")",Xx5mFnYGTDI,Ep 64,0:42:44,TX,10/30/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/kaARH9bUe3Q"", ""Link"")",kaARH9bUe3Q,Ep 65,0:43:10,TX,10/31/1980,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/IWPmsBxfiu4"", ""Link"")",IWPmsBxfiu4,Ep 66,0:40:57,TX,11/03/1980,A,,1,1,cfs89
