id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/rvr9GYNEdLw"", ""Link"")",Brenda Dickson Four Promos,01:21,YR,01/01/1984,B,,1,1,fyi
"=HYPERLINK(""https://youtu.be/WS0M_Nh89Ps"", ""Link"")",Closing credits,1:37,YR,1/1/1984,B,,1,1,fyi
"=HYPERLINK(""https://youtu.be/FCQwXlJ3vts"", ""Link"")",The Young and The Restless,1:43,YR,04/13/1984,A,,1,1,edwynsanchez
"=HYPERLINK(""https://youtu.be/PRSAsDqFGvU"", ""Link"")",Jill kicks Dina to the curb,02:25,YR,01/01/1985,A,,1,1,messylin
"=HYPERLINK(""https://youtu.be/z5o4SqNZuug"", ""Link"")",Jill and Katherine moments,01:58,YR,01/01/1985,A,,1,1,messylin
"=HYPERLINK(""https://youtu.be/wXrTaepEow8"", ""Link"")",Jill's car crash fantasy,2:35,YR,01/01/1985,A,,1,1,messylin
"=HYPERLINK(""https://youtu.be/rJObA9X9JT4"", ""Link"")",Jill spars with Dina and Jack,5:57,YR,01/01/1985,A,,1,1,messylin
"=HYPERLINK(""https://youtu.be/fAuoxYT0CYQ"", ""Link"")",Brenda Dickson as Jill Abbott,01:48,YR,01/01/1985,A,,1,1,messylin
"=HYPERLINK(""https://youtu.be/cNDFAbedJt0"", ""Link"")",Phil Morris Pumping Iron Shirtless,04:27,YR,01/01/1985,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/rgqzvw1mhw8"", ""Link"")",Promos,00:32,YR,06/01/1985,B,,1,1,bluerose8508
"=HYPERLINK(""https://youtu.be/ZwscsPWDvZU"", ""Link"")",Promos,0:15,YR,06/01/1985,B,,1,1,bluerose8508
"=HYPERLINK(""https://youtu.be/_qt4wPVefPQ"", ""Link"")",Promos,0:17,YR,06/01/1985,B,,1,1,bluerose8508
"=HYPERLINK(""https://youtu.be/tFmNrPFfEwE"", ""Link"")",Promos,00:20,YR,06/01/1985,B,,1,1,bluerose8508
"=HYPERLINK(""https://youtu.be/AEGBcM8UMz8"", ""Link"")",Promos,00:16,YR,06/01/1985,B,,1,1,bluerose8508
"=HYPERLINK(""https://youtu.be/-L_zJpI3_WE"", ""Link"")",Promos,00:32,YR,06/01/1985,B,,1,1,bluerose8508
"=HYPERLINK(""https://youtu.be/yFmoHb-qmzw"", ""Link"")",Promo - Leanna Love,0:20,YR,1/1/1987,B,,1,1,fyi
"=HYPERLINK(""https://youtu.be/OF4toLRRjPg"", ""Link"")",Impostor John,1:22,YR,1/1/1989,A,,1,1,snarkweighsin
"=HYPERLINK(""https://youtu.be/eAPuaBBiyJA"", ""Link"")",Y&R Inside Joke,0:54,YR,3/17/1989,A,,1,1,snarkweighsin
"=HYPERLINK(""https://youtu.be/oBuwtTJSrHg"", ""Link"")",Ending credits,1:41,YR,8/10/1989,B,,1,1,snarkweighsin
