YouTube link,id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/pUsy1LCQo4A"", ""Link"")",pUsy1LCQo4A,Nikki strips at the Colonnade Room,0:02:38,YR,01/01/2000,A,,1,1,deepscreenanalysis
"=HYPERLINK(""https://youtu.be/3PQePXpidlc"", ""Link"")",3PQePXpidlc,Promo,0:00:21,YR,03/01/2000,B,,1,1,guidinglightepisodes3132
"=HYPERLINK(""https://youtu.be/e9lZcDX36mI"", ""Link"")",e9lZcDX36mI,Holiday promo,0:00:21,YR,12/11/2000,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/1qgjYvEDkZA"", ""Link"")",1qgjYvEDkZA,Victoria slaps Victor,0:00:57,YR,01/01/2001,A,,1,1,bartko80
"=HYPERLINK(""https://youtu.be/yhkkUqGeGiE"", ""Link"")",yhkkUqGeGiE,Promo,0:00:21,YR,01/01/2003,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/iMotw1jl71c"", ""Link"")",iMotw1jl71c,Ashley Crazy and Delusional at the Newman Gala,0:02:11,YR,01/01/2003,A,,1,1,novelasdomundo
"=HYPERLINK(""https://youtu.be/iMnTswehv88"", ""Link"")",iMnTswehv88,Diane Loses Kyle,0:02:46,YR,01/01/2003,A,,1,1,novelasdomundo
"=HYPERLINK(""https://youtu.be/cyZBDDwDzUs"", ""Link"")",cyZBDDwDzUs,"Victor Confronts His Father, Albert Miller",0:03:33,YR,01/01/2003,A,,1,1,novelasdomundo
"=HYPERLINK(""https://youtu.be/1fso2MJUbKw"", ""Link"")",1fso2MJUbKw,Victor and Chet fight,0:00:26,YR,5/7/2003,A,,1,1,bnedceo
"=HYPERLINK(""https://youtu.be/i8q9Ekm5aU0"", ""Link"")",i8q9Ekm5aU0,Y&R 2003,0:00:22,YR,5/8/2003,A,,1,1,bnedceo
"=HYPERLINK(""https://youtu.be/RiL0sbw15jE"", ""Link"")",RiL0sbw15jE,Promo,0:00:17,YR,06/23/2003,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/8SnyjldNRSE"", ""Link"")",8SnyjldNRSE,Promo,0:00:17,YR,01/01/2004,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/TfLlHy9iQgA"", ""Link"")",TfLlHy9iQgA,Brad goes after Victor in hospital,0:01:25,YR,6/1/2004,A,,1,1,bnedceo
"=HYPERLINK(""https://youtu.be/DlmlDlDVYoI"", ""Link"")",DlmlDlDVYoI,Joan van Ark's first scene as Gloria,0:01:35,YR,6/9/2004,A,,1,1,soapfoxkirby
"=HYPERLINK(""https://youtu.be/y0yLcZVV-2U"", ""Link"")",y0yLcZVV-2U,Promo,0:00:20,YR,01/01/2005,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/VZBx0oJLkOk"", ""Link"")",VZBx0oJLkOk,Promo,0:00:20,YR,07/19/2005,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/mc41HaV6rEA"", ""Link"")",mc41HaV6rEA,Promo,0:00:19,YR,08/03/2005,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/m7EvdpMLa50"", ""Link"")",m7EvdpMLa50,Promo - Brad Carlton Story,0:00:20,YR,01/01/2006,B,,1,1,oakdalehistorian
"=HYPERLINK(""https://youtu.be/dFgx2SnIX_k"", ""Link"")",dFgx2SnIX_k,Promo,0:00:13,YR,02/08/2006,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/Zq9vRtlwisw"", ""Link"")",Zq9vRtlwisw,Nikki is Shot,0:00:53,YR,05/04/2006,A,,1,1,ackgh73994
"=HYPERLINK(""https://youtu.be/gxPALu5Cyiw"", ""Link"")",gxPALu5Cyiw,Carmen Promo,0:00:22,YR,06/01/2006,B,,1,1,oakdalehistorian
"=HYPERLINK(""https://youtu.be/knSbaugYx5U"", ""Link"")",knSbaugYx5U,Promo,0:00:22,YR,07/24/2006,B,,1,1,oakdalehistorian
"=HYPERLINK(""https://youtu.be/nTmclnsJnsE"", ""Link"")",nTmclnsJnsE,Carmens Killer Revealed Promo,0:00:12,YR,01/01/2007,B,,1,1,oakdalehistorian
"=HYPERLINK(""https://youtu.be/uVO4bMJ_xmk"", ""Link"")",uVO4bMJ_xmk,Jill and Cane,0:02:26,YR,3/6/2007,A,,1,1,taytaythejetplane1
"=HYPERLINK(""https://youtu.be/ec14_ApfEMw"", ""Link"")",ec14_ApfEMw,Promo,0:00:22,YR,08/01/2007,A,,1,1,oakdalehistorian
